# mass number (A) = 48
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
0.0	88.6132782049	88.7965136099	177.409791815
0.02	88.4735248056	88.6562785938	177.129803399
0.04	88.0576994354	88.2390223872	176.296721823
0.06	87.3760010978	87.5549702761	174.930971374
0.08	86.4450800568	86.6207651582	173.065845215
0.1	85.287527919	85.4588855481	170.746413467
0.12	83.9311876958	84.0968637417	168.028051437
0.14	82.408306757	82.5663353031	164.97464206
0.16	80.7545607117	80.901957477	161.656518189
0.18	79.0079803695	79.1402388939	158.148219263
0.2	77.2078169153	77.3183258362	154.526142752
0.22	75.3933821724	75.4727912642	150.866173437
0.24	73.6029012663	73.6384717618	147.241373028
0.26	71.8724141486	71.8473946383	143.719808787
0.28	70.2347603194	70.127832795	140.362593114
0.3	68.718677803	68.5035188787	137.222196682
0.32	67.348043112	66.9930430235	134.341086136
0.34	66.1412737488	65.6094504732	131.750724222
0.36	65.1109089475	64.3600469692	129.470955917
0.38	64.2633780769	63.2464113687	127.509789446
0.4	63.5989596428	62.2646068943	125.863566537
0.42	63.1119273949	61.4055750529	124.517502448
0.44	62.7908738851	60.6556898877	123.446563773
0.46	62.6191961777	59.9974450758	122.616641254
0.48	62.5757234606	59.4102426185	121.985966079
0.5	62.635462221	58.8712495818	121.506711803
0.52	62.7704315598	58.3562885512	121.126720111
0.54	62.950559202	57.8407281094	120.791287311
0.56	63.1446078621	57.3003416205	120.444949483
0.58	63.3211018313	56.7121057352	120.033207567
0.6	63.4492249212	56.0549141064	119.504139028
0.62	63.4996631326	55.3101865927	118.809849725
0.64	63.44536849	54.4623594648	117.907727955
0.66	63.2622242456	53.499247565	116.761471811
0.68	62.929595921	52.4122747581	115.341870679
0.7	62.4307572527	51.1965741308	113.627331384
0.72	61.753184826	49.850964042	111.604148868
0.74	60.8887198557	48.3778101632	109.266530019
0.76	59.8336000091	46.7827869382	106.616386947
0.78	58.5883682286	45.074554378	103.662922607
0.8	57.1576690583	43.2643677577	100.422036816
0.82	55.5499459151	41.365638605	96.9155845201
0.84	53.777055004	39.3934654083	93.1705204123
0.86	51.8538131201	37.3641518133	89.2179649335
0.88	49.7974974023	35.2947288033	85.0922262056
0.9	47.6273152318	33.202495596	80.8298108278
0.92	45.3638619575	31.1045918601	76.4684538176
0.94	43.0285830424	29.0176114784	72.0461945208
0.96	40.6432556641	26.9572655946	67.6005212587
0.98	38.2295028587	24.9381001749	63.1676030336
1.0	35.8083510825	22.9732709142	58.7816219967
1.02	33.3998396925	21.0743760832	54.4742157757
1.04	31.0226884072	19.2513459294	50.2740343366
1.06	28.6940264162	17.5123855501	46.2064119663
1.08	26.4291845297	15.8639667849	42.2931513146
1.1	24.2415496789	14.3108636333	38.5524133122
1.12	22.1424792479	12.8562249938	34.9987042417
1.14	20.1412711746	11.5016781227	31.6429492974
1.16	18.2451845271	10.2474561002	28.4926406273
1.18	16.4595043543	9.09254272422	25.5520470785
1.2	14.7876440132	8.03482860453	22.8224726177
1.22	13.2312778817	7.07127273731	20.302550619
1.24	11.7904973374	6.1980644773	17.9885618147
1.26	10.4639830985	5.41078153922	15.8747646377
1.28	9.24918743212	4.70454041631	13.9537278484
1.3	8.14252030331	4.07413636722	12.2166566705
1.32	7.13953422151	3.51417086373	10.6537050852
1.34	6.23510329851	3.01916508669	9.2542683852
1.36	5.42359282738	2.58365868897	8.00725151635
1.38	4.69901648978	2.20229359855	6.90131008834
1.4	4.05517907249	1.86988310629	5.92506217878
1.42	3.4858032986	1.58146686693	5.06727016553
1.44	2.98464003685	1.33235274103	4.31699277787
1.46	2.54556173143	1.11814662308	3.66370835451
1.48	2.16263938704	0.934771544079	3.09741093112
1.5	1.83020384596	0.778477413582	2.60868125955
1.52	1.54289240816	0.645842786055	2.18873519421
1.54	1.29568207349	0.533770008872	1.82945208236
1.56	1.08391083623	0.439475044599	1.52338588083
1.58	0.90328854232	0.360473167294	1.26376170961
1.6	0.74989884042	0.294561620238	1.04446046066
1.62	0.620193727696	0.23980019829	0.859993925985
1.64	0.510982121181	0.19449058857	0.705472709751
1.66	0.419413785055	0.157155173925	0.57656895898
1.68	0.342959822178	0.126515878776	0.469475700954
1.7	0.279390803051	0.101473520034	0.380864323085
1.72	0.226753463945	0.081088018841	0.307841482785
1.74	0.183346764184	0.0645597336116	0.247906497796
1.76	0.14769795531	0.0512120918069	0.198910047117
1.78	0.11853918557	0.0404756272412	0.159014812811
1.8	0.0947850446708	0.0318734711369	0.126658515808
1.82	0.0755113475506	0.0250082978723	0.100519645423
1.84	0.0599353629857	0.0195506894632	0.0794860524489
1.86	0.0473976134662	0.0152288551509	0.0626264686172
1.88	0.0373453065134	0.0118196228499	0.0491649293633
1.9	0.0293174038801	0.00914060641917	0.0384580102992
1.92	0.0229312928149	0.00704344560424	0.0299747384191
1.94	0.0178709916191	0.00540801294743	0.0232790045665
1.96	0.013876798805	0.00413748298763	0.0180142817926
1.98	0.0107362799555	0.00315416278642	0.013890442742
2.0	0.00827647761948	0.00239598845629	0.0106724660758
2.02	0.00635722603419	0.00181359928744	0.00817082532163
2.04	0.00486545305142	0.00136790874052	0.00623336179194
2.06	0.00371035535146	0.00102809956973	0.0047384549212
