# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
1.22	9.58398868838	6.91264079368	16.4966294821
1.24	8.53123643744	6.11262448963	14.6438609271
1.26	7.56519168145	5.38445001276	12.9496416942
1.28	6.68308700447	4.72488499852	11.407972003
1.3	5.88153229683	4.13032157392	10.0118538708
1.32	5.15664232923	3.59687843572	8.75352076496
1.34	4.50415785596	3.12049506457	7.62465292053
1.36	3.91955821754	2.69701686756	6.61657508511
1.38	3.39816394377	2.32227048018	5.72043442395
1.4	2.93522835394	1.99212885303	4.92735720697
1.42	2.5260176024	1.70256609236	4.22858369476
1.44	2.16587901449	1.44970231233	3.61558132683
1.46	1.85029789757	1.22983899066	3.08013688824
1.48	1.57494329054	1.03948549899	2.61442878953
1.5	1.33570333526	0.875377608077	2.21108094334
1.52	1.12871111627	0.73448885011	1.86319996638
1.54	0.950361925321	0.614035661675	1.564397587
1.56	0.79732297121	0.511477237028	1.30880020824
1.58	0.666536577318	0.424510998277	1.0910475756
1.6	0.555217897706	0.351064543245	0.906282440951
1.62	0.460848142565	0.289284868697	0.750133011261
1.64	0.381164242554	0.237525591686	0.61868983424
1.66	0.314145804566	0.194332809657	0.508478614223
1.68	0.25800012426	0.15843015476	0.41643027902
1.7	0.211145927988	0.128703512884	0.339849440873
1.72	0.172196422467	0.104185795947	0.276382218414
1.74	0.139942138014	0.0840420790161	0.22398421703
1.76	0.113333962955	0.0675553433516	0.180889306306
1.78	0.0914666847865	0.0541130033398	0.145579688126
1.8	0.0735632792079	0.0431943400724	0.11675761928
1.82	0.058960121934	0.0343589170592	0.0933190389932
1.84	0.0470932407058	0.0272360140836	0.0743292547894
1.86	0.0374856760013	0.021515083077	0.0590007590783
1.88	0.0297359783782	0.0169372045301	0.0466731829082
1.9	0.0235078375951	0.0132875036695	0.0367953412647
1.92	0.0185208129923	0.0103884716847	0.028909284677
1.94	0.0145421152987	0.00809412790848	0.0226362432072
1.96	0.0113793762684	0.00628495331816	0.0176643295866
1.98	0.00887433350766	0.00486352330721	0.0137378568149
2.0	0.00689735276362	0.00375076775305	0.0106481205167
2.02	0.00534270805293	0.00288278838289	0.00822549643582
2.04	0.00412454064734	0.00220816681897	0.00633270746631
2.06	0.00317342049784	0.00168570103087	0.00485912152871
2.08	0.00243343764556	0.00128251287633	0.0037159505219
2.1	0.00185975609071	0.000972474679969	0.00283223077068
2.12	0.00141656809836	0.000734908148922	0.00215147624728
2.14	0.00107539271275	0.000553514178866	0.00162890689162
2.16	0.000813668091474	0.000415497132374	0.00122916522385
2.18	0.00061359297788	0.00031085188451	0.00092444486239
2.2	0.000461178073242	0.0002317862704	0.000692964343642
2.22	0.00034547315784	0.00017225550599	0.00051772866383
2.24	0.000257940487542	0.00012758867661	0.000385529164152
2.26	0.000191949229481	9.41905042451e-05	0.000286139733726
2.28	0.000142369489916	6.93043311647e-05	0.00021167382108
2.3	0.000105247837537	5.0824619799e-05	0.000156072457336
2.32	7.75491563303e-05	3.71492966153e-05	0.000114698452946
2.34	5.69522014022e-05	2.70639936181e-05	8.40161950203e-05
2.36	4.16884116122e-05	1.96516981539e-05	6.13401097661e-05
2.38	3.04153894168e-05	1.42225424429e-05	4.46379318597e-05
2.4	2.21180266668e-05	1.02594795788e-05	3.23775062456e-05
2.42	1.60315700325e-05	7.37643135705e-06	2.34080013896e-05
2.44	1.15820143246e-05	5.28618133957e-06	1.68681956642e-05
2.46	8.34011693718e-06	3.77584745487e-06	1.21159643921e-05
