# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
3.28	7.1278675339e-16	2.01567568502e-16	9.14354321892e-16
3.3	3.89166370078e-16	1.09622838442e-16	4.9878920852e-16
3.32	2.11573638653e-16	5.93673105439e-17	2.70940949197e-16
3.34	1.14535425858e-16	3.20155389091e-17	1.46550964767e-16
3.36	6.17407040532e-17	1.71926377098e-17	7.8933341763e-17
3.38	3.31404341146e-17	9.19376893785e-18	4.23342030525e-17
3.4	1.77133648033e-17	4.89570387913e-18	2.26090686825e-17
3.42	9.42760897623e-18	2.59602140269e-18	1.20236303789e-17
3.44	4.99644389139e-18	1.37079981153e-18	6.36724370291e-18
3.46	2.63682157645e-18	7.20797870783e-19	3.35761944724e-18
3.48	1.38567710786e-18	3.77422407177e-19	1.76309951504e-18
3.5	7.25113820361e-19	1.96796608216e-19	9.21910428577e-19
3.52	3.77845640955e-19	1.02184325612e-19	4.80029966567e-19
3.54	1.96059537462e-19	5.28358486312e-20	2.48895386093e-19
3.56	1.01304343217e-19	2.72051917588e-20	1.28509534976e-19
3.58	5.21237773973e-20	1.39493685805e-20	6.60731459778e-20
3.6	2.67062305151e-20	7.12258927338e-21	3.38288197885e-20
3.62	1.36257166405e-20	3.62161909227e-21	1.72473357328e-20
3.64	6.92272842057e-21	1.83379197963e-21	8.75652040021e-21
3.66	3.50241442499e-21	9.24657063174e-22	4.42707148816e-21
3.68	1.76453861131e-21	4.64296618891e-22	2.2288352302e-21
3.7	8.8525680509e-22	2.32164293551e-22	1.11742109864e-21
3.72	4.42265354934e-22	1.15606236917e-22	5.5787159185e-22
3.74	2.20025568009e-22	5.73262954872e-23	2.77351863496e-22
3.76	1.09003638926e-22	2.83083200337e-23	1.37311958959e-22
3.78	5.37758732065e-23	1.39207533786e-23	6.76966265851e-23
3.8	2.64188295788e-23	6.81711487331e-24	3.32359444521e-23
3.82	1.29246944926e-23	3.32451662533e-24	1.62492111179e-23
3.84	6.29663585327e-24	1.61453406587e-24	7.91116991913e-24
3.86	3.05477622407e-24	7.80831804838e-25	3.8356080289e-24
3.88	1.47582103673e-24	3.76062574477e-25	1.85188361121e-24
3.9	7.10022951057e-25	1.80366477008e-25	8.90389428065e-25
3.92	3.4017029338e-25	8.61480311406e-26	4.26318324521e-25
3.94	1.62295540218e-25	4.09759889884e-26	2.03271529207e-25
3.96	7.71087876621e-26	1.94092522583e-26	9.65180399204e-26
3.98	3.64828806919e-26	9.15554379538e-27	4.56384244873e-26
4.0	1.71894977593e-26	4.30086847917e-27	2.14903662385e-26
4.02	8.06541864344e-27	2.01198873817e-27	1.00774073816e-26
4.04	3.76860948951e-27	9.3733098498e-28	4.70594047449e-27
4.06	1.7535844129e-27	4.34869666781e-28	2.18845407968e-27
4.08	8.12576655725e-28	2.00920676571e-28	1.0134973323e-27
4.1	3.74968624627e-28	9.24464361786e-29	4.67415060806e-28
4.12	1.72313469816e-28	4.23600421432e-29	2.14673511959e-28
4.14	7.88565931569e-29	1.93296457614e-29	9.81862389183e-29
4.16	3.59378458477e-29	8.78402036523e-30	4.4721866213e-29
4.18	1.63103047063e-29	3.9752579713e-30	2.02855626776e-29
4.2	7.37172035753e-30	1.79159752322e-30	9.16331788075e-30
4.22	3.31797497803e-30	8.04117185096e-31	4.12209216313e-30
4.24	1.48722117371e-30	3.59420282346e-31	1.84664145606e-30
4.26	6.63860646149e-31	1.59989230888e-31	8.23849877037e-31
4.28	2.95105906586e-31	7.09225643838e-32	3.6602847097e-31
4.3	1.30640906661e-31	3.1310080917e-32	1.61950987578e-31
4.32	5.75945591931e-32	1.37654556917e-32	7.13600148848e-32
4.34	2.52863063192e-32	6.02704167517e-33	3.13133479944e-32
4.36	1.10558377997e-32	2.62800110529e-33	1.3683838905e-32
4.38	4.81394258309e-33	1.14118270639e-33	5.95512528949e-33
4.4	2.08743895686e-33	4.93507371153e-34	2.58094632802e-33
4.42	9.01427766573e-34	2.12540382582e-34	1.11396814916e-33
4.44	3.87661772911e-34	9.11589146682e-35	4.78820687579e-34
4.46	1.66027697164e-34	3.89374245504e-35	2.04965121714e-34
4.48	7.08132039564e-35	1.65632743903e-35	8.73764783467e-35
4.5	3.00783967765e-35	7.01675916342e-36	3.709515594e-35
4.52	1.27233788782e-35	2.96032123603e-36	1.56837001143e-35
4.54	5.35991819898e-36	1.24380843347e-36	6.60372663244e-36
4.56	2.24865263188e-36	5.20452410596e-37	2.76910504248e-36
4.58	9.39497575623e-37	2.16881196638e-37	1.15637877226e-36
4.6	3.90911642677e-37	9.00070647401e-38	4.80918707417e-37
4.62	1.61983864656e-37	3.72002266517e-38	1.99184091308e-37
4.64	6.68460376219e-38	1.53119084272e-38	8.2157946049e-38
4.66	2.74720386826e-38	6.27665512254e-39	3.37486938052e-38
4.68	1.12439254095e-38	2.56237605154e-39	1.3806301461e-38
4.7	4.58307960487e-39	1.04177413062e-39	5.62485373549e-39
4.72	1.86041464263e-39	4.21813828201e-40	2.28222847083e-39
4.74	7.52099880386e-40	1.70092448963e-40	9.2219232935e-40
4.76	3.02799549532e-40	6.83072280844e-41	3.71106777616e-40
4.78	1.21408577412e-40	2.7319083244e-41	1.48727660656e-40
4.8	4.84795361827e-41	1.08813763816e-41	5.93609125643e-41
4.82	1.92789321869e-41	4.31638535604e-42	2.3595317543e-41
4.84	7.63525272301e-42	1.70520134083e-42	9.34045406384e-42
4.86	3.0114819208e-42	6.70888895224e-43	3.68237081603e-42
4.88	1.18291620841e-42	2.62872663298e-43	1.44578887171e-42
4.9	4.62748536032e-43	1.02579488147e-43	5.65328024179e-43
4.92	1.80282651707e-43	3.98654162303e-44	2.20148067937e-43
4.94	6.99489327886e-44	1.54295456796e-44	8.53784784682e-44
4.96	2.70288129847e-44	5.94745846901e-45	3.29762714537e-44
4.98	1.04014054761e-44	2.28313462601e-45	1.26845401021e-44
5.0	3.98636164467e-45	8.72878549633e-46	4.8592401943e-45
#normalisation = 108.0
