# mass number (A) = 18
# number of protons (Z) = 8
# number of neutrons (N) = 10
# k (1/fm)	n_1(k) (fm^3)
0.0	2.69094773984
0.02	2.69424125189
0.04	2.70405566553
0.06	2.72019385593
0.08	2.74233139658
0.1	2.77002263667
0.12	2.802709022
0.14	2.83972947768
0.16	2.88033262731
0.18	2.92369058507
0.2	2.96891402568
0.22	3.01506821341
0.24	3.06118965489
0.26	3.10630303266
0.28	3.14943807683
0.3	3.18964604024
0.32	3.2260154589
0.34	3.25768690262
0.36	3.28386645002
0.38	3.30383765729
0.4	3.31697182928
0.42	3.3227364438
0.44	3.32070162507
0.46	3.31054460711
0.48	3.29205217337
0.5	3.26512110234
0.52	3.22975669008
0.54	3.18606945838
0.56	3.13427019052
0.58	3.07466346565
0.6	3.0076398856
0.62	2.93366720599
0.64	2.85328059491
0.66	2.767072249
0.68	2.67568059651
0.7	2.57977931275
0.72	2.48006636319
0.74	2.37725327549
0.76	2.27205482439
0.78	2.16517929228
0.8	2.05731944559
0.82	1.9491443426
0.84	1.84129206292
0.86	1.73436342338
0.88	1.62891672009
0.9	1.52546351282
0.92	1.42446544495
0.94	1.32633207251
0.96	1.23141965744
0.98	1.14003086486
1.0	1.05241529141
1.02	0.968770741724
1.04	0.889245162987
1.06	0.813939142764
1.08	0.742908873608
1.1	0.676169488002
1.12	0.613698669727
1.14	0.555440451936
1.16	0.501309117921
1.18	0.451193127544
1.2	0.404959000137
1.22	0.362455093194
1.24	0.323515225014
1.26	0.2879620984
1.28	0.255610491357
1.3	0.226270189216
1.32	0.199748640648
1.34	0.175853327427
1.36	0.154393844496
1.38	0.135183692813
1.4	0.118041792536
1.42	0.102793728372
1.44	0.0892727423615
1.46	0.0773204920296
1.48	0.0667875937221
1.5	0.0575339721968
1.52	0.049429038135
1.54	0.0423517153088
1.56	0.0361903387484
1.58	0.0308424444675
1.6	0.0262144702171
1.62	0.0222213854046
1.64	0.0187862668191
1.66	0.0158398351909
1.68	0.0133199659517
1.7	0.011171185889
1.72	0.00934416574542
1.74	0.00779521724191
1.76	0.00648580151044
1.78	0.00538205454706
1.8	0.00445433403548
1.82	0.00367679076276
1.84	0.00302696685081
1.86	0.00248542216075
1.88	0.00203538948846
1.9	0.00166245855078
1.92	0.00135428825724
1.94	0.00110034635939
1.96	0.000891675261501
1.98	0.000720682549379
2.0	0.000580954639808
2.02	0.000467091859516
2.04	0.000374563221086
2.06	0.000299579163872
2.08	0.000238980562607
2.1	0.000190142367465
2.12	0.000150890320074
2.14	0.000119429284664
2.16	9.42818371625e-05
2.18	7.42358635324e-05
2.2	5.83000285643e-05
2.22	4.56660850169e-05
2.24	3.56770983095e-05
