# mass number (A) = 40
# number of protons (Z) = 20
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
1.38	2.68348576714	2.66979630152	5.35328206866
1.4	2.30310574095	2.29070482414	4.59381056509
1.42	1.96927587473	1.9581065978	3.92738247254
1.44	1.67758349807	1.66757946176	3.34516295982
1.46	1.42381415583	1.41490223297	2.8387163888
1.48	1.20398363282	1.19608642137	2.40007005419
1.5	1.01436061009	1.00739856735	2.02175917744
1.52	0.851480967718	0.845374226863	1.69685519458
1.54	0.712154798658	0.706824677407	1.41897947606
1.56	0.593467207607	0.588837425846	1.18230463345
1.58	0.492773944201	0.488771572453	0.981545516654
1.6	0.407692868404	0.404249032612	0.811941901016
1.62	0.336092174422	0.3331425446	0.669234719022
1.64	0.276076213861	0.273561305031	0.549637518893
1.66	0.225969664731	0.223834978372	0.449804643103
1.68	0.184300694895	0.182496728113	0.366797423008
1.7	0.149783670676	0.148265818641	0.298049489318
1.72	0.121301866631	0.120030241735	0.241332108366
1.74	0.0978905434716	0.0968297322154	0.194720275687
1.76	0.0787206793613	0.0778394554598	0.156560134821
1.78	0.0630835665515	0.0623545761139	0.125438142665
1.8	0.0503764210429	0.0497758531677	0.100152274211
1.82	0.0400890978609	0.0395963515649	0.0796854494259
1.84	0.0317919583845	0.0313893145633	0.0631812729477
1.86	0.0251248985095	0.0247972036185	0.049922102128
1.88	0.0197875166007	0.0195218829729	0.0393093995736
1.9	0.0155303773949	0.0153159035852	0.0308462809801
1.92	0.01214731143	0.0119748246852	0.0241221361152
1.94	0.00946867830279	0.00933050019568	0.0187991784985
1.96	0.00735551525805	0.00724525067497	0.014600765933
1.98	0.00569448947177	0.00560683848035	0.0113013279521
2.0	0.00439357216343	0.00432416379631	0.00871773595974
2.02	0.00337835468981	0.00332360133043	0.00670195602024
2.04	0.00258893044741	0.0025459012768	0.00513483172421
2.06	0.00197727124053	0.00194358307597	0.0039208543165
2.08	0.00150503233657	0.00147875614488	0.00298378848145
2.1	0.00114172638772	0.00112130776897	0.00226303415668
2.12	0.000863212475488	0.000847404472876	0.00171061694836
2.14	0.000650452525032	0.000638259208317	0.00128871173335
2.16	0.000488493083645	0.000479122467571	0.000967615551216
2.18	0.000365635857065	0.000358460842197	0.000724096699262
2.2	0.000272765377866	0.000267291532732	0.000540056910598
2.22	0.000202806705379	0.00019864584	0.000401452545379
2.24	0.000150290112529	0.000147138720295	0.000297428832824
2.26	0.000111003306935	0.000108625071498	0.000219628378433
2.28	8.17148801443e-05	7.99265546801e-05	0.000161641434824
2.3	5.99554077813e-05	5.86154746086e-05	0.00011857088239
2.32	4.38449683261e-05	4.28445769864e-05	8.66895453125e-05
2.34	3.195784586e-05	3.12136074648e-05	6.31714533248e-05
2.36	2.32168701187e-05	2.26651554051e-05	4.58820255238e-05
2.38	1.68112626193e-05	1.64037113744e-05	3.32149739937e-05
2.4	1.21330358583e-05	1.18330369308e-05	2.39660727891e-05
2.42	8.72796651683e-06	8.50791138227e-06	1.72358778991e-05
2.44	6.25796330354e-06	6.09711295799e-06	1.23550762615e-05
2.46	4.47230246134e-06	4.35513813479e-06	8.82744059613e-06
2.48	3.18573287863e-06	3.10068650409e-06	6.28641938272e-06
2.5	2.26187897245e-06	2.20036026879e-06	4.46223924124e-06
2.52	1.60071097433e-06	1.55636508625e-06	3.15707606058e-06
2.54	1.12912425052e-06	1.09726774922e-06	2.22639199974e-06
2.56	7.93884754678e-07	7.71078973458e-07	1.56496372814e-06
2.58	5.56367467982e-07	5.40097095389e-07	1.09646456337e-06
2.6	3.8864771672e-07	3.77079694335e-07	7.65727411055e-07
2.62	2.7060897306e-07	2.62412384584e-07	5.33021357644e-07
2.64	1.87811190085e-07	1.82023267034e-07	3.69834457119e-07
