# mass number (A) = 22
# number of protons (Z) = 6
# number of neutrons (N) = 16
# k (1/fm)	n_1(k) (fm^3)
0.0	4.15075490967
0.02	4.14744814909
0.04	4.1375721454
0.06	4.12125848055
0.08	4.09872232642
0.1	4.07025639567
0.12	4.03622276293
0.14	3.99704283285
0.16	3.9531857925
0.18	3.90515593302
0.2	3.85347925948
0.22	3.79868982539
0.24	3.74131623075
0.26	3.68186870844
0.28	3.62082719531
0.3	3.558630742
0.32	3.49566856163
0.34	3.43227295407
0.36	3.36871427314
0.38	3.30519802949
0.4	3.2418641478
0.42	3.17878832364
0.44	3.11598535677
0.46	3.05341427641
0.48	2.99098502089
0.5	2.92856639215
0.52	2.86599497476
0.54	2.80308469083
0.56	2.73963665575
0.58	2.67544900598
0.6	2.61032638629
0.62	2.54408881141
0.64	2.47657965156
0.66	2.40767253347
0.68	2.337276995
0.7	2.26534278063
0.72	2.19186271534
0.74	2.11687414339
0.76	2.04045896494
0.78	1.96274234577
0.8	1.88389021196
0.82	1.80410567225
0.84	1.72362453435
0.86	1.6427100979
0.88	1.56164741624
0.9	1.48073722149
0.92	1.40028970313
0.94	1.3206183207
0.96	1.24203381616
0.98	1.16483857286
1.0	1.08932144606
1.02	1.01575316625
1.04	0.944382391675
1.06	0.875432461541
1.08	0.809098877352
1.1	0.745547516991
1.12	0.684913565711
1.14	0.6273011301
1.16	0.572783485854
1.18	0.52140389805
1.2	0.473176943506
1.22	0.428090258813
1.24	0.386106634423
1.26	0.347166374716
1.28	0.311189845782
1.3	0.27808013655
1.32	0.24772576437
1.34	0.220003362966
1.36	0.194780298333
1.38	0.171917166405
1.4	0.151270134767
1.42	0.132693099086
1.44	0.116039633053
1.46	0.10116471818
1.48	0.0879262467836
1.5	0.0761862975866
1.52	0.0658121887165
1.54	0.0566773173091
1.56	0.0486617984726
1.58	0.0416529190816
1.6	0.0355454237781
1.62	0.0302416517296
1.64	0.0256515432227
1.66	0.0216925351324
1.68	0.0182893637968
1.7	0.0153737929383
1.72	0.0128842830862
1.74	0.0107656175624
1.76	0.00896849855549
1.78	0.00744912520535
1.8	0.00616876400027
