# mass number (A) = 15
# number of protons (Z) = 6
# number of neutrons (N) = 9
# k (1/fm)	n_1(k) (fm^3)
0.0	3.02391821108
0.02	3.0262792788
0.04	3.03330769263
0.06	3.04484013426
0.08	3.06060788193
0.1	3.08024194288
0.12	3.10328007946
0.14	3.12917557451
0.16	3.15730754462
0.18	3.18699257721
0.2	3.21749744119
0.22	3.24805260049
0.24	3.27786624586
0.26	3.3061385545
0.28	3.33207588656
0.3	3.35490463579
0.32	3.37388446456
0.34	3.38832067407
0.36	3.39757548529
0.38	3.40107803601
0.4	3.39833293308
0.42	3.38892723472
0.44	3.3725357758
0.46	3.34892478756
0.48	3.31795380123
0.5	3.2795758621
0.52	3.23383611531
0.54	3.18086885644
0.56	3.12089316821
0.58	3.05420728873
0.6	2.98118187623
0.62	2.90225235019
0.64	2.81791049828
0.66	2.72869554394
0.68	2.63518486942
0.7	2.53798458507
0.72	2.43772012731
0.74	2.33502705611
0.76	2.23054220757
0.78	2.12489533992
0.8	2.01870139204
0.82	1.91255345262
0.84	1.8070165171
0.86	1.70262208787
0.88	1.59986365219
0.9	1.49919305216
0.92	1.4010177422
0.94	1.30569891225
0.96	1.21355043972
0.98	1.12483861986
1.0	1.03978261367
1.02	0.958555543494
1.04	0.881286160429
1.06	0.808061003606
1.08	0.738926969309
1.1	0.673894208139
1.12	0.612939270065
1.14	0.556008420587
1.16	0.503021055846
1.18	0.453873150149
1.2	0.40844067589
1.22	0.366582942853
1.24	0.328145811251
1.26	0.292964740353
1.28	0.260867641984
1.3	0.231677515372
1.32	0.205214846654
1.34	0.181299762703
1.36	0.159753934725
1.38	0.140402232212
1.4	0.123074132337
1.42	0.107604893683
1.44	0.0938365062839
1.46	0.0816184324674
1.48	0.0708081547678
1.5	0.0612715484653
1.52	0.0528830970055
1.54	0.0455259688093
1.56	0.0390919738174
1.58	0.0334814176088
1.6	0.0286028701382
1.62	0.0243728651213
1.64	0.0207155449147
1.66	0.0175622644355
1.68	0.0148511663005
1.7	0.0125267379665
1.72	0.0105393602668
1.74	0.00884485538861
1.76	0.00740404104239
1.78	0.0061822963679
1.8	0.00514914399892
1.82	0.0042778516937
1.84	0.00354505602691
1.86	0.00293040983587
1.88	0.00241625441787
1.9	0.00198731688198
1.92	0.00163043256336
1.94	0.00133429200257
1.96	0.00108921167093
1.98	0.000886927375229
2.0	0.0007204090939
2.02	0.000583695873591
2.04	0.000471749340441
2.06	0.000380324348102
2.08	0.000305855286051
2.1	0.000245356600929
2.12	0.000196336134319
2.14	0.000156719947227
2.16	0.00012478737992
2.18	9.91151816852e-05
2.2	7.85296352139e-05
2.22	6.20656919049e-05
2.24	4.89322251975e-05
2.26	3.84825973796e-05
2.28	3.01898198334e-05
2.3	2.36256664545e-05
2.32	1.84431743657e-05
2.34	1.4362034688e-05
2.36	1.11564388492e-05
2.38	8.64500274054e-06
2.4	6.68244209772e-06
