# mass number (A) = 208
# number of protons (Z) = 82
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
2.44	3.57538266342e-07	3.59713059268e-08	3.93509572268e-07
2.46	2.167560921e-07	2.14680924309e-08	2.38224184531e-07
2.48	1.3068180149e-07	1.27435561995e-08	1.43425357689e-07
2.5	7.83536815867e-08	7.5240507615e-09	8.58777323482e-08
2.52	4.67207199845e-08	4.41855795554e-09	5.113927794e-08
2.54	2.77057977781e-08	2.58095790554e-09	3.02867556836e-08
2.56	1.63398422577e-08	1.49953458118e-09	1.78393768389e-08
2.58	9.58398325613e-09	8.66584323769e-10	1.04505675799e-08
2.6	5.59074924153e-09	4.98135441419e-10	6.08888468294e-09
2.62	3.24357863955e-09	2.84819508547e-10	3.52839814809e-09
2.64	1.87160351564e-09	1.61987321498e-10	2.03359083714e-09
2.66	1.07409504171e-09	9.16398903186e-11	1.16573493203e-09
2.68	6.13077440295e-10	5.15683823951e-11	6.6464582269e-10
2.7	3.48045434463e-10	2.88656246307e-11	3.76911059093e-10
2.72	1.96520854014e-10	1.60723704377e-11	2.12593224451e-10
2.74	1.10366546524e-10	8.90191368981e-12	1.19268460214e-10
2.76	6.16490357832e-11	4.90449366699e-12	6.65535294502e-11
2.78	3.42514506343e-11	2.6879126165e-12	3.69393632508e-11
2.8	1.89277602832e-11	1.46537586425e-12	2.03931361475e-11
2.82	1.04037690347e-11	7.94691436606e-13	1.11984604713e-11
2.84	5.68796546859e-12	4.28712625092e-13	6.11667809369e-12
2.86	3.09315331505e-12	2.30067263148e-13	3.3232205782e-12
2.88	1.67312189101e-12	1.22819325545e-13	1.79594121656e-12
2.9	9.00199298075e-13	6.52235420803e-14	9.65422840156e-13
2.92	4.81768001139e-13	3.44564277908e-14	5.1622442893e-13
2.94	2.56465286424e-13	1.81078411682e-14	2.74573127592e-13
2.96	1.35804350086e-13	9.46664223111e-15	1.45270992317e-13
2.98	7.15313218983e-14	4.9233461683e-15	7.64546680667e-14
3.0	3.74782459191e-14	2.54719452894e-15	4.0025440448e-14
3.02	1.95328489657e-14	1.31100199146e-15	2.08438509571e-14
3.04	1.01264701635e-14	6.71252951821e-16	1.07977231153e-14
3.06	5.22227228748e-15	3.41910755568e-16	5.56418304305e-15
3.08	2.67899914702e-15	1.73254710109e-16	2.85225385713e-15
3.1	1.36709888497e-15	8.73383667713e-17	1.45443725174e-15
3.12	6.93975548674e-16	4.38000662051e-17	7.37775614879e-16
3.14	3.50435291056e-16	2.18522454117e-17	3.72287536468e-16
3.16	1.76032727483e-16	1.08460312858e-17	1.86878758768e-16
3.18	8.79636722824e-17	5.35551155943e-18	9.33191838418e-17
3.2	4.37260275106e-17	2.63080223121e-18	4.63568297419e-17
3.22	2.16224932957e-17	1.28568432022e-18	2.29081776159e-17
3.24	1.06366013941e-17	6.25087966253e-19	1.12616893603e-17
3.26	5.2051542934e-18	3.02350214297e-19	5.5075045077e-18
3.28	2.53396224572e-18	1.45493452544e-19	2.67945569826e-18
3.3	1.22716973769e-18	6.96533949454e-20	1.29682313264e-18
3.32	5.91220128758e-19	3.31748075415e-20	6.243949363e-19
