# mass number (A) = 4
# number of protons (Z) = 2
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
2.18	0.000347271572359	0.000342901665263	0.000690173237622
2.2	0.000285172253506	0.000281507336938	0.000566679590443
2.22	0.000233756617248	0.000230689261051	0.0004644458783
2.24	0.000191266615202	0.000188704637297	0.000379971252499
2.26	0.000156218708479	0.000154083204894	0.000310301913373
2.28	0.000127363658571	0.000125587255213	0.000252950913784
2.3	0.000103651745705	0.000102177052353	0.000205828798058
2.32	8.42027602055e-05	8.29810080367e-05	0.000167183768242
2.34	6.82801784561e-05	6.72700232924e-05	0.000135550201749
2.36	5.52689964717e-05	5.44354710335e-05	0.000109704467505
2.38	4.4656751006e-05	4.39703505308e-05	8.86271015368e-05
2.4	3.60173104129e-05	3.54531971539e-05	7.14705075668e-05
2.42	2.89970653258e-05	2.85343785903e-05	5.75314439161e-05
2.44	2.33031927431e-05	2.29244522634e-05	4.62276450065e-05
2.46	1.86937065002e-05	1.83842980347e-05	3.70780045349e-05
2.48	1.49690426047e-05	1.47167757199e-05	2.96858183246e-05
2.5	1.19649597323e-05	1.17596887243e-05	2.37246484565e-05
2.52	9.54656360424e-06	9.37986345886e-06	1.89264270631e-05
2.54	7.603289234e-06	7.46817940166e-06	1.50714686357e-05
2.56	6.04469740392e-06	5.93540697987e-06	1.19801043838e-05
2.58	4.79696147573e-06	4.70873011791e-06	9.50569159364e-06
2.6	3.79993798042e-06	3.72884757711e-06	7.52878555753e-06
2.62	3.00472962169e-06	2.9475623352e-06	5.95229195689e-06
2.64	2.37166257584e-06	2.32578144206e-06	4.6974440179e-06
2.66	1.86861148984e-06	1.83186024944e-06	3.70047173929e-06
2.68	1.46961555972e-06	1.44023483842e-06	2.90985039814e-06
2.7	1.15373768972e-06	1.13029503707e-06	2.28403272679e-06
2.72	9.04126151172e-07	8.85457793343e-07	1.78958394451e-06
2.74	7.07244525019e-07	6.92406990995e-07	1.39965151601e-06
2.76	5.52241155899e-07	5.40471202761e-07	1.09271235866e-06
2.78	4.30433988005e-07	4.21115482867e-07	8.51549470872e-07
2.8	3.34890599169e-07	3.27527216746e-07	6.62417815914e-07
2.82	2.60086594571e-07	2.54279363481e-07	5.14365958052e-07
2.84	2.0162834821e-07	1.97057229205e-07	3.98685577415e-07
