# mass number (A) = 56
# number of protons (Z) = 26
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
1.02	34.7239472252	29.6889761144	64.4129233396
1.04	32.2938310184	27.3185785564	59.6124095749
1.06	29.9081649006	25.0287031038	54.9368680044
1.08	27.5820894807	22.8318183382	50.4139078189
1.1	25.3292216202	20.7381436086	46.0673652289
1.12	23.1614737908	18.7556627183	41.9171365091
1.14	21.0889327139	16.8901896019	37.9791223158
1.16	19.1197953226	15.14547805	34.2652733726
1.18	17.2603582917	13.5233671562	30.7837254479
1.2	15.5150559428	12.0239541125	27.5390100552
1.22	13.886540255	10.6457862243	24.5323264793
1.24	12.3757960135	9.38606450582	21.7618605194
1.26	10.9822837699	8.24085189701	19.2231356669
1.28	9.70410326244	7.20527996594	16.9093832284
1.3	8.53817018882	6.27374887015	14.811919059
1.32	7.48039970308	5.4401163031	12.9205160062
1.34	6.52589066699	4.69787210658	11.2237627736
1.36	5.66910546972	4.04029614906	9.70940161879
1.38	4.90404109067	3.46059792804	8.36463901871
1.4	4.22438797184	2.95203712785	7.17642509969
1.42	3.62367414773	2.50802504028	6.131699188
1.44	3.09539291946	2.12220732373	5.21760024319
1.46	2.63311312856	1.78852903659	4.42164216515
1.48	2.23057176678	1.50128323224	3.73185499902
1.5	1.88174923845	1.25514465386	3.13689389231
1.52	1.58092806572	1.04519022502	2.62611829074
1.54	1.32273619501	0.866908108091	2.18964430311
1.56	1.10217632813	0.716197108509	1.81837343664
1.58	0.914642873191	0.589358151999	1.50400102519
1.6	0.755928197748	0.483079465626	1.23900766337
1.62	0.622219881815	0.394416964589	1.0166368464
1.64	0.510090624924	0.320771195164	0.830861820087
1.66	0.416482370746	0.259862020125	0.676344390871
1.68	0.338686088161	0.209702064229	0.54838815239
1.7	0.274318499721	0.168569770766	0.442888270486
1.72	0.221296887375	0.134982760995	0.356279648369
1.74	0.177812939427	0.107672040421	0.285484979849
1.76	0.142306439093	0.085557461962	0.227863901054
1.78	0.113439438969	0.0677247377584	0.181164176728
1.8	0.0900714213884	0.0534041893572	0.143475610746
1.82	0.0712358145122	0.0419513401037	0.113187154616
1.84	0.0561181198656	0.0328293832789	0.0889475031446
1.86	0.0440358092519	0.025593503626	0.0696293128779
1.88	0.0344200675567	0.0198769871174	0.0542970546741
1.9	0.0267993920356	0.0153790225576	0.0421784145932
1.92	0.0207850070897	0.0118540772998	0.0326390843895
1.94	0.0160580148194	0.00910271637353	0.0251607311929
1.96	0.0123581741642	0.00696372816317	0.0193219023274
1.98	0.00947418353442	0.00530741902012	0.0147816025545
2.0	0.00723533186399	0.00402994258072	0.0112652744447
2.02	0.00550437943099	0.00304853598049	0.00855291541149
2.04	0.00417153117946	0.00229754366112	0.00646907484058
2.06	0.00314937038579	0.00172511927152	0.00487448965731
2.08	0.00236862825947	0.00129050663201	0.00365913489148
2.1	0.00177467454069	0.000961811361478	0.00273648590217
2.12	0.00132462461089	0.000714185183055	0.00203880979394
2.14	0.000984969475408	0.000528354850706	0.00151332432611
2.16	0.000729645754864	0.000389436892144	0.00111908264701
2.18	0.000538473200489	0.000285987828626	0.000824461029115
2.2	0.000395896996259	0.000209247153908	0.000605144150167
2.22	0.000289981078635	0.000152537120803	0.000442518199439
2.24	0.000211606813205	0.000110789315129	0.000322396128335
2.26	0.000153838587985	8.01731373055e-05	0.00023401172529
2.28	0.000111424226742	5.78057202079e-05	0.00016922994695
2.3	8.04036316059e-05	4.15265556964e-05	0.000121930187302
2.32	5.78037901639e-05	2.97232527871e-05	8.7527042951e-05
2.34	4.14022973658e-05	2.11974789914e-05	6.25997763572e-05
2.36	2.95449212061e-05	1.50623115852e-05	4.46072327914e-05
2.38	2.10055588709e-05	1.0664011715e-05	3.16695705859e-05
2.4	1.48792600272e-05	7.52269001576e-06	2.24019500429e-05
2.42	1.05009051595e-05	5.28751045646e-06	1.5788415616e-05
2.44	7.38368252179e-06	3.70302586098e-06	1.10867083828e-05
2.46	5.17276420509e-06	2.58399433949e-06	7.75675854458e-06
2.48	3.61059017799e-06	1.79662531236e-06	5.40721549035e-06
2.5	2.51097255303e-06	1.24467627878e-06	3.75564883181e-06
2.52	1.73986818457e-06	8.591915902e-07	2.59905977477e-06
2.54	1.20116770674e-06	5.90962681707e-07	1.79213038844e-06
2.56	8.2623983419e-07	4.05012311778e-07	1.23125214597e-06
2.58	5.66273194918e-07	2.76577078431e-07	8.42850273349e-07
2.6	3.8669222647e-07	1.88193909564e-07	5.74886136034e-07
2.62	2.63103463335e-07	1.27596265212e-07	3.90699728546e-07
2.64	1.78365746014e-07	8.62015245781e-08	2.64567270593e-07
2.66	1.20481994738e-07	5.80280605164e-08	1.78510055254e-07
2.68	8.10887575448e-08	3.8923223211e-08	1.20011980756e-07
2.7	5.43787102232e-08	2.60152888448e-08	8.0393999068e-08
2.72	3.63353072392e-08	1.73260305108e-08	5.36613377501e-08
2.74	2.41914738787e-08	1.14979784761e-08	3.56894523548e-08
2.76	1.60483808236e-08	7.60321553584e-09	2.36515963594e-08
2.78	1.06080930733e-08	5.00988644202e-09	1.56179795153e-08
2.8	6.98686577454e-09	3.28938404136e-09	1.02762498159e-08
2.82	4.58530463106e-09	2.15208155553e-09	6.73738618659e-09
2.84	2.99844720315e-09	1.40301274763e-09	4.40145995078e-09
2.86	1.95374872219e-09	9.11432551218e-10	2.86518127341e-09
2.88	1.26848908498e-09	5.89995550182e-10	1.85848463516e-09
2.9	8.20638892909e-10	3.80570792693e-10	1.2012096856e-09
2.92	5.29013027481e-10	2.44616588029e-10	7.7362961551e-10
2.94	3.39806040674e-10	1.56675567501e-10	4.96481608175e-10
2.96	2.1749425859e-10	9.99960265369e-11	3.17490285127e-10
2.98	1.38713254756e-10	6.35962423805e-11	2.02309497137e-10
3.0	8.8154208785e-11	4.03040368059e-11	1.28458245591e-10
3.02	5.58244561108e-11	2.54527744322e-11	8.1277230543e-11
3.04	3.52260312453e-11	1.60174101325e-11	5.12434413778e-11
3.06	2.21494058228e-11	1.00443335136e-11	3.21937393364e-11
3.08	1.38778104256e-11	6.27657427966e-12	2.01543847053e-11
3.1	8.66446314959e-12	3.90839078965e-12	1.25728539392e-11
3.12	5.39045610282e-12	2.42520286916e-12	7.81565897198e-12
3.14	3.34174879075e-12	1.49959490538e-12	4.84134369613e-12
3.16	2.06437113704e-12	9.24009892058e-13	2.9883810291e-12
3.18	1.27077507937e-12	5.67357814386e-13	1.83813289376e-12
3.2	7.79502927176e-13	3.47149205905e-13	1.12665213308e-12
3.22	4.76470653668e-13	2.11667884867e-13	6.88138538534e-13
3.24	2.90218494491e-13	1.28609885414e-13	4.18828379905e-13
3.26	1.76151233325e-13	7.78709071376e-14	2.54022140463e-13
3.28	1.06541572367e-13	4.69849228048e-14	1.53526495172e-13
3.3	6.42135146273e-14	2.82504316589e-14	9.24639462863e-14
3.32	3.8566373373e-14	1.69268371972e-14	5.54932105702e-14
3.34	2.30816717551e-14	1.0106750933e-14	3.3188422688e-14
3.36	1.37658450712e-14	6.01358108921e-15	1.97794261604e-14
3.38	8.18119403529e-15	3.56567268647e-15	1.17468667218e-14
3.4	4.84517793807e-15	2.10686782635e-15	6.95204576441e-15
3.42	2.8594532329e-15	1.24057044165e-15	4.10002367455e-15
3.44	1.68165724812e-15	7.27938490404e-16	2.40959573852e-15
3.46	9.85539785335e-16	4.25655096334e-16	1.41119488167e-15
