# mass number (A) = 15
# number of protons (Z) = 8
# number of neutrons (N) = 7
# k (1/fm)	n_1(k) (fm^3)
0.0	3.02391821108
0.02	3.02686971922
0.04	3.035657839
0.06	3.05008466819
0.08	3.06982471186
0.1	3.0944312906
0.12	3.12334530496
0.14	3.15590615585
0.16	3.19136457273
0.18	3.22889706022
0.2	3.26762164022
0.22	3.30661454159
0.24	3.34492747332
0.26	3.38160511042
0.28	3.41570242429
0.3	3.44630150098
0.32	3.47252751069
0.34	3.49356351993
0.36	3.50866387211
0.38	3.51716590302
0.4	3.51849980202
0.42	3.51219647786
0.44	3.49789333742
0.46	3.47533793569
0.48	3.44438950382
0.5	3.40501840917
0.52	3.35730364406
0.54	3.30142847925
0.56	3.23767445153
0.58	3.16641388302
0.6	3.08810115155
0.62	3.00326294673
0.64	2.91248775526
0.66	2.81641482157
0.68	2.71572282669
0.7	2.61111851897
0.72	2.50332551672
0.74	2.39307348461
0.76	2.28108786409
0.78	2.1680803139
0.8	2.05473999045
0.82	1.94172577089
0.84	1.82965949399
0.86	1.71912026702
0.88	1.61063986094
0.9	1.50469919161
0.92	1.40172586288
0.94	1.30209272753
0.96	1.206117405
0.98	1.11406268109
1.0	1.02613770357
1.02	0.942499879627
1.04	0.863257376215
1.06	0.788472121585
1.08	0.718163206725
1.1	0.652310587646
1.12	0.590858993815
1.14	0.533721954018
1.16	0.480785858179
1.18	0.431913981931
1.2	0.386950409688
1.22	0.345723801221
1.24	0.308050956235
1.26	0.273740140655
1.28	0.242594147328
1.3	0.21441307225
1.32	0.188996795242
1.34	0.16614716098
1.36	0.145669862559
1.38	0.12737603506
1.4	0.111083571094
1.42	0.0966181739127
1.44	0.0838141664546
1.46	0.0725150767012
1.48	0.0625740210387
1.5	0.0538539079562
1.52	0.0462274845143
1.54	0.0395772476287
1.56	0.0337952414227
1.58	0.0287827607925
1.6	0.0244499799681
1.62	0.0207155233222
1.64	0.017505994024
1.66	0.0147554744334
1.68	0.0124050104108
1.7	0.0104020900322
1.72	0.00870012558151
1.74	0.00725794615561
1.76	0.00603930680201
1.78	0.00501241880757
1.8	0.0041495045912
1.82	0.00342637962063
1.84	0.00282206287458
1.86	0.00231841660257
1.88	0.0018998154896
1.9	0.00155284480292
1.92	0.00126602667425
1.94	0.00102957334229
1.96	0.000835165937078
1.98	0.000675757217785
2.0	0.000545396570165
2.02	0.000439075517057
2.04	0.000352591987523
2.06	0.000282431617622
2.08	0.000225664411387
2.1	0.0001798551672
2.12	0.000142986166549
2.14	0.00011339072406
2.16	8.96963053504e-05
2.18	7.07760292144e-05
2.2	5.57074799971e-05
2.22	4.3737862629e-05
2.24	3.42546348868e-05
2.26	2.67608478904e-05
2.28	2.08545157892e-05
2.3	1.62114185601e-05
2.32	1.25708176299e-05
2.34	9.72363264055e-06
2.36	7.50268927818e-06
2.38	5.77470297748e-06
2.4	4.43371187658e-06
2.42	3.39571507969e-06
2.44	2.59430955944e-06
2.46	1.97715139011e-06
2.48	1.50309493393e-06
2.5	1.1398875797e-06
2.52	8.62318107546e-07
2.54	6.50734148703e-07
2.56	4.89858915603e-07
2.58	3.67849751164e-07
2.6	2.75551409644e-07
2.62	2.05905621665e-07
2.64	1.53485668168e-07
2.66	1.14130616019e-07
2.68	8.46587469841e-08
2.7	6.26437109398e-08
2.72	4.62401989427e-08
2.74	3.40485864004e-08
2.76	2.50101467481e-08
2.78	1.83261708669e-08
2.8	1.33957219588e-08
2.82	9.76787230254e-09
2.84	7.10515931175e-09
2.86	5.15570663507e-09
2.88	3.73201712757e-09
2.9	2.69488740456e-09
2.92	1.94124204795e-09
2.94	1.39495859522e-09
2.96	9.99967744765e-10
2.98	7.150792701e-10
3.0	5.10112979508e-10
3.02	3.63013693221e-10
3.04	2.57706004781e-10
3.06	1.82503588485e-10
3.08	1.28932989208e-10
3.1	9.08663104637e-11
3.12	6.38834489882e-11
3.14	4.48044185036e-11
3.16	3.13473453498e-11
3.18	2.18790530833e-11
3.2	1.52336683239e-11
3.22	1.05810574598e-11
3.24	7.33166529099e-12
3.26	5.06787083861e-12
3.28	3.49460552953e-12
3.3	2.40392466676e-12
3.32	1.64965820558e-12
3.34	1.12932218312e-12
3.36	7.71245878267e-13
3.38	5.25435361465e-13
3.4	3.57106299353e-13
3.42	2.42118414698e-13
3.44	1.63761024512e-13
3.46	1.10495858184e-13
3.48	7.43762859045e-14
3.5	4.99431940933e-14
