# mass number (A) = 9
# number of protons (Z) = 4
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
1.52	0.320113951685	0.227394149951	0.547508101636
1.54	0.278993451068	0.19784947992	0.476842930988
1.56	0.242596322723	0.171754896427	0.414351219151
1.58	0.210463344282	0.14876558949	0.359228933772
1.6	0.182167968087	0.128562874685	0.310730842772
1.62	0.157315708867	0.110853392229	0.268169101096
1.64	0.135543259974	0.0953681463354	0.230911406309
1.66	0.116517387089	0.0818614185836	0.198378805673
1.68	0.0999336450269	0.0701095863537	0.170043231381
1.7	0.0855149595733	0.0599098745018	0.145424834075
1.72	0.0730101124164	0.0510790655224	0.124089177939
1.74	0.0621921632089	0.0434521904701	0.105644353679
1.76	0.0528568387856	0.0368812199855	0.0897380587711
1.78	0.0448209155968	0.0312337719441	0.0760546875409
1.8	0.0379206175945	0.0263918495472	0.0643124671417
1.82	0.0320100481823	0.0222506211484	0.0542606693307
1.84	0.0269596714384	0.0187172507697	0.0456769222081
1.86	0.0226548546903	0.0157097861337	0.038364640824
1.88	0.0189944816744	0.0131561091224	0.0321505907968
1.9	0.0158896429568	0.0109929518797	0.0268825948365
1.92	0.013262408041	0.00916498029428	0.0224273883353
1.94	0.0110446816237	0.00762394533203	0.0186686269557
1.96	0.00917714478002	0.00632790161681	0.0155050463968
1.98	0.0076082804507	0.00524049177681	0.0128487722275
2.0	0.00629348143866	0.00433029436373	0.0106237758024
2.02	0.00519423819434	0.00357023259946	0.0087644707938
2.04	0.00427740294302	0.0029370407925	0.00721444373552
2.06	0.00351452617072	0.00241078497814	0.00592531114886
2.08	0.00288126110999	0.00197443415576	0.00485569526574
2.1	0.0023568316336	0.00161347840837	0.00397031004198
2.12	0.00192355885086	0.00131559017853	0.00323914902939
2.14	0.00156644168858	0.00107032502702	0.0026367667156
2.16	0.00127278680861	0.000868858305059	0.00214164511367
2.18	0.00103188334906	0.000703754313476	0.00173563766254
2.2	0.000834718162521	0.000568764696145	0.00140348285867
2.22	0.000673727448685	0.000458653008595	0.00113238045728
2.24	0.000542580928729	0.000369042610404	0.000911623539133
2.26	0.000435994975461	0.000296285244365	0.000732280219826
2.28	0.000349571388095	0.000237347881508	0.000586919269603
2.3	0.000279658776715	0.000189715624577	0.000469374401292
2.32	0.000223233793743	0.00015130866998	0.000374542463724
2.34	0.000177799713542	0.000120411527009	0.000298211240551
2.36	0.000141300113581	9.56128813337e-05	0.000236912994915
2.38	0.000112045648834	7.57546661109e-05	0.000187800314945
2.4	8.86521338207e-05	5.98890676789e-05	0.0001485412015
2.42	6.99883529193e-05	4.72423433687e-05	0.000117230696288
2.44	5.51322088953e-05	3.71844664372e-05	9.23166753325e-05
2.46	4.33339920642e-05	2.92037377038e-05	7.2537729768e-05
2.48	3.39857084478e-05	2.28856156389e-05	5.68713240866e-05
2.5	2.65955453929e-05	1.78951169893e-05	4.44906623822e-05
2.52	2.07666781709e-05	1.39622292558e-05	3.47289074267e-05
2.54	1.61797320434e-05	1.08698552361e-05	2.70495872795e-05
2.56	1.25783121895e-05	8.44387924236e-06	2.10221914318e-05
2.58	9.75709981963e-06	6.54500531874e-06	1.63021051384e-05
2.6	7.55208782148e-06	5.06207065058e-06	1.26141584721e-05
2.62	5.83259446981e-06	3.9065831655e-06	9.73917763531e-06
2.64	4.49475009295e-06	3.00827184042e-06	7.50302193337e-06
