# mass number (A) = 11
# number of protons (Z) = 6
# number of neutrons (N) = 5
# k (1/fm)	n_1(k) (fm^3)
0.0	3.70581828158
0.02	3.70649029728
0.04	3.70847105968
0.06	3.71165543603
0.08	3.7158705937
0.1	3.7208795269
0.12	3.72638588355
0.14	3.73203998496
0.16	3.73744590526
0.18	3.7421694551
0.2	3.7457468955
0.22	3.74769419365
0.24	3.74751662298
0.26	3.74471850511
0.28	3.73881289162
0.3	3.72933098845
0.32	3.71583113544
0.34	3.69790716727
0.36	3.67519599936
0.38	3.64738430341
0.4	3.61421416016
0.42	3.57548760242
0.44	3.53106998794
0.46	3.48089216833
0.48	3.42495144754
0.5	3.36331134889
0.52	3.2961002345
0.54	3.22350884324
0.56	3.14578683356
0.58	3.06323843442
0.6	2.97621732185
0.62	2.88512084924
0.64	2.79038376648
0.66	2.69247156719
0.68	2.59187360362
0.7	2.48909610598
0.72	2.38465523756
0.74	2.27907030867
0.76	2.17285726216
0.78	2.06652253082
0.8	1.96055735342
0.82	1.85543262148
0.84	1.75159431357
0.86	1.6494595585
0.88	1.5494133537
0.9	1.45180595024
0.92	1.35695090246
0.94	1.26512376728
0.96	1.17656142701
0.98	1.09146199975
1.0	1.00998529314
1.02	0.932253750555
1.04	0.85835383411
1.06	0.788337785199
1.08	0.722225701827
1.1	0.660007871418
1.12	0.601647298855
1.14	0.547082371589
1.16	0.496229606796
1.18	0.448986429474
1.2	0.405233934967
1.22	0.364839594455
1.24	0.327659867317
1.26	0.293542689775
1.28	0.262329814772
1.3	0.233858983442
1.32	0.207965913713
1.34	0.184486096484
1.36	0.163256394289
1.38	0.144116441425
1.4	0.126909848126
1.42	0.111485214426
1.44	0.0976969619521
1.46	0.0854059940232
1.48	0.0744801959968
1.5	0.0647947890377
1.52	0.0562325512208
1.54	0.0486839202808
1.56	0.0420469923868
1.58	0.0362274310916
1.6	0.0311383001485
1.62	0.026699833223
1.64	0.0228391527189
1.66	0.0194899490069
1.68	0.0165921303457
1.7	0.0140914527329
1.72	0.0119391378632
1.74	0.0100914863168
1.76	0.00850949207852
1.78	0.00715846351166
1.8	0.00600765499491
1.82	0.00502991258283
1.84	0.00420133628067
1.86	0.00350096083125
1.88	0.00291045630036
1.9	0.00241384921483
1.92	0.00199726455194
1.94	0.001648688496
1.96	0.00135775156385
1.98	0.00111553144855
2.0	0.000914374735269
2.02	0.000747736498185
2.04	0.000610036686113
2.06	0.000496532141764
2.08	0.000403203068881
2.1	0.000326652757836
2.12	0.000264019398461
2.14	0.000212898844484
2.16	0.000171277242757
2.18	0.000137472499163
2.2	0.000110083618316
2.22	8.79470236055e-05
2.24	7.00990353085e-05
2.26	5.57437558584e-05
2.28	4.42256813359e-05
2.3	3.50064257916e-05
2.32	2.76450092995e-05
2.34	2.17812210753e-05
2.36	1.71216252161e-05
2.38	1.34278284096e-05
2.4	1.050667627e-05
2.42	8.20208782214e-06
2.44	6.38827621105e-06
2.46	4.9641381527e-06
2.48	3.84862521434e-06
2.5	2.97693697759e-06
2.52	2.29739979193e-06
2.54	1.76891545865e-06
2.56	1.35888208905e-06
2.58	1.04150483667e-06
2.6	7.96427483176e-07
2.62	6.0762721252e-07
2.64	4.62524573362e-07
2.66	3.51268821242e-07
2.68	2.66165743293e-07
2.7	2.01220876055e-07
2.72	1.51775886863e-07
2.74	1.14219939944e-07
2.76	8.57612312718e-08
2.78	6.42466574129e-08
2.8	4.80198750499e-08
2.82	3.58098887753e-08
2.84	2.66438431011e-08
2.86	1.97789482506e-08
2.88	1.46494873064e-08
2.9	1.08256760705e-08
2.92	7.98181132656e-09
2.94	5.87167710656e-09
2.96	4.30960623892e-09
2.98	3.15593587843e-09
3.0	2.30586740404e-09
3.02	1.68095655435e-09
3.04	1.22263003214e-09
3.06	8.87259068778e-10
3.08	6.42425912892e-10
3.1	4.64101808998e-10
3.12	3.34519520134e-10
3.14	2.405736409e-10
3.16	1.72620894001e-10
3.18	1.23582732426e-10
3.2	8.82758070889e-11
3.22	6.2913728977e-11
3.24	4.47372549826e-11
3.26	3.17404995316e-11
3.28	2.24687565426e-11
3.3	1.58695827636e-11
3.32	1.11833906271e-11
3.34	7.86327236276e-12
3.36	5.51639425348e-12
3.38	3.86126619185e-12
3.4	2.69666476678e-12
3.42	1.87908858698e-12
3.44	1.30644436945e-12
3.46	9.06271356212e-13
3.48	6.27262811147e-13
3.5	4.33176675685e-13
