# mass number (A) = 12
# number of protons (Z) = 6
#units k = 1/fm , units n_1(k) = fm^3# k (1/fm)	n	p	tot
1.0	6.10446589373	6.10028056767	12.2047464614
1.02	5.62869081396	5.62401060326	11.2527014172
1.04	5.17658941952	5.17151228312	10.3481017026
1.06	4.74851906842	4.74313669257	9.49165576099
1.08	4.34462655243	4.33902387665	8.68365042907
1.1	3.96486391151	3.95911879413	7.92398270564
1.12	3.60900549156	3.60318850774	7.2121939993
1.14	3.27666584925	3.2708402123	6.54750606155
1.16	2.96731813149	2.96153972676	5.92885785825
1.18	2.68031258613	2.67463010567	5.3549426918
1.2	2.41489489378	2.40935005923	4.82424495301
1.22	2.17022404699	2.16485190747	4.33507595445
1.24	1.94538954058	1.94021883262	3.8856083732
1.26	1.73942767563	1.7344812323	3.47390890794
1.28	1.55133681802	1.54663201472	3.09796883275
1.3	1.38009148919	1.37564071455	2.75573220374
1.32	1.22465520245	1.22046634345	2.4451215459
1.34	1.08399199075	1.0800689223	2.16406091306
1.36	0.9570766019	0.953419672131	1.91049627403
1.38	0.842903363902	0.839509867679	1.68241323158
1.4	0.740493746663	0.737358380904	1.47785212757
1.42	0.648902665933	0.64601796153	1.29492062746
1.44	0.567223591944	0.564580318196	1.13180391014
1.46	0.494592538108	0.492180076645	0.986772614753
1.48	0.430191014962	0.427997701116	0.858188716078
1.5	0.373248041288	0.371261471758	0.744509513046
1.52	0.323041308348	0.321248614822	0.644289923171
1.54	0.278897594756	0.277285683827	0.556183278583
1.56	0.240192528892	0.238748289203	0.478940818095
1.58	0.206349793404	0.205060271424	0.411410064828
1.6	0.176839862372	0.175692408611	0.352532270983
1.62	0.151178356647	0.150160744378	0.301339101025
1.64	0.128924096813	0.128024615595	0.256948712407
1.66	0.10967692658	0.108884452972	0.218561379552
1.68	0.0930753723283	0.0923794202596	0.185454792588
1.7	0.0787941972784	0.0781849505123	0.156979147791
1.72	0.066541901509	0.0660102305991	0.132552132108
1.74	0.0560582119467	0.0555956779704	0.111653889917
1.76	0.0471115996373	0.0467104468689	0.0938220465062
1.78	0.0394968551798	0.0391499947112	0.078646849891
1.8	0.0330327472365	0.0327337333804	0.0657664806169
1.82	0.0275597835685	0.0273027847035	0.0548625682719
1.84	0.0229380891306	0.0227178544606	0.0456559435913
1.86	0.0190454113935	0.018857234914	0.0379026463075
1.88	0.0157752592462	0.0156149420321	0.0313902012784
1.9	0.0130351785594	0.0128989903203	0.0259341688796
1.92	0.0107451647221	0.0106298054126	0.0213749701348
1.94	0.00883621018472	0.00873877231166	0.0175749824964
1.96	0.00724898319516	0.00716691533149	0.0144158985266
1.98	0.00593263247977	0.00586370437585	0.0117963368556
2.0	0.00484371153465	0.00478598111395	0.0096296926486
2.02	0.00394521542872	0.00389699786414	0.00784221329286
2.04	0.00320572252479	0.00316556151472	0.00637128403951
2.06	0.00259863326272	0.00256527456099	0.00516390782371
2.08	0.00210149807957	0.00207386528061	0.00417536336017
2.1	0.00169542663089	0.0016725991682	0.00336802579908
2.12	0.00136457069154	0.00134576397462	0.00271033466616
2.14	0.00109567342623	0.00108022101572	0.00217589444195
2.16	0.00087767810255	0.000865015805649	0.0017426939082
2.18	0.000701389752198	0.000691041508474	0.00139243126067
2.2	0.000559183748994	0.000550749170068	0.00110993291906
2.22	0.000444755751121	0.000437899175317	0.000882654926438
2.24	0.000352907935881	0.000347348859809	0.00070025679569
2.26	0.000279366928508	0.000274871681195	0.000554238609703
2.28	0.000220629284086	0.000217003814865	0.000437633098951
2.3	0.000173830817512	0.000170914475941	0.000344745293453
2.32	0.000136636486498	0.000134296680649	0.000270933167147
2.34	0.000107147914149	0.000105275542205	0.000212423456354
2.36	8.38259891119e-05	8.23315481217e-05	0.000166157537234
2.38	6.54263021818e-05	6.42365866936e-05	0.000129662888875
2.4	5.09454688401e-05	5.00007808407e-05	0.000100946249681
2.42	3.95766483595e-05	3.88284482776e-05	7.84050966371e-05
2.44	3.06728031794e-05	3.00817395962e-05	6.07545427756e-05
2.46	2.3716448879e-05	2.32507119452e-05	4.69671608243e-05
2.48	1.82948271381e-05	1.79287774694e-05	3.62236046075e-05
2.5	1.40795935216e-05	1.37926245365e-05	2.78722180581e-05
2.52	1.08102508147e-05	1.05858480677e-05	2.13960988824e-05
2.54	8.28067894181e-06	8.10564502338e-06	1.63863239652e-05
2.56	6.32821619643e-06	6.19203423098e-06	1.25202504274e-05
2.58	4.82483542829e-06	4.7191481441e-06	9.54398357239e-06
2.6	3.67003472504e-06	3.5882195271e-06	7.25825425214e-06
2.62	2.78512659363e-06	2.72195008525e-06	5.50707667888e-06
2.64	2.10866416568e-06	2.06000217684e-06	4.16866634252e-06
2.66	1.59278885422e-06	1.55540028545e-06	3.14818913967e-06
2.68	1.20032237316e-06	1.17166709253e-06	2.3719894657e-06
