# mass number (A) = 4
# number of protons (Z) = 2
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	n	p	tot
2.1	0.00074573705665	0.00074573705665	0.000372868528325
2.15	0.000462260379088	0.000462260379088	0.000231130189544
2.2	0.000283335232081	0.000283335232081	0.00014166761604
2.25	0.0001717225999	0.0001717225999	8.58612999502e-05
2.3	0.000102912301873	0.000102912301873	5.14561509366e-05
2.35	6.09845878323e-05	6.09845878323e-05	3.04922939162e-05
2.4	3.57343475539e-05	3.57343475539e-05	1.78671737769e-05
2.45	2.07044922564e-05	2.07044922564e-05	1.03522461282e-05
2.5	1.1861955095e-05	1.1861955095e-05	5.93097754748e-06
2.55	6.71987090735e-06	6.71987090735e-06	3.35993545367e-06
2.6	3.76425077077e-06	3.76425077077e-06	1.88212538538e-06
2.65	2.08501473908e-06	2.08501473908e-06	1.04250736954e-06
2.7	1.14196468642e-06	1.14196468642e-06	5.7098234321e-07
2.75	6.18456534389e-07	6.18456534389e-07	3.09228267195e-07
2.8	3.31191097418e-07	3.31191097418e-07	1.65595548709e-07
2.85	1.75372337005e-07	1.75372337005e-07	8.76861685023e-08
2.9	9.18240593387e-08	9.18240593387e-08	4.59120296693e-08
2.95	4.75406209723e-08	4.75406209723e-08	2.37703104862e-08
3.0	2.43380722328e-08	2.43380722328e-08	1.21690361164e-08
3.05	1.23202767851e-08	1.23202767851e-08	6.16013839255e-09
3.1	6.16691151672e-09	6.16691151672e-09	3.08345575836e-09
3.15	3.05230503514e-09	3.05230503514e-09	1.52615251757e-09
3.2	1.49382977821e-09	1.49382977821e-09	7.46914889106e-10
3.25	7.2291503187e-10	7.2291503187e-10	3.61457515935e-10
3.3	3.45928514253e-10	3.45928514253e-10	1.72964257127e-10
3.35	1.63681060925e-10	1.63681060925e-10	8.18405304624e-11
3.4	7.65814287443e-11	7.65814287443e-11	3.82907143722e-11
3.45	3.54292093977e-11	3.54292093977e-11	1.77146046989e-11
3.5	1.62073653155e-11	1.62073653155e-11	8.10368265775e-12
3.55	7.33122156203e-12	7.33122156203e-12	3.66561078102e-12
3.6	3.27908920781e-12	3.27908920781e-12	1.63954460391e-12
3.65	1.45025069513e-12	1.45025069513e-12	7.25125347563e-13
3.7	6.34228707995e-13	6.34228707995e-13	3.17114353997e-13
3.75	2.74259496012e-13	2.74259496012e-13	1.37129748006e-13
3.8	1.17270942193e-13	1.17270942193e-13	5.86354710966e-14
3.85	4.95829222133e-14	4.95829222133e-14	2.47914611067e-14
3.9	2.07294026048e-14	2.07294026048e-14	1.03647013024e-14
3.95	8.56947897623e-15	8.56947897623e-15	4.28473948812e-15
4.0	3.50295866207e-15	3.50295866207e-15	1.75147933103e-15
4.05	1.41588692212e-15	1.41588692212e-15	7.07943461062e-16
4.1	5.65894003508e-16	5.65894003508e-16	2.82947001754e-16
4.15	2.23642622856e-16	2.23642622856e-16	1.11821311428e-16
4.2	8.73950882898e-17	8.73950882898e-17	4.36975441449e-17
4.25	3.37701070523e-17	3.37701070523e-17	1.68850535262e-17
4.3	1.29030034306e-17	1.29030034306e-17	6.45150171531e-18
4.35	4.87486004227e-18	4.87486004227e-18	2.43743002114e-18
4.4	1.82115308503e-18	1.82115308503e-18	9.10576542515e-19
4.45	6.72734529934e-19	6.72734529934e-19	3.36367264967e-19
4.5	2.45727605569e-19	2.45727605569e-19	1.22863802785e-19
4.55	8.87517941935e-20	8.87517941935e-20	4.43758970967e-20
4.6	3.16966451274e-20	3.16966451274e-20	1.58483225637e-20
4.65	1.11934101398e-20	1.11934101398e-20	5.59670506991e-21
4.7	3.90862945171e-21	3.90862945171e-21	1.95431472586e-21
4.75	1.34958283707e-21	1.34958283707e-21	6.74791418535e-22
4.8	4.60773566344e-22	4.60773566344e-22	2.30386783172e-22
4.85	1.55556631412e-22	1.55556631412e-22	7.77783157061e-23
4.9	5.19281040985e-23	5.19281040985e-23	2.59640520492e-23
4.95	1.71407320936e-23	1.71407320936e-23	8.57036604679e-24
5.0	5.59460244467e-24	5.59460244467e-24	2.79730122233e-24
#normalisation = 1.0
#eerste moment n(k)k**2 = 0.752158994964
#2e moment n(k)k**2 = 0.66649974562
#3e moment n(k)k**2 = 0.66841801766
#4e moment n(k)k**2 = 0.74036985152
#sigma**2 n(k)k**2 = 0.100756591916
#kurtosis n(k)k**2 = 0.10813176321
#skewness n(k)k**2 = 0.485714496874
