#9Be(3/2-) -- AV18+UX -- 05-Sep-13
#
#VMC 20k samples using 250 gauss points in r out to 25.00 fm
#
#K = momentum in 1/fm
#RHOKN = neutron momentum distribution in fm**3
#DRHOKN = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  4.9999
#RHOKP = proton momentum distribution in fm**3
#DRHOKP = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4
#
#Kinetic energy
#.5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  119.21
#.5*(HC**2/MP)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  135.68
#                                                  =  254.89
#
#   K      RHOKN       DRHOKN      RHOKP       DRHOKP
# ****  ***********  *********  ***********  *********
#RHOKND = neutron spin-down momentum distribution in fm**3
#DRHOKND = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKND*K**2:K)/(2*PI)**3 =  2.1204
#RHOKNU = neutron spin-up momentum distribution in fm**3
#DRHOKNU = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKNU*K**2:K)/(2*PI)**3 =  2.8795
# 
#   K     RHOKND     DRHOKND    RHOKNU     DRHOKNU
# ****  **********  ********  **********  ********
  0    247.3        .6665    224.1       1.419
   .1  245.2        .6244    233.9       1.322
   .2  237.4        .5205    254.3       1.076
   .3  221.2        .397     266.8        .7631
   .4  196.1        .2832    259.3        .4778
   .5  164.2        .1971    230.7        .272
   .6  129.8        .1414    188.6        .1608
   .7   96.91       .1055    142.6        .1196
   .8   68.7        .07822   100.8        .0999
   .9   46.46       .05526    67.29       .07963
  1     30.16       .03647    42.81       .05867
  1.1   18.93       .02276    26.24       .04049
  1.2   11.58       .01486    15.65       .02718
  1.3    6.975      .01237     9.204      .01917
  1.4    4.201      .01255     5.409      .01552
  1.5    2.575      .01294     3.232      .01426
  1.6    1.641      .0128      2          .01364
  1.7    1.108      .01214     1.303      .0129
  1.8     .8008     .01113      .9047     .01193
  1.9     .619      .009934     .6711     .01076
  2       .5055     .008672     .5287     .009485
  2.1     .4296     .007429     .4371     .008196
  2.2     .3745     .006261     .3743     .006953
  2.3     .3314     .005202     .3279     .00581
  2.4     .2952     .004268     .2909     .004795
  2.5     .2635     .003463     .2597     .003913
  2.6     .235      .002785     .2324     .003168
  2.7     .209      .002222     .2076     .00255
  2.8     .1852     .001763     .1848     .002043
  2.9     .1635     .001394     .1638     .001631
  3       .1439     .001104     .1448     .0013
  3.1     .1262    8.821E-4     .1277     .00104
  3.2     .1103    7.193E-4     .1123    8.397E-4
  3.3     .09616   6.058E-4     .09834   6.931E-4
  3.4     .0836    5.308E-4     .08588   5.909E-4
  3.5     .07252   4.82E-4      .07476   5.228E-4
  3.6     .06275   4.485E-4     .06486   4.776E-4
  3.7     .05415   4.22E-4      .0561    4.454E-4
  3.8     .04662   3.978E-4     .0484    4.191E-4
  3.9     .04005   3.732E-4     .04166   3.941E-4
  4       .03433   3.474E-4     .03578   3.681E-4
  4.1     .02937   3.203E-4     .03066   3.405E-4
  4.2     .02507   2.923E-4     .02621   3.114E-4
  4.3     .02135   2.639E-4     .02235   2.817E-4
  4.4     .01813   2.358E-4     .01901   2.519E-4
  4.5     .01535   2.085E-4     .01613   2.228E-4
  4.6     .01295   1.825E-4     .01365   1.953E-4
  4.7     .0109    1.581E-4     .01152   1.696E-4
  4.8     .009151  1.357E-4     .009697  1.459E-4
  4.9     .007666  1.152E-4     .008145  1.245E-4
  5       .006408  9.68E-5      .006823  1.052E-4
  5.1     .005341  8.047E-5     .005698  8.798E-5
  5.2     .004435  6.613E-5     .004742  7.283E-5
  5.3     .003668  5.37E-5      .003931  5.957E-5
  5.4     .003021  4.309E-5     .003243  4.815E-5
  5.5     .002476  3.42E-5      .002663  3.851E-5
  5.6     .002021  2.695E-5     .002179  3.055E-5
  5.7     .001643  2.123E-5     .001775  2.421E-5
  5.8     .001331  1.692E-5     .00144   1.934E-5
  5.9     .001073  1.388E-5     .001162  1.579E-5
  6      8.629E-4  1.19E-5     9.342E-4  1.338E-5
  6.1    6.915E-4  1.071E-5    7.48E-4   1.182E-5
  6.2    5.522E-4  1E-5        5.971E-4  1.085E-5
  6.3    4.392E-4  9.538E-6    4.752E-4  1.021E-5
  6.4    3.477E-4  9.154E-6    3.765E-4  9.699E-6
  6.5    2.738E-4  8.76E-6     2.963E-4  9.233E-6
  6.6    2.143E-4  8.323E-6    2.316E-4  8.755E-6
  6.7    1.666E-4  7.833E-6    1.799E-4  8.243E-6
  6.8    1.289E-4  7.299E-6    1.389E-4  7.695E-6
  6.9    9.929E-5  6.732E-6    1.069E-4  7.115E-6
  7      7.628E-5  6.148E-6    8.218E-5  6.515E-6
  7.1    5.858E-5  5.56E-6     6.319E-5  5.908E-6
  7.2    4.514E-5  4.981E-6    4.868E-5  5.308E-6
  7.3    3.508E-5  4.423E-6    3.777E-5  4.728E-6
  7.4    2.764E-5  3.892E-6    2.963E-5  4.176E-6
  7.5    2.218E-5  3.394E-6    2.35E-5   3.657E-6
  7.6    1.821E-5  2.934E-6    1.891E-5  3.175E-6
  7.7    1.537E-5  2.515E-6    1.559E-5  2.732E-6
  7.8    1.336E-5  2.138E-6    1.325E-5  2.333E-6
  7.9    1.195E-5  1.806E-6    1.163E-5  1.98E-6
  8      1.092E-5  1.517E-6    1.056E-5  1.673E-6
  8.1    1.015E-5  1.269E-6    9.882E-6  1.407E-6
  8.2    9.542E-6  1.059E-6    9.422E-6  1.181E-6
  8.3    9.02E-6   8.868E-7    9.031E-6  9.942E-7
  8.4    8.564E-6  7.486E-7    8.635E-6  8.491E-7
  8.5    8.169E-6  6.413E-7    8.224E-6  7.41E-7
  8.6    7.821E-6  5.602E-7    7.806E-6  6.579E-7
  8.7    7.499E-6  5.005E-7    7.398E-6  5.9E-7
  8.8    7.189E-6  4.587E-7    7.019E-6  5.369E-7
  8.9    6.868E-6  4.314E-7    6.656E-6  5.031E-7
  9      6.499E-6  4.145E-7    6.289E-6  4.873E-7
  9.1    6.071E-6  4.034E-7    5.922E-6  4.788E-7
  9.2    5.617E-6  3.933E-7    5.591E-6  4.657E-7
  9.3    5.181E-6  3.812E-7    5.314E-6  4.452E-7
  9.4    4.774E-6  3.673E-7    5.075E-6  4.243E-7
  9.5    4.389E-6  3.532E-7    4.846E-6  4.108E-7
  9.6    4.018E-6  3.395E-7    4.604E-6  4.036E-7
  9.7    3.657E-6  3.252E-7    4.314E-6  3.938E-7
  9.8    3.301E-6  3.104E-7    3.949E-6  3.749E-7
  9.9    2.958E-6  2.973E-7    3.521E-6  3.504E-7
 10      2.642E-6  2.876E-7    3.075E-6  3.311E-7
 

#RHOKPD = proton spin-down momentum distribution in fm**3
#DRHOKPD = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKPD*K**2:K)/(2*PI)**3 =  2.0059
#RHOKPU = proton spin-up momentum distribution in fm**3
#DRHOKPU = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOKPU*K**2:K)/(2*PI)**3 =  1.9941
# 
#   K     RHOKPD     DRHOKPD    RHOKPU     DRHOKPU
# ****  **********  ********  **********  ********
  0    248.5        .6262    245.1        .6091
   .1  244.7        .5882    241.4        .5737
   .2  233          .4949    230.1        .4854
   .3  212.9        .3814    210.6        .3757
   .4  185.6        .2743    184          .2715
   .5  153.7        .1913    152.7        .1903
   .6  120.8        .1364    120.3        .1362
   .7   90.19       .101      89.94       .1009
   .8   64.12       .07456    64.05       .07453
   .9   43.59       .05262    43.58       .05261
  1     28.47       .03471    28.48       .03472
  1.1   17.97       .02167    17.97       .02167
  1.2   11.05       .01428    11.04       .01425
  1.3    6.681      .01215     6.661      .01208
  1.4    4.03       .01244     4.004      .01239
  1.5    2.471      .01283     2.444      .0128
  1.6    1.573      .01268     1.548      .01265
  1.7    1.062      .01201     1.039      .01198
  1.8     .7694     .011        .7493     .01097
  1.9     .5967     .009814     .5795     .009781
  2       .4898     .008566     .4749     .00853
  2.1     .4185     .007339     .4057     .007303
  2.2     .3667     .006187     .3557     .006153
  2.3     .3258     .005141     .3163     .005111
  2.4     .2912     .004219     .283      .004193
  2.5     .2606     .003424     .2535     .003402
  2.6     .2327     .002754     .2267     .002735
  2.7     .2071     .002198     .202      .002181
  2.8     .1836     .001745     .1793     .00173
  2.9     .1621     .00138      .1585     .001367
  3       .1426     .001092     .1396     .001081
  3.1     .1251    8.723E-4     .1225    8.63E-4
  3.2     .1093    7.111E-4     .1072    7.03E-4
  3.3     .09533   5.992E-4     .09352   5.919E-4
  3.4     .08288   5.253E-4     .08135   5.186E-4
  3.5     .07188   4.773E-4     .07058   4.71E-4
  3.6     .0622    4.44E-4      .06109   4.382E-4
  3.7     .05368   4.177E-4     .05274   4.124E-4
  3.8     .04622   3.934E-4     .04542   3.888E-4
  3.9     .0397    3.689E-4     .03904   3.649E-4
  4       .03403   3.432E-4     .03348   3.399E-4
  4.1     .0291    3.163E-4     .02865   3.135E-4
  4.2     .02483   2.885E-4     .02446   2.862E-4
  4.3     .02113   2.604E-4     .02083   2.585E-4
  4.4     .01793   2.325E-4     .01769   2.311E-4
  4.5     .01517   2.056E-4     .01498   2.044E-4
  4.6     .0128    1.799E-4     .01264   1.79E-4
  4.7     .01077   1.558E-4     .01064   1.551E-4
  4.8     .009042  1.337E-4     .008934  1.331E-4
  4.9     .007572  1.135E-4     .007483  1.13E-4
  5       .006326  9.54E-5      .006253  9.487E-5
  5.1     .00527   7.933E-5     .00521   7.879E-5
  5.2     .004373  6.522E-5     .004325  6.467E-5
  5.3     .003614  5.299E-5     .003575  5.244E-5
  5.4     .002975  4.254E-5     .002944  4.201E-5
  5.5     .002438  3.379E-5     .002413  3.33E-5
  5.6     .001989  2.665E-5     .00197   2.619E-5
  5.7     .001617  2.101E-5     .001601  2.06E-5
  5.8     .001309  1.675E-5     .001297  1.64E-5
  5.9     .001056  1.373E-5     .001046  1.344E-5
  6      8.487E-4  1.175E-5    8.413E-4  1.152E-5
  6.1    6.799E-4  1.055E-5    6.741E-4  1.036E-5
  6.2    5.429E-4  9.826E-6    5.383E-4  9.681E-6
  6.3    4.318E-4  9.351E-6    4.282E-4  9.237E-6
  6.4    3.419E-4  8.959E-6    3.39E-4   8.868E-6
  6.5    2.692E-4  8.563E-6    2.669E-4  8.491E-6
  6.6    2.107E-4  8.129E-6    2.089E-4  8.071E-6
  6.7    1.64E-4   7.647E-6    1.625E-4  7.601E-6
  6.8    1.269E-4  7.125E-6    1.257E-4  7.086E-6
  6.9    9.774E-5  6.572E-6    9.673E-5  6.538E-6
  7      7.497E-5  6.004E-6    7.414E-5  5.973E-6
  7.1    5.745E-5  5.433E-6    5.677E-5  5.403E-6
  7.2    4.413E-5  4.871E-6    4.359E-5  4.841E-6
  7.3    3.415E-5  4.328E-6    3.374E-5  4.299E-6
  7.4    2.68E-5   3.811E-6    2.65E-5   3.783E-6
  7.5    2.147E-5  3.327E-6    2.126E-5  3.3E-6
  7.6    1.765E-5  2.879E-6    1.749E-5  2.854E-6
  7.7    1.492E-5  2.471E-6    1.478E-5  2.447E-6
  7.8    1.297E-5  2.105E-6    1.285E-5  2.082E-6
  7.9    1.157E-5  1.782E-6    1.146E-5  1.76E-6
  8      1.055E-5  1.5E-6      1.043E-5  1.48E-6
  8.1    9.802E-6  1.259E-6    9.67E-6   1.241E-6
  8.2    9.231E-6  1.055E-6    9.094E-6  1.038E-6
  8.3    8.774E-6  8.852E-7    8.647E-6  8.709E-7
  8.4    8.382E-6  7.483E-7    8.28E-6   7.364E-7
  8.5    8.026E-6  6.412E-7    7.962E-6  6.317E-7
  8.6    7.687E-6  5.601E-7    7.663E-6  5.529E-7
  8.7    7.35E-6   5.008E-7    7.358E-6  4.954E-7
  8.8    7.005E-6  4.594E-7    7.03E-6   4.556E-7
  8.9    6.64E-6   4.329E-7    6.666E-6  4.302E-7
  9      6.246E-6  4.171E-7    6.262E-6  4.152E-7
  9.1    5.826E-6  4.064E-7    5.825E-6  4.052E-7
  9.2    5.405E-6  3.958E-7    5.38E-6   3.951E-7
  9.3    5.005E-6  3.822E-7    4.951E-6  3.821E-7
  9.4    4.632E-6  3.659E-7    4.548E-6  3.662E-7
  9.5    4.279E-6  3.486E-7    4.171E-6  3.492E-7
  9.6    3.939E-6  3.317E-7    3.815E-6  3.323E-7
  9.7    3.605E-6  3.156E-7    3.477E-6  3.159E-7
  9.8    3.274E-6  3.01E-7     3.151E-6  3.009E-7
  9.9    2.949E-6  2.893E-7    2.837E-6  2.886E-7
 10      2.631E-6  2.817E-7    2.536E-6  2.803E-7
