# mass number (A) = 9
# number of protons (Z) = 4
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	3.72	1e-05
0.0	3.74	1e-05
0.0	3.76	1e-05
0.0	3.78	1e-05
0.0	3.8	1e-05
0.0	3.82	1e-05
0.0	3.84	1e-05
0.0	3.86	1e-05
0.0	3.88	1e-05
0.0	3.9	1e-05
0.0	3.92	1e-05
0.0	3.94	1e-05
0.0	3.96	1e-05
0.0	3.98	1e-05
0.0	4.0	1e-05
0.0	4.02	1e-05
0.0	4.04	1e-05
0.0	4.06	1e-05
0.0	4.08	1e-05
0.0	4.1	1e-05
0.0	4.12	1e-05
0.0	4.14	1e-05
0.0	4.16	1e-05
0.0	4.18	1e-05
0.0	4.2	1e-05
0.0	4.22	1e-05
0.0	4.24	1e-05
0.0	4.26	1e-05
0.0	4.28	1e-05
0.0	4.3	1e-05
0.0	4.32	1e-05
0.0	4.34	1e-05
0.0	4.36	1e-05
0.0	4.38	1e-05
0.0	4.4	1e-05
0.0	4.42	1e-05
0.0	4.44	1e-05
0.0	4.46	1e-05
0.0	4.48	1e-05
0.0	4.5	1e-05
0.0	4.52	1e-05
0.0	4.54	1e-05
0.0	4.56	1e-05
0.0	4.58	1e-05
0.0	4.6	1e-05
0.0	4.62	1e-05
0.0	4.64	1e-05
0.0	4.66	1e-05
0.0	4.68	1e-05
0.0	4.7	1e-05
0.0	4.72	1e-05
0.0	4.74	1e-05
0.0	4.76	1e-05
0.0	4.78	1e-05
0.0	4.8	1e-05
0.0	4.82	1e-05
0.0	4.84	1e-05
0.0	4.86	1e-05
0.0	4.88	1e-05
0.0	4.9	1e-05
0.0	4.92	1e-05
0.0	4.94	1e-05
0.0	4.96	1e-05
0.0	4.98	1e-05
0.0	5.0	1e-05

0.02	0.0	15.2386657349
0.02	0.02	15.2359874355
0.02	0.04	15.2279171338
0.02	0.06	15.2143492119
0.02	0.08	15.1951096046
0.02	0.1	15.1699587217
0.02	0.12	15.1385954894
0.02	0.14	15.1006624603
0.02	0.16	15.0557519286
0.02	0.18	15.0034129736
0.02	0.2	14.94315934
0.02	0.22	14.8744780512
0.02	0.24	14.7968386421
0.02	0.26	14.7097028828
0.02	0.28	14.6125348591
0.02	0.3	14.5048112638
0.02	0.32	14.3860317508
0.02	0.34	14.255729193
0.02	0.36	14.1134796908
0.02	0.38	13.9589121708
0.02	0.4	13.7917174226
0.02	0.42	13.6116564241
0.02	0.44	13.4185678158
0.02	0.46	13.2123743945
0.02	0.48	12.9930885128
0.02	0.5	12.7608162847
0.02	0.52	12.5157605179
0.02	0.54	12.2582223144
0.02	0.56	11.9886013011
0.02	0.58	11.7073944787
0.02	0.6	11.4151936974
0.02	0.62	11.1126817947
0.02	0.64	10.8006274532
0.02	0.66	10.479878858
0.02	0.68	10.151356256
0.02	0.7	9.81604353684
0.02	0.72	9.47497897173
0.02	0.74	9.1292452624
0.02	0.76	8.77995905959
0.02	0.78	8.42826012018
0.02	0.8	8.07530027493
0.02	0.82	7.72223237897
0.02	0.84	7.37019941405
0.02	0.86	7.02032390495
0.02	0.88	6.67369780285
0.02	0.9	6.3313729758
0.02	0.92	5.99435243166
0.02	0.94	5.66358238189
0.02	0.96	5.33994523607
0.02	0.98	5.02425359735
0.02	1.0	4.71724530902
0.02	1.02	4.41957958171
0.02	1.04	4.13183421117
0.02	1.06	3.85450387686
0.02	1.08	3.58799949388
0.02	1.1	3.33264857404
0.02	1.12	3.088696537
0.02	1.14	2.8563088998
0.02	1.16	2.63557426239
0.02	1.18	2.42650799833
0.02	1.2	2.22905655404
0.02	1.22	2.04310225608
0.02	1.24	1.8684685242
0.02	1.26	1.70492538897
0.02	1.28	1.55219521448
0.02	1.3	1.40995853154
0.02	1.32	1.27785989174
0.02	1.34	1.15551366009
0.02	1.36	1.04250967162
0.02	1.38	0.938418685784
0.02	1.4	0.842797581983
0.02	1.42	0.755194248316
0.02	1.44	0.675152125505
0.02	1.46	0.602214376785
0.02	1.48	0.535927663542
0.02	1.5	0.475845514719
0.02	1.52	0.421531285746
0.02	1.54	0.372560709706
0.02	1.56	0.32852404963
0.02	1.58	0.289027866158
0.02	1.6	0.253696419321
0.02	1.62	0.222172726808
0.02	1.64	0.194119303946
0.02	1.66	0.169218612626
0.02	1.68	0.147173247717
0.02	1.7	0.127705890138
0.02	1.72	0.110559055794
0.02	1.74	0.0954946690551
0.02	1.76	0.0822934885373
0.02	1.78	0.0707544116105
0.02	1.8	0.060693682438
0.02	1.82	0.051944026524
0.02	1.84	0.0443537327418
0.02	1.86	0.0377857017301
0.02	1.88	0.0321164774142
0.02	1.9	0.0272352762874
0.02	1.92	0.0230430270209
0.02	1.94	0.0194514309789
0.02	1.96	0.0163820523408
0.02	1.98	0.0137654447869
0.02	2.0	0.0115403201005
0.02	2.02	0.00965276259516
0.02	2.04	0.00805549198666
0.02	2.06	0.00670717619916
0.02	2.08	0.00557179462142
0.02	2.1	0.00461805150334
0.02	2.12	0.00381883849798
0.02	2.14	0.00315074480017
0.02	2.16	0.00259361289745
0.02	2.18	0.00213013762148
0.02	2.2	0.00174550595569
0.02	2.22	0.00142707490534
0.02	2.24	0.00116408465858
0.02	2.26	0.000947404249308
0.02	2.28	0.00076930696468
0.02	2.3	0.000623272812652
0.02	2.32	0.00050381546833
0.02	2.34	0.000406331245535
0.02	2.36	0.000326967784064
0.02	2.38	0.000262510298362
0.02	2.4	0.000210283394412
0.02	2.42	0.000168066624596
0.02	2.44	0.000134022111605
0.02	2.46	0.000106632729494
0.02	2.48	8.46494806707e-05
0.02	2.5	6.70468503803e-05
0.02	2.52	5.29850540804e-05
0.02	2.54	4.1778217355e-05
0.02	2.56	3.28676423133e-05
0.02	2.58	2.57994187697e-05
0.02	2.6	2.02057330265e-05
0.02	2.62	1.57893121313e-05
0.02	2.64	1.23105175092e-05
0.02	2.66	1e-05
0.02	2.68	1e-05
0.02	2.7	1e-05
0.02	2.72	1e-05
0.02	2.74	1e-05
0.02	2.76	1e-05
0.02	2.78	1e-05
0.02	2.8	1e-05
0.02	2.82	1e-05
0.02	2.84	1e-05
0.02	2.86	1e-05
0.02	2.88	1e-05
0.02	2.9	1e-05
0.02	2.92	1e-05
0.02	2.94	1e-05
0.02	2.96	1e-05
0.02	2.98	1e-05
0.02	3.0	1e-05
0.02	3.02	1e-05
0.02	3.04	1e-05
0.02	3.06	1e-05
0.02	3.08	1e-05
0.02	3.1	1e-05
0.02	3.12	1e-05
0.02	3.14	1e-05
0.02	3.16	1e-05
0.02	3.18	1e-05
0.02	3.2	1e-05
0.02	3.22	1e-05
0.02	3.24	1e-05
0.02	3.26	1e-05
0.02	3.28	1e-05
0.02	3.3	1e-05
0.02	3.32	1e-05
0.02	3.34	1e-05
0.02	3.36	1e-05
0.02	3.38	1e-05
0.02	3.4	1e-05
0.02	3.42	1e-05
0.02	3.44	1e-05
0.02	3.46	1e-05
0.02	3.48	1e-05
0.02	3.5	1e-05
0.02	3.52	1e-05
0.02	3.54	1e-05
0.02	3.56	1e-05
0.02	3.58	1e-05
0.02	3.6	1e-05
0.02	3.62	1e-05
0.02	3.64	1e-05
0.02	3.66	1e-05
0.02	3.68	1e-05
0.02	3.7	1e-05
0.02	3.72	1e-05
0.02	3.74	1e-05
0.02	3.76	1e-05
0.02	3.78	1e-05
0.02	3.8	1e-05
0.02	3.82	1e-05
0.02	3.84	1e-05
0.02	3.86	1e-05
0.02	3.88	1e-05
0.02	3.9	1e-05
0.02	3.92	1e-05
0.02	3.94	1e-05
0.02	3.96	1e-05
0.02	3.98	1e-05
0.02	4.0	1e-05
0.02	4.02	1e-05
0.02	4.04	1e-05
0.02	4.06	1e-05
0.02	4.08	1e-05
0.02	4.1	1e-05
0.02	4.12	1e-05
0.02	4.14	1e-05
0.02	4.16	1e-05
0.02	4.18	1e-05
0.02	4.2	1e-05
0.02	4.22	1e-05
0.02	4.24	1e-05
0.02	4.26	1e-05
0.02	4.28	1e-05
0.02	4.3	1e-05
0.02	4.32	1e-05
0.02	4.34	1e-05
0.02	4.36	1e-05
0.02	4.38	1e-05
0.02	4.4	1e-05
0.02	4.42	1e-05
0.02	4.44	1e-05
0.02	4.46	1e-05
0.02	4.48	1e-05
0.02	4.5	1e-05
0.02	4.52	1e-05
0.02	4.54	1e-05
0.02	4.56	1e-05
0.02	4.58	1e-05
0.02	4.6	1e-05
0.02	4.62	1e-05
0.02	4.64	1e-05
0.02	4.66	1e-05
0.02	4.68	1e-05
0.02	4.7	1e-05
0.02	4.72	1e-05
0.02	4.74	1e-05
0.02	4.76	1e-05
0.02	4.78	1e-05
0.02	4.8	1e-05
0.02	4.82	1e-05
0.02	4.84	1e-05
0.02	4.86	1e-05
0.02	4.88	1e-05
0.02	4.9	1e-05
0.02	4.92	1e-05
0.02	4.94	1e-05
0.02	4.96	1e-05
0.02	4.98	1e-05
0.02	5.0	1e-05

0.04	0.0	15.2570930569
0.04	0.02	15.254364918
0.04	0.04	15.2461455051
0.04	0.06	15.2323304171
0.04	0.08	15.2127476032
0.04	0.1	15.1871602639
0.04	0.12	15.1552708637
0.04	0.14	15.1167262041
0.04	0.16	15.0711234954
0.04	0.18	15.0180173491
0.04	0.2	14.9569276012
0.04	0.22	14.8873478633
0.04	0.24	14.8087546875
0.04	0.26	14.7206172189
