wscommom_0_4.Fe
norm  324.998998417
P2 mean 0.237155168745
P2 std_dev 0.0921205680451
P2 skewness 0.238454814716
P2 kurtosis -0.282304023286
x mean 0.000569455257731
x std_dev 0.149530348095
x skewness -0.0067705502702
x kurtosis -0.264316124844
y mean 0.000483609544149
y std_dev 0.148679397322
y skewness -0.00303219592725
y kurtosis -0.242643148898
z mean -0.00010967074793
z std_dev 0.14926471427
z skewness -0.0147087639326
z kurtosis -0.275009481855
