#m_1	m_2	CGcoefficient
-4	-8	0.0
-4	-7	-0.5773502692
-4	-6	-0.6741998625
-4	-5	-0.6741998625
-4	-4	-0.6276459145
-4	-3	-0.5576780296
-4	-2	-0.4775669329
-4	-1	-0.3956245036
-4	0	-0.3172052885
-4	1	-0.2457061599
-4	2	-0.1831385587
-4	3	-0.1304908571
-4	4	-0.0879769179
-4	5	-0.0552183531
-4	6	-0.0313860324
-4	7	-0.0153148156
-4	8	-0.00559218
-3	-8	0.8164965809
-3	-7	0.3481553119
-3	-6	0.0
-3	-5	-0.246182982
-3	-4	-0.4072704488
-3	-3	-0.4988023935
-3	-2	-0.534981972
-3	-1	-0.5286754808
-3	0	-0.4914123199
-3	1	-0.4333849298
-3	2	-0.3634486803
-3	3	-0.2891216548
-3	4	-0.2165841999
-3	5	-0.1506778629
-3	6	-0.0949024415
-3	7	-0.0514054891
-3	8	-0.0209240216
-2	-8	0.6513389473
-2	-7	0.6030226892
-2	-6	0.4264014327
-2	-5	0.2113222593
-2	-4	0.0
-2	-3	-0.184795955
-2	-2	-0.3310032077
-2	-1	-0.4333849298
-2	0	-0.4914123199
-2	1	-0.5079349722
-2	2	-0.4882520792
-2	3	-0.4394044533
-2	4	-0.36959191
-2	5	-0.2876577383
-2	6	-0.2025959678
-2	7	-0.1230279599
-2	8	-0.0564782495
-1	-8	0.4264014327
-1	-7	0.5504818826
-1	-6	0.5533715711
-1	-5	0.472530937
-1	-4	0.3373897103
-1	-3	0.1728607875
-1	-2	0.0
-1	-1	-0.1638041066
-1	0	-0.3047609833
-1	1	-0.4126483221
-1	2	-0.4807974113
-1	3	-0.5060845655
-1	4	-0.4889241402
-1	5	-0.4332586338
-1	6	-0.3465347198
-1	7	-0.2396169191
-1	8	-0.1262892051
0	-8	0.246182982
0	-7	0.3953477463
0	-6	0.489115988
0	-5	0.5231005396
0	-4	0.499006111
0	-3	0.423420726
0	-2	0.3064494228
0	-1	0.1606231416
0	0	0.0
0	1	-0.1606231416
0	2	-0.3064494228
0	3	-0.423420726
0	4	-0.499006111
0	5	-0.5231005396
0	6	-0.489115988
0	7	-0.3953477463
0	8	-0.246182982
1	-8	0.1262892051
1	-7	0.2396169191
1	-6	0.3465347198
1	-5	0.4332586338
1	-4	0.4889241402
1	-3	0.5060845655
1	-2	0.4807974113
1	-1	0.4126483221
1	0	0.3047609833
1	1	0.1638041066
1	2	0.0
1	3	-0.1728607875
1	4	-0.3373897103
1	5	-0.472530937
1	6	-0.5533715711
1	7	-0.5504818826
1	8	-0.4264014327
2	-8	0.0564782495
2	-7	0.1230279599
2	-6	0.2025959678
2	-5	0.2876577383
2	-4	0.36959191
2	-3	0.4394044533
2	-2	0.4882520792
2	-1	0.5079349722
2	0	0.4914123199
2	1	0.4333849298
2	2	0.3310032077
2	3	0.184795955
2	4	0.0
2	5	-0.2113222593
2	6	-0.4264014327
2	7	-0.6030226892
2	8	-0.6513389473
3	-8	0.0209240216
3	-7	0.0514054891
3	-6	0.0949024415
3	-5	0.1506778629
3	-4	0.2165841999
3	-3	0.2891216548
3	-2	0.3634486803
3	-1	0.4333849298
3	0	0.4914123199
3	1	0.5286754808
3	2	0.534981972
3	3	0.4988023935
3	4	0.4072704488
3	5	0.246182982
3	6	0.0
3	7	-0.3481553119
3	8	-0.8164965809
4	-8	0.00559218
4	-7	0.0153148156
4	-6	0.0313860324
4	-5	0.0552183531
4	-4	0.0879769179
4	-3	0.1304908571
4	-2	0.1831385587
4	-1	0.2457061599
4	0	0.3172052885
4	1	0.3956245036
4	2	0.4775669329
4	3	0.5576780296
4	4	0.6276459145
4	5	0.6741998625
4	6	0.6741998625
4	7	0.5773502692
4	8	0.0
