#m_1	m_2	CGcoefficient
-4	-5	0.0
-4	-4	0.0
-4	-3	0.0
-4	-2	-0.316227766
-4	-1	-0.4830458915
-4	0	-0.5640760748
-4	1	-0.5640760748
-4	2	-0.4974683382
-4	3	-0.3853373178
-4	4	-0.2522624896
-4	5	-0.123091491
-3	-5	0.0
-3	-4	0.0
-3	-3	0.5477225575
-3	-2	0.5163977795
-3	-1	0.2912876325
-3	0	0.0
-3	1	-0.2659080117
-3	2	-0.4449492083
-3	3	-0.5045249791
-3	4	-0.4403855061
-3	5	-0.2752409413
-2	-5	0.0
-2	-4	-0.6210590034
-2	-3	-0.1690308509
-2	-2	0.2353959545
-2	-1	0.4264014327
-2	0	0.3892494721
-2	1	0.17978663
-2	2	-0.1100963765
-2	3	-0.3745126704
-2	4	-0.5117663157
-2	5	-0.4413674148
-1	-5	0.4629100499
-1	-4	-0.3380617019
-1	-3	-0.4586824723
-1	-2	-0.2279211529
-1	-1	0.1005037815
-1	0	0.3481553119
-1	1	0.4119429204
-1	2	0.2642749891
-1	3	-0.0465242105
-1	4	-0.394771017
-1	5	-0.5698028823
0	-5	0.5976143047
0	-4	0.0805822964
0	-3	-0.312093892
0	-2	-0.4247059929
0	-1	-0.2842676218
0	0	0.0
0	1	0.2842676218
0	2	0.4247059929
0	3	0.312093892
0	4	-0.0805822964
0	5	-0.5976143047
1	-5	0.5698028823
1	-4	0.394771017
1	-3	0.0465242105
1	-2	-0.2642749891
1	-1	-0.4119429204
1	0	-0.3481553119
1	1	-0.1005037815
1	2	0.2279211529
1	3	0.4586824723
1	4	0.3380617019
1	5	-0.4629100499
2	-5	0.4413674148
2	-4	0.5117663157
2	-3	0.3745126704
2	-2	0.1100963765
2	-1	-0.17978663
2	0	-0.3892494721
2	1	-0.4264014327
2	2	-0.2353959545
2	3	0.1690308509
2	4	0.6210590034
2	5	0.0
3	-5	0.2752409413
3	-4	0.4403855061
3	-3	0.5045249791
3	-2	0.4449492083
3	-1	0.2659080117
3	0	0.0
3	1	-0.2912876325
3	2	-0.5163977795
3	3	-0.5477225575
3	4	0.0
3	5	0.0
4	-5	0.123091491
4	-4	0.2522624896
4	-3	0.3853373178
4	-2	0.4974683382
4	-1	0.5640760748
4	0	0.5640760748
4	1	0.4830458915
4	2	0.316227766
4	3	0.0
4	4	0.0
4	5	0.0
