#m_1	m_2	CGcoefficient
-6	-8	0.0
-6	-7	0.0
-6	-6	0.4336290904
-6	-5	0.5736373672
-6	-4	0.6099021859
-6	-3	0.5815189173
-6	-2	0.5154614274
-6	-1	0.4312659715
-6	0	0.3427354402
-6	1	0.2590836401
-6	2	0.1858743899
-6	3	0.1258375568
-6	4	0.079586659
-6	5	0.0462467891
-6	6	0.0239962806
-6	7	0.0105230651
-6	8	0.003391891
-5	-8	0.0
-5	-7	-0.6856277927
-5	-6	-0.4599331055
-5	-5	-0.1464937665
-5	-4	0.1300315829
-5	-3	0.3296902367
-5	-2	0.4464026908
-5	-1	0.4897240515
-5	0	0.4759670392
-5	1	0.423276199
-5	2	0.3487725444
-5	3	0.2669417693
-5	4	0.1888380303
-5	5	0.1218522391
-5	6	0.069881393
-5	7	0.0337808336
-5	8	0.0119921457
-4	-8	0.5847053462
-4	-7	-0.1790287185
-4	-6	-0.4626519456
-4	-5	-0.4536467925
-4	-4	-0.2903816035
-4	-3	-0.0702901946
-4	-2	0.1426208499
-4	-1	0.3109371676
-4	0	0.4176738847
-4	1	0.4607851491
-4	2	0.4483458978
-4	3	0.3944057929
-4	4	0.3155151538
-4	5	0.2279223944
-4	6	0.1454412723
-4	7	0.0779803887
-4	8	0.0306808087
-3	-8	0.6537204505
-3	-7	0.240964555
-3	-6	-0.1494616082
-3	-5	-0.3767911292
-3	-4	-0.4307565018
-3	-3	-0.3485617206
-3	-2	-0.1826786035
-3	-1	0.0149781852
-3	0	0.2012323499
-3	1	0.3454872449
-3	2	0.4308127228
-3	3	0.4531777755
-3	4	0.4194114734
-3	5	0.344312158
-3	6	0.2472361831
-3	7	0.148440377
-3	8	0.06532443
-2	-8	0.578314932
-2	-7	0.462706707
-2	-6	0.1786745565
-2	-5	-0.1102803305
-2	-4	-0.3165455664
-2	-3	-0.40475127
-2	-2	-0.3759494643
-2	-1	-0.2546291481
-2	0	-0.0778289332
-2	1	0.1138243529
-2	2	0.2832025886
-2	3	0.4019068829
-2	4	0.4536482046
-2	5	0.4357786506
-2	6	0.3589654612
-2	7	0.2449666125
-2	8	0.122210818
-1	-8	0.4502175639
-1	-7	0.5157890165
-1	-6	0.3955129909
-1	-5	0.1747428503
-1	-4	-0.0660956056
-1	-3	-0.2634086349
-1	-2	-0.3764712543
-1	-1	-0.3886687538
-1	0	-0.3054227886
-1	1	-0.149856724
-1	2	0.0430215616
-1	3	0.2329949373
-1	4	0.3816218626
-1	5	0.4590017141
-1	6	0.4497522962
-1	7	0.3574796992
-1	8	0.2063156066
0	-8	0.3183518925
0	-7	0.4616102441
0	-6	0.476868339
0	-5	0.3762078955
0	-4	0.1958964227
0	-3	-0.0158063246
0	-2	-0.2096945925
0	-1	-0.3443517023
0	0	-0.3924170178
0	1	-0.3443517023
0	2	-0.2096945925
0	3	-0.0158063246
0	4	0.1958964227
0	5	0.3762078955
0	6	0.476868339
0	7	0.4616102441
0	8	0.3183518925
1	-8	0.2063156066
1	-7	0.3574796992
1	-6	0.4497522962
1	-5	0.4590017141
1	-4	0.3816218626
1	-3	0.2329949373
1	-2	0.0430215616
1	-1	-0.149856724
1	0	-0.3054227886
1	1	-0.3886687538
1	2	-0.3764712543
1	3	-0.2634086349
1	4	-0.0660956056
1	5	0.1747428503
1	6	0.3955129909
1	7	0.5157890165
1	8	0.4502175639
2	-8	0.122210818
2	-7	0.2449666125
2	-6	0.3589654612
2	-5	0.4357786506
2	-4	0.4536482046
2	-3	0.4019068829
2	-2	0.2832025886
2	-1	0.1138243529
2	0	-0.0778289332
2	1	-0.2546291481
2	2	-0.3759494643
2	3	-0.40475127
2	4	-0.3165455664
2	5	-0.1102803305
2	6	0.1786745565
2	7	0.462706707
2	8	0.578314932
3	-8	0.06532443
3	-7	0.148440377
3	-6	0.2472361831
3	-5	0.344312158
3	-4	0.4194114734
3	-3	0.4531777755
3	-2	0.4308127228
3	-1	0.3454872449
3	0	0.2012323499
3	1	0.0149781852
3	2	-0.1826786035
3	3	-0.3485617206
3	4	-0.4307565018
3	5	-0.3767911292
3	6	-0.1494616082
3	7	0.240964555
3	8	0.6537204505
4	-8	0.0306808087
4	-7	0.0779803887
4	-6	0.1454412723
4	-5	0.2279223944
4	-4	0.3155151538
4	-3	0.3944057929
4	-2	0.4483458978
4	-1	0.4607851491
4	0	0.4176738847
4	1	0.3109371676
4	2	0.1426208499
4	3	-0.0702901946
4	4	-0.2903816035
4	5	-0.4536467925
4	6	-0.4626519456
4	7	-0.1790287185
4	8	0.5847053462
5	-8	0.0119921457
5	-7	0.0337808336
5	-6	0.069881393
5	-5	0.1218522391
5	-4	0.1888380303
5	-3	0.2669417693
5	-2	0.3487725444
5	-1	0.423276199
5	0	0.4759670392
5	1	0.4897240515
5	2	0.4464026908
5	3	0.3296902367
5	4	0.1300315829
5	5	-0.1464937665
5	6	-0.4599331055
5	7	-0.6856277927
5	8	0.0
6	-8	0.003391891
6	-7	0.0105230651
6	-6	0.0239962806
6	-5	0.0462467891
6	-4	0.079586659
6	-3	0.1258375568
6	-2	0.1858743899
6	-1	0.2590836401
6	0	0.3427354402
6	1	0.4312659715
6	2	0.5154614274
6	3	0.5815189173
6	4	0.6099021859
6	5	0.5736373672
6	6	0.4336290904
6	7	0.0
6	8	0.0
