#m_1	m_2	CGcoefficient
-8	-1	0.0
-8	0	0.0
-8	1	0.9393364366
-7	-1	0.0
-7	0	-0.3321055821
-7	1	0.8786687792
-6	-1	0.0857492926
-6	0	-0.4537426065
-6	1	0.8179961168
-5	-1	0.1485221314
-5	0	-0.5355041605
-5	1	0.7573172464
-4	-1	0.2100420126
-4	0	-0.5940885258
-4	1	0.696630546
-3	-1	0.2711630723
-3	0	-0.6359337738
-3	1	0.6359337738
-2	-1	0.3321055821
-2	0	-0.6642111642
-2	1	0.5752237416
-1	-1	0.392952624
-1	0	-0.6806139097
-1	1	0.5144957554
0	-1	0.4537426065
0	0	-0.6859943406
0	1	0.4537426065
1	-1	0.5144957554
1	0	-0.6806139097
1	1	0.392952624
2	-1	0.5752237416
2	0	-0.6642111642
2	1	0.3321055821
3	-1	0.6359337738
3	0	-0.6359337738
3	1	0.2711630723
4	-1	0.696630546
4	0	-0.5940885258
4	1	0.2100420126
5	-1	0.7573172464
5	0	-0.5355041605
5	1	0.1485221314
6	-1	0.8179961168
6	0	-0.4537426065
6	1	0.0857492926
7	-1	0.8786687792
7	0	-0.3321055821
7	1	0.0
8	-1	0.9393364366
8	0	0.0
8	1	0.0
