#m_1	m_2	CGcoefficient
-6	-7	0.0
-6	-6	0.0
-6	-5	0.0
-6	-4	0.0
-6	-3	0.0
-6	-2	0.0
-6	-1	0.0
-6	0	0.0
-6	1	0.0
-6	2	0.0
-6	3	0.0582551728
-6	4	0.1577557537
-6	5	0.2993204974
-6	6	0.4405878426
-6	7	0.4758892605
-5	-7	0.0
-5	-6	0.0
-5	-5	0.0
-5	-4	0.0
-5	-3	0.0
-5	-2	0.0
-5	-1	0.0
-5	0	0.0
-5	1	0.0
-5	2	-0.1189128735
-5	3	-0.2608866423
-5	4	-0.3744276678
-5	5	-0.349207247
-5	6	-0.0734313071
-5	7	0.4344254714
-4	-7	0.0
-4	-6	0.0
-4	-5	0.0
-4	-4	0.0
-4	-3	0.0
-4	-2	0.0
-4	-1	0.0
-4	0	0.0
-4	1	0.1863006686
-4	2	0.3312011886
-4	3	0.3536309476
-4	4	0.1701742519
-4	5	-0.1780783972
-4	6	-0.3960590172
-4	7	0.2268713032
-3	-7	0.0
-3	-6	0.0
-3	-5	0.0
-3	-4	0.0
-3	-3	0.0
-3	-2	0.0
-3	-1	0.0
-3	0	-0.2545351705
-3	1	-0.3610368313
-3	2	-0.2653164949
-3	3	0.0175645955
-3	4	0.3027027573
-3	5	0.2658972686
-3	6	-0.3321055821
-3	7	0.0
-2	-7	0.0
-2	-6	0.0
-2	-5	0.0
-2	-4	0.0
-2	-3	0.0
-2	-2	0.0
-2	-1	0.3174611336
-2	0	0.3463784941
-2	1	0.1346618987
-2	2	-0.173880624
-2	3	-0.3245095657
-2	4	-0.1063589075
-2	5	0.3907875793
-2	6	0.0
-2	7	0.0
-1	-7	0.0
-1	-6	0.0
-1	-5	0.0
-1	-4	0.0
-1	-3	0.0
-1	-2	-0.3688565051
-1	-1	-0.2868883928
-1	0	0.0138551398
-1	1	0.2757883879
-1	2	0.2675743841
-1	3	-0.0507046196
-1	4	-0.4119262773
-1	5	0.0
-1	6	0.0
-1	7	0.0
0	-7	0.0
0	-6	0.0
0	-5	0.0
0	-4	0.0
0	-3	0.4024554417
0	-2	0.1858862061
0	-1	-0.1559857391
0	0	-0.3110471162
0	1	-0.1559857391
0	2	0.1858862061
0	3	0.4024554417
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
1	-7	0.0
1	-6	0.0
1	-5	0.0
1	-4	-0.4119262773
1	-3	-0.0507046196
1	-2	0.2675743841
1	-1	0.2757883879
1	0	0.0138551398
1	1	-0.2868883928
1	2	-0.3688565051
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
2	-7	0.0
2	-6	0.0
2	-5	0.3907875793
2	-4	-0.1063589075
2	-3	-0.3245095657
2	-2	-0.173880624
2	-1	0.1346618987
2	0	0.3463784941
2	1	0.3174611336
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	0.0
3	-7	0.0
3	-6	-0.3321055821
3	-5	0.2658972686
3	-4	0.3027027573
3	-3	0.0175645955
3	-2	-0.2653164949
3	-1	-0.3610368313
3	0	-0.2545351705
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	0.0
4	-7	0.2268713032
4	-6	-0.3960590172
4	-5	-0.1780783972
4	-4	0.1701742519
4	-3	0.3536309476
4	-2	0.3312011886
4	-1	0.1863006686
4	0	0.0
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
4	7	0.0
5	-7	0.4344254714
5	-6	-0.0734313071
5	-5	-0.349207247
5	-4	-0.3744276678
5	-3	-0.2608866423
5	-2	-0.1189128735
5	-1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	0.0
6	-7	0.4758892605
6	-6	0.4405878426
6	-5	0.2993204974
6	-4	0.1577557537
6	-3	0.0582551728
6	-2	0.0
6	-1	0.0
6	0	0.0
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0
6	7	0.0
