#m_1	m_2	CGcoefficient
-8	-7	0.0
-8	-6	0.0
-8	-5	0.0
-8	-4	0.0
-8	-3	0.0
-8	-2	0.0
-8	-1	0.0
-8	0	-0.1818066242
-8	1	-0.3401290493
-8	2	-0.4563310052
-8	3	-0.497897946
-8	4	-0.457999497
-8	5	-0.3547648849
-8	6	-0.2226667306
-8	7	-0.0995795892
-7	-7	0.0
-7	-6	0.0
-7	-5	0.0
-7	-4	0.0
-7	-3	0.0
-7	-2	0.0
-7	-1	0.3401290493
-7	0	0.4545165606
-7	1	0.3725927055
-7	2	0.1408268056
-7	3	-0.1380920442
-7	4	-0.3547648849
-7	5	-0.4366853863
-7	6	-0.3725927055
-7	7	-0.2112402084
-6	-7	0.0
-6	-6	0.0
-6	-5	0.0
-6	-4	0.0
-6	-3	0.0
-6	-2	-0.4563310052
-6	-1	-0.3725927055
-6	0	-0.0545419873
-6	1	0.2519186483
-6	2	0.3636831674
-6	3	0.2343499701
-6	4	-0.0478364873
-6	5	-0.320183014
-6	6	-0.432913603
-6	7	-0.3272519236
-5	-7	0.0
-5	-6	0.0
-5	-5	0.0
-5	-4	0.0
-5	-3	0.497897946
-5	-2	0.1408268056
-5	-1	-0.2519186483
-5	0	-0.345432586
-5	1	-0.1320687553
-5	2	0.1789877462
-5	3	0.3427354402
-5	4	0.2346752304
-5	5	-0.0786033695
-5	6	-0.3778779724
-5	7	-0.4224804167
-4	-7	0.0
-4	-6	0.0
-4	-5	0.0
-4	-4	-0.457999497
-4	-3	0.1380920442
-4	-2	0.3636831674
-4	-1	0.1320687553
-4	0	-0.2083783616
-4	1	-0.324261943
-4	2	-0.1344318998
-4	3	0.1817851074
-4	4	0.341543552
-4	5	0.1747077425
-4	6	-0.2192143241
-4	7	-0.4759670392
-3	-7	0.0
-3	-6	0.0
-3	-5	0.3547648849
-3	-4	-0.3547648849
-3	-3	-0.2343499701
-3	-2	0.1789877462
-3	-1	0.324261943
-3	0	0.1048884371
-3	1	-0.2125554968
-3	2	-0.3111493873
-3	3	-0.0933448162
-3	4	0.2388141801
-3	5	0.3330104638
-3	6	0.0
-3	7	-0.4759670392
-2	-7	0.0
-2	-6	-0.2226667306
-2	-5	0.4366853863
-2	-4	-0.0478364873
-2	-3	-0.3427354402
-2	-2	-0.1344318998
-2	-1	0.2125554968
-2	0	0.3006801862
-2	1	0.0625433801
-2	2	-0.243738702
-2	3	-0.2924864423
-2	4	0.0
-2	5	0.3330104638
-2	6	0.2192143241
-2	7	-0.4224804167
-1	-7	0.0995795892
-1	-6	-0.3725927055
-1	-5	0.320183014
-1	-4	0.2346752304
-1	-3	-0.1817851074
-1	-2	-0.3111493873
-1	-1	-0.0625433801
-1	0	0.2447396865
-1	1	0.2775087199
-1	2	0.0
-1	3	-0.2924864423
-1	4	-0.2388141801
-1	5	0.1747077425
-1	6	0.3778779724
-1	7	-0.3272519236
0	-7	0.2112402084
0	-6	-0.432913603
0	-5	0.0786033695
0	-4	0.341543552
0	-3	0.0933448162
0	-2	-0.243738702
0	-1	-0.2775087199
0	0	0.0
0	1	0.2775087199
0	2	0.243738702
0	3	-0.0933448162
0	4	-0.341543552
0	5	-0.0786033695
0	6	0.432913603
0	7	-0.2112402084
1	-7	0.3272519236
1	-6	-0.3778779724
1	-5	-0.1747077425
1	-4	0.2388141801
1	-3	0.2924864423
1	-2	0.0
1	-1	-0.2775087199
1	0	-0.2447396865
1	1	0.0625433801
1	2	0.3111493873
1	3	0.1817851074
1	4	-0.2346752304
1	5	-0.320183014
1	6	0.3725927055
1	7	-0.0995795892
2	-7	0.4224804167
2	-6	-0.2192143241
2	-5	-0.3330104638
2	-4	0.0
2	-3	0.2924864423
2	-2	0.243738702
2	-1	-0.0625433801
2	0	-0.3006801862
2	1	-0.2125554968
2	2	0.1344318998
2	3	0.3427354402
2	4	0.0478364873
2	5	-0.4366853863
2	6	0.2226667306
2	7	0.0
3	-7	0.4759670392
3	-6	0.0
3	-5	-0.3330104638
3	-4	-0.2388141801
3	-3	0.0933448162
3	-2	0.3111493873
3	-1	0.2125554968
3	0	-0.1048884371
3	1	-0.324261943
3	2	-0.1789877462
3	3	0.2343499701
3	4	0.3547648849
3	5	-0.3547648849
3	6	0.0
3	7	0.0
4	-7	0.4759670392
4	-6	0.2192143241
4	-5	-0.1747077425
4	-4	-0.341543552
4	-3	-0.1817851074
4	-2	0.1344318998
4	-1	0.324261943
