#m_1	m_2	CGcoefficient
-7	-5	0.0
-7	-4	0.0
-7	-3	0.0
-7	-2	0.0
-7	-1	0.0
-7	0	0.0
-7	1	0.0
-7	2	-0.3283947887
-7	3	-0.5087470191
-7	4	-0.5087470191
-7	5	-0.3283947887
-6	-5	0.0
-6	-4	0.0
-6	-3	0.0
-6	-2	0.0
-6	-1	0.0
-6	0	0.0
-6	1	0.464420364
-6	2	0.3885619541
-6	3	0.0
-6	4	-0.3885619541
-6	5	-0.464420364
-5	-5	0.0
-5	-4	0.0
-5	-3	0.0
-5	-2	0.0
-5	-1	0.0
-5	0	-0.4988674957
-5	1	-0.1152085132
-5	2	0.3233030883
-5	3	0.3233030883
-5	4	-0.1152085132
-5	5	-0.4988674957
-4	-5	0.0
-4	-4	0.0
-4	-3	0.0
-4	-2	0.0
-4	-1	0.4554016343
-4	0	-0.1577557537
-4	1	-0.3665912441
-4	2	0.0
-4	3	0.3665912441
-4	4	0.1577557537
-4	5	-0.4554016343
-3	-5	0.0
-3	-4	0.0
-3	-3	0.0
-3	-2	-0.3632848294
-3	-1	0.3473667371
-3	0	0.2018018382
-3	1	-0.2707455769
-3	2	-0.2707455769
-3	3	0.2018018382
-3	4	0.3473667371
-3	5	-0.3632848294
-2	-5	0.0
-2	-4	0.0
-2	-3	0.2516911129
-2	-2	-0.4224113783
-2	-1	0.0521050106
-2	0	0.3495310368
-2	1	0.0
-2	2	-0.3495310368
-2	3	-0.0521050106
-2	4	0.4224113783
-2	5	-0.2516911129
-1	-5	0.0
-1	-4	-0.1453139318
-1	-3	0.3899181954
-1	-2	-0.2813992188
-1	-1	-0.2257883791
-1	0	0.2516911129
-1	1	0.2516911129
-1	2	-0.2257883791
-1	3	-0.2813992188
-1	4	0.3899181954
-1	5	-0.1453139318
0	-5	0.0614063438
0	-4	-0.2824691817
0	-3	0.4052818694
0	-2	-0.0245625375
0	-1	-0.3438755256
0	0	0.0
0	1	0.3438755256
0	2	0.0245625375
0	3	-0.4052818694
0	4	0.2824691817
0	5	-0.0614063438
1	-5	0.1453139318
1	-4	-0.3899181954
1	-3	0.2813992188
1	-2	0.2257883791
1	-1	-0.2516911129
1	0	-0.2516911129
1	1	0.2257883791
1	2	0.2813992188
1	3	-0.3899181954
1	4	0.1453139318
1	5	0.0
2	-5	0.2516911129
2	-4	-0.4224113783
2	-3	0.0521050106
2	-2	0.3495310368
2	-1	0.0
2	0	-0.3495310368
2	1	-0.0521050106
2	2	0.4224113783
2	3	-0.2516911129
2	4	0.0
2	5	0.0
3	-5	0.3632848294
3	-4	-0.3473667371
3	-3	-0.2018018382
3	-2	0.2707455769
3	-1	0.2707455769
3	0	-0.2018018382
3	1	-0.3473667371
3	2	0.3632848294
3	3	0.0
3	4	0.0
3	5	0.0
4	-5	0.4554016343
4	-4	-0.1577557537
4	-3	-0.3665912441
4	-2	0.0
4	-1	0.3665912441
4	0	0.1577557537
4	1	-0.4554016343
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
5	-5	0.4988674957
5	-4	0.1152085132
5	-3	-0.3233030883
5	-2	-0.3233030883
5	-1	0.1152085132
5	0	0.4988674957
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
6	-5	0.464420364
6	-4	0.3885619541
6	-3	0.0
6	-2	-0.3885619541
6	-1	-0.464420364
6	0	0.0
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
7	-5	0.3283947887
7	-4	0.5087470191
7	-3	0.5087470191
7	-2	0.3283947887
7	-1	0.0
7	0	0.0
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
