#m_1	m_2	CGcoefficient
-3	-7	1.0
-3	-6	0.8366600265
-3	-5	0.6920602347
-3	-4	0.5650648154
-3	-3	0.4545379491
-3	-2	0.3593438005
-3	-1	0.278346511
-3	0	0.2104101847
-3	1	0.1543988643
-3	2	0.1091764839
-3	3	0.0736067705
-3	4	0.0465530092
-3	5	0.0268773924
-3	6	0.0134386962
-3	7	0.0050793497
-2	-7	0.5477225575
-2	-6	0.6649099662
-2	-5	0.6920602347
-2	-4	0.6713970463
-2	-3	0.6224017199
-2	-2	0.556693022
-2	-1	0.4821102992
-2	0	0.404311133
-2	1	0.3275294518
-2	2	0.2549813324
-2	3	0.1890992172
-2	4	0.1316717939
-2	5	0.0839246308
-2	6	0.0465530092
-2	7	0.0196722369
-1	-7	0.2809757435
-1	-6	0.4291975376
-1	-5	0.5307859702
-1	-4	0.5934367554
-1	-3	0.6224017199
-1	-2	0.6224017199
-1	-1	0.59798423
-1	0	0.5536258195
-1	1	0.493769227
-1	2	0.4228387041
-1	3	0.3452463562
-1	4	0.2653929851
-1	5	0.1876611794
-1	6	0.1163825229
-1	7	0.0556414884
0	-7	0.1324532357
0	-6	0.2403987056
0	-5	0.3426208705
0	-4	0.4333849298
0	-3	0.5081888763
0	-2	0.5637849388
0	-1	0.59798423
0	0	0.6095219667
0	1	0.59798423
0	2	0.5637849388
0	3	0.5081888763
0	4	0.4333849298
0	5	0.3426208705
0	6	0.2403987056
0	7	0.1324532357
1	-7	0.0556414884
1	-6	0.1163825229
1	-5	0.1876611794
1	-4	0.2653929851
1	-3	0.3452463562
1	-2	0.4228387041
1	-1	0.493769227
1	0	0.5536258195
1	1	0.59798423
1	2	0.6224017199
1	3	0.6224017199
1	4	0.5934367554
1	5	0.5307859702
1	6	0.4291975376
1	7	0.2809757435
2	-7	0.0196722369
2	-6	0.0465530092
2	-5	0.0839246308
2	-4	0.1316717939
2	-3	0.1890992172
2	-2	0.2549813324
2	-1	0.3275294518
2	0	0.404311133
2	1	0.4821102992
2	2	0.556693022
2	3	0.6224017199
2	4	0.6713970463
2	5	0.6920602347
2	6	0.6649099662
2	7	0.5477225575
3	-7	0.0050793497
3	-6	0.0134386962
3	-5	0.0268773924
3	-4	0.0465530092
3	-3	0.0736067705
3	-2	0.1091764839
3	-1	0.1543988643
3	0	0.2104101847
3	1	0.278346511
3	2	0.3593438005
3	3	0.4545379491
3	4	0.5650648154
3	5	0.6920602347
3	6	0.8366600265
3	7	1.0
