# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
9.32 	-1.63765e-05 	1.69473e-05 	-8.07074e-05
9.34 	-1.63483e-05 	1.71758e-05 	-7.92459e-05
9.36 	-1.63182e-05 	1.73833e-05 	-7.78777e-05
9.38 	-1.6286e-05 	1.75682e-05 	-7.66043e-05
9.4 	-1.62517e-05 	1.77292e-05 	-7.54268e-05
9.42 	-1.62154e-05 	1.78648e-05 	-7.43457e-05
9.44 	-1.61769e-05 	1.7974e-05 	-7.33612e-05
9.46 	-1.61364e-05 	1.80558e-05 	-7.24731e-05
9.48 	-1.60939e-05 	1.81095e-05 	-7.16807e-05
9.5 	-1.60492e-05 	1.81345e-05 	-7.09831e-05
9.52 	-1.60025e-05 	1.81302e-05 	-7.03785e-05
9.54 	-1.59537e-05 	1.80965e-05 	-6.98654e-05
9.56 	-1.59029e-05 	1.80333e-05 	-6.94413e-05
9.58 	-1.58501e-05 	1.79406e-05 	-6.91036e-05
9.6 	-1.57953e-05 	1.78187e-05 	-6.88495e-05
9.62 	-1.57385e-05 	1.76679e-05 	-6.86757e-05
9.64 	-1.56797e-05 	1.7489e-05 	-6.85786e-05
9.66 	-1.5619e-05 	1.72825e-05 	-6.85543e-05
9.68 	-1.55564e-05 	1.70493e-05 	-6.85986e-05
9.7 	-1.54919e-05 	1.67905e-05 	-6.87073e-05
9.72 	-1.54256e-05 	1.65072e-05 	-6.88757e-05
9.74 	-1.53574e-05 	1.62006e-05 	-6.9099e-05
9.76 	-1.52875e-05 	1.58721e-05 	-6.93723e-05
9.78 	-1.52158e-05 	1.55232e-05 	-6.96905e-05
9.8 	-1.51425e-05 	1.51554e-05 	-7.00484e-05
9.82 	-1.50674e-05 	1.47704e-05 	-7.04406e-05
9.84 	-1.49908e-05 	1.43699e-05 	-7.08618e-05
9.86 	-1.49125e-05 	1.39558e-05 	-7.13065e-05
9.88 	-1.48327e-05 	1.35297e-05 	-7.17694e-05
9.9 	-1.47514e-05 	1.30937e-05 	-7.2245e-05
9.92 	-1.46687e-05 	1.26496e-05 	-7.27279e-05
9.94 	-1.45845e-05 	1.21992e-05 	-7.32128e-05
9.96 	-1.4499e-05 	1.17446e-05 	-7.36945e-05
9.98 	-1.44122e-05 	1.12877e-05 	-7.41679e-05
10 	-1.4324e-05 	1.08302e-05 	-7.46279e-05
