# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC
0 	0 	0 		0
0.02 	-0.000186102 	-0.000133197 		-0.00226073
0.04 	-0.000519055 	-0.00040085 		-0.00445104
0.06 	-0.000985506 	-0.00077355 		-0.00657208
0.08 	-0.00157296 	-0.00124064 		-0.00862499
0.1 	-0.00226973 	-0.00179584 		-0.0106109
0.12 	-0.00306485 	-0.00243535 		-0.0125309
0.14 	-0.00394806 	-0.00315879 		-0.0143862
0.16 	-0.00490972 	-0.00395998 		-0.0161778
0.18 	-0.00594079 	-0.00484162 		-0.0179068
0.2 	-0.00703274 	-0.00580358 		-0.0195743
0.22 	-0.00817756 	-0.00684323 		-0.0211814
0.24 	-0.00936767 	-0.00796154 		-0.0227292
0.26 	-0.0105959 	-0.00915804 		-0.0242188
0.28 	-0.0118555 	-0.0104212 		-0.0256511
0.3 	-0.0131399 	-0.0117575 		-0.0270272
0.32 	-0.0144431 	-0.0131635 		-0.0283482
0.34 	-0.0157592 	-0.0146228 		-0.029615
0.36 	-0.0170826 	-0.0161398 		-0.0308288
0.38 	-0.0184078 	-0.0177053 		-0.0319904
0.4 	-0.0197298 	-0.0193083 		-0.033101
0.42 	-0.0210435 	-0.020944 		-0.0341615
0.44 	-0.0223443 	-0.022595 		-0.0351729
0.46 	-0.0236275 	-0.0242647 		-0.0361361
0.48 	-0.0248888 	-0.0259283 		-0.0370522
0.5 	-0.0261238 	-0.0275802 		-0.0379221
0.52 	-0.0273287 	-0.0292153 		-0.0387467
0.54 	-0.0284994 	-0.0308154 		-0.0395269
0.56 	-0.0296324 	-0.032378 		-0.0402638
0.58 	-0.0307242 	-0.0338873 		-0.0409582
0.6 	-0.0317716 	-0.0353412 		-0.0416111
0.62 	-0.0327715 	-0.0367321 		-0.0422233
0.64 	-0.0337213 	-0.0380447 		-0.0427958
0.66 	-0.0346184 	-0.0392831 		-0.0433295
0.68 	-0.0354606 	-0.04044 		-0.0438251
0.7 	-0.036246 	-0.0415088 		-0.0442837
0.72 	-0.0369731 	-0.0424882 		-0.044706
0.74 	-0.0376405 	-0.0433799 		-0.0450929
0.76 	-0.0382473 	-0.0441672 		-0.0454453
0.78 	-0.038793 	-0.0448796 		-0.0457641
0.8 	-0.0392774 	-0.0454972 		-0.0460499
0.82 	-0.0397006 	-0.0460275 		-0.0463037
0.84 	-0.0400631 	-0.0464692 		-0.0465262
0.86 	-0.0403658 	-0.0468359 		-0.0467184
0.88 	-0.0406098 	-0.0471124 		-0.0468809
0.9 	-0.0407968 	-0.0473275 		-0.0470145
0.92 	-0.0409285 	-0.0474563 		-0.0471201
0.94 	-0.0410071 	-0.0475093 		-0.0471984
0.96 	-0.0410351 	-0.0475473 		-0.0472501
0.98 	-0.0410149 	-0.0474675 		-0.0472761
1 	-0.0409495 	-0.047354 		-0.047277
1.02 	-0.040842 	-0.0471807 		-0.0472536
