# mass number (A) = 9
# number of protons (Z) = 4
# P (GeV)	cm two_body (GeV^-3)
4.36	1.73120253195e-19
4.38	1.11421307905e-19
4.4	7.15567305704e-20
4.42	4.58558538302e-20
4.44	2.9322522559e-20
4.46	1.87098503656e-20
4.48	1.19124729862e-20
4.5	7.56826552602e-21
4.52	4.79792876133e-21
4.54	3.03510987643e-21
4.56	1.91583635981e-21
4.58	1.20671846135e-21
4.6	7.58433024196e-22
4.62	4.75655391972e-22
4.64	2.9766769296e-22
4.66	1.8588110377e-22
4.68	1.158252435e-22
4.7	7.20171303215e-23
4.72	4.46820596774e-23
4.74	2.76627599911e-23
4.76	1.70892480588e-23
4.78	1.05345426732e-23
4.8	6.47998309833e-24
4.82	3.97738541948e-24
4.84	2.43605597061e-24
4.86	1.4888220418e-24
4.88	9.0795519937e-25
4.9	5.52525481367e-25
4.92	3.35510891045e-25
4.94	2.03295379718e-25
4.96	1.22917898054e-25
4.98	7.41599836604e-26
5.0	4.46468848411e-26
#normalisation = 1.00000044016
