# mass number (A) = 9
# number of protons (Z) = 4
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
4.24	2.24512849967e-21
4.26	1.43862555362e-21
4.28	9.19908689828e-22
4.3	5.86991829794e-22
4.32	3.73774591344e-22
4.34	2.37507800658e-22
4.36	1.50603950723e-22
4.38	9.52983179149e-23
4.4	6.01761625716e-23
4.42	3.79187600585e-23
4.44	2.38437274806e-23
4.46	1.49618244673e-23
4.48	9.36882970474e-24
4.5	5.85432082168e-24
4.52	3.65054810574e-24
4.54	2.2715903601e-24
4.56	1.41056252655e-24
4.58	8.74067658117e-25
4.6	5.4049059803e-25
4.62	3.3351979892e-25
4.64	2.05374008946e-25
4.66	1.26200107542e-25
4.68	7.7386348198e-26
4.7	4.73542938853e-26
4.72	2.89164357688e-26
4.74	1.76205938357e-26
4.76	1.07148650122e-26
4.78	6.50194440078e-27
4.8	3.93722453398e-27
4.82	2.37918108089e-27
4.84	1.43468050375e-27
4.86	8.63322936661e-28
4.88	5.18419997865e-28
4.9	3.10656608299e-28
4.92	1.85767540259e-28
4.94	1.10853509968e-28
4.96	6.60114770926e-29
4.98	3.92265250035e-29
5.0	2.32611191702e-29
