# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 0
# k (1/fm)	total two_body (fm^3)
4.32	4.22298775716e-23
4.34	2.43063172033e-23
4.36	1.39499048966e-23
4.38	7.98319307876e-24
4.4	4.55549807718e-24
4.42	2.59208650931e-24
4.44	1.47067950529e-24
4.46	8.32035855798e-25
4.48	4.69377232583e-25
4.5	2.64033170436e-25
4.52	1.48098944966e-25
4.54	8.28329154125e-26
4.56	4.61968046631e-26
4.58	2.56909065086e-26
4.6	1.42464254296e-26
4.62	7.87756256763e-27
4.64	4.34347935764e-27
4.66	2.388053668e-27
4.68	1.30921595741e-27
4.7	7.15714548228e-28
4.72	3.90148735712e-28
4.74	2.12071748603e-28
4.76	1.14947129728e-28
4.78	6.21264569649e-29
4.8	3.34825572424e-29
4.82	1.79938734702e-29
4.84	9.64262195345e-30
4.86	5.15264801115e-30
4.88	2.74556093235e-30
4.9	1.45880547611e-30
4.92	7.72911518524e-31
4.94	4.08346346495e-31
4.96	2.15126776001e-31
4.98	1.13012779968e-31
5.0	5.92009033362e-32
