# mass number (A) = 48
# number of protons (Z) = 20
# P (GeV)	cm two_body (GeV^-3)
4.34	4.38636609571e-26
4.36	2.31188432898e-26
4.38	1.21443011214e-26
4.4	6.35806207919e-27
4.42	3.31759535773e-27
4.44	1.72531768985e-27
4.46	8.94256972252e-28
4.48	4.61959365635e-28
4.5	2.37844972232e-28
4.52	1.22048796578e-28
4.54	6.24198783445e-29
4.56	3.18172603099e-29
4.58	1.61641786488e-29
4.6	8.18457332684e-30
4.62	4.1303849183e-30
4.64	2.07748368047e-30
4.66	1.04144863322e-30
4.68	5.20345433125e-31
4.7	2.59119331539e-31
4.72	1.2860639535e-31
4.74	6.36180721639e-32
4.76	3.13656382251e-32
4.78	1.54128847949e-32
4.8	7.54866933769e-33
4.82	3.68480084625e-33
4.84	1.79273156284e-33
4.86	8.69309863218e-34
4.88	4.20138533064e-34
4.9	2.0238086583e-34
4.92	9.71641082003e-35
4.94	4.64945688998e-35
4.96	2.21747619461e-35
4.98	1.05408718835e-35
5.0	4.99407855639e-36
#normalisation = 0.979195894803
