#m_1	m_2	CGcoefficient
-3	-4	0.0
-3	-3	0.0
-3	-2	0.0
-3	-1	-0.3015113446
-3	0	-0.4767312946
-3	1	-0.5698028823
-3	2	-0.5698028823
-3	3	-0.4767312946
-3	4	-0.3015113446
-2	-4	0.0
-2	-3	0.0
-2	-2	0.5222329679
-2	-1	0.5222329679
-2	0	0.312093892
-2	1	0.0
-2	2	-0.312093892
-2	3	-0.5222329679
-2	4	-0.5222329679
-1	-4	0.0
-1	-3	-0.6179143807
-1	-2	-0.2335496832
-1	-1	0.1765469659
-1	0	0.4187178947
-1	1	0.4187178947
-1	2	0.1765469659
-1	3	-0.2335496832
-1	4	-0.6179143807
0	-4	0.5045249791
0	-3	-0.2522624896
0	-2	-0.4684874806
0	-1	-0.3243374866
0	0	0.0
0	1	0.3243374866
0	2	0.4684874806
0	3	0.2522624896
0	4	-0.5045249791
1	-4	0.6179143807
1	-3	0.2335496832
1	-2	-0.1765469659
1	-1	-0.4187178947
1	0	-0.4187178947
1	1	-0.1765469659
1	2	0.2335496832
1	3	0.6179143807
1	4	0.0
2	-4	0.5222329679
2	-3	0.5222329679
2	-2	0.312093892
2	-1	0.0
2	0	-0.312093892
2	1	-0.5222329679
2	2	-0.5222329679
2	3	0.0
2	4	0.0
3	-4	0.3015113446
3	-3	0.4767312946
3	-2	0.5698028823
3	-1	0.5698028823
3	0	0.4767312946
3	1	0.3015113446
3	2	0.0
3	3	0.0
3	4	0.0
