#m_1	m_2	CGcoefficient
-4	-5	0.0
-4	-4	0.0
-4	-3	0.0
-4	-2	0.0
-4	-1	0.2264554068
-4	0	0.3922322703
-4	1	0.5063696835
-4	2	0.5469417694
-4	3	0.5063696835
-4	4	0.3922322703
-4	5	0.2264554068
-3	-5	0.0
-3	-4	0.0
-3	-3	0.0
-3	-2	-0.4236592729
-3	-1	-0.5063696835
-3	0	-0.3922322703
-3	1	-0.1461763366
-3	2	0.1461763366
-3	3	0.3922322703
-3	4	0.5063696835
-3	5	0.4236592729
-2	-5	0.0
-2	-4	0.0
-2	-3	0.5547001962
-2	-2	0.358057437
-2	-1	0.0
-2	0	-0.2995723448
-2	1	-0.4134491153
-2	2	-0.2995723448
-2	3	0.0
-2	4	0.358057437
-2	5	0.5547001962
-1	-5	0.0
-1	-4	-0.5547001962
-1	-3	0.0
-1	-2	0.358057437
-1	-1	0.3867462341
-1	0	0.1601281538
-1	1	-0.1601281538
-1	2	-0.3867462341
-1	3	-0.358057437
-1	4	0.0
-1	5	0.5547001962
0	-5	0.3922322703
0	-4	-0.3922322703
0	-3	-0.3922322703
0	-2	-0.065372045
0	-1	0.2614881802
0	0	0.3922322703
0	1	0.2614881802
0	2	-0.065372045
0	3	-0.3922322703
0	4	-0.3922322703
0	5	0.3922322703
1	-5	0.5547001962
1	-4	0.0
1	-3	-0.358057437
1	-2	-0.3867462341
1	-1	-0.1601281538
1	0	0.1601281538
1	1	0.3867462341
1	2	0.358057437
1	3	0.0
1	4	-0.5547001962
1	5	0.0
2	-5	0.5547001962
2	-4	0.358057437
2	-3	0.0
2	-2	-0.2995723448
2	-1	-0.4134491153
2	0	-0.2995723448
2	1	0.0
2	2	0.358057437
2	3	0.5547001962
2	4	0.0
2	5	0.0
3	-5	0.4236592729
3	-4	0.5063696835
3	-3	0.3922322703
3	-2	0.1461763366
3	-1	-0.1461763366
3	0	-0.3922322703
3	1	-0.5063696835
3	2	-0.4236592729
3	3	0.0
3	4	0.0
3	5	0.0
4	-5	0.2264554068
4	-4	0.3922322703
4	-3	0.5063696835
4	-2	0.5469417694
4	-1	0.5063696835
4	0	0.3922322703
4	1	0.2264554068
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
