#m_1	m_2	CGcoefficient
-3	-5	0.0
-3	-4	0.0
-3	-3	0.0
-3	-2	0.0
-3	-1	0.1448413649
-3	0	0.280484097
-3	1	0.4105866761
-3	2	0.5120915565
-3	3	0.560968194
-3	4	0.5321811564
-3	5	0.396664414
-2	-5	0.0
-2	-4	0.0
-2	-3	0.0
-2	-2	-0.3128931094
-2	-1	-0.4599331055
-2	0	-0.4896531831
-2	1	-0.3950872133
-2	2	-0.186989398
-2	3	0.1024183113
-2	4	0.4096732452
-2	5	0.6059149009
-1	-5	0.0
-1	-4	0.0
-1	-3	0.4847319207
-1	-2	0.4897551836
-1	-1	0.3039040019
-1	0	0.0273724451
-1	1	-0.2458445859
-1	2	-0.4231087083
-1	3	-0.4122257512
-1	4	-0.1211829802
-1	5	0.5419467628
0	-5	0.0
0	-4	-0.5936729339
0	-3	-0.296836467
0	-2	0.0647750276
0	-1	0.3289252319
0	0	0.4240520956
0	1	0.3289252319
0	2	0.0647750276
0	3	-0.296836467
0	4	-0.5936729339
0	5	0.0
1	-5	0.5419467628
1	-4	-0.1211829802
1	-3	-0.4122257512
1	-2	-0.4231087083
1	-1	-0.2458445859
1	0	0.0273724451
1	1	0.3039040019
1	2	0.4897551836
1	3	0.4847319207
1	4	0.0
1	5	0.0
2	-5	0.6059149009
2	-4	0.4096732452
2	-3	0.1024183113
2	-2	-0.186989398
2	-1	-0.3950872133
2	0	-0.4896531831
2	1	-0.4599331055
2	2	-0.3128931094
2	3	0.0
2	4	0.0
2	5	0.0
3	-5	0.396664414
3	-4	0.5321811564
3	-3	0.560968194
3	-2	0.5120915565
3	-1	0.4105866761
3	0	0.280484097
3	1	0.1448413649
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
