#m_1	m_2	CGcoefficient
-1	-6	0.0
-1	-5	0.0
-1	-4	0.1132277034
-1	-3	0.1961161351
-1	-2	0.2773500981
-1	-1	0.358057437
-1	0	0.4385290097
-1	1	0.5188745217
-1	2	0.5991446895
-1	3	0.6793662205
-1	4	0.7595545253
-1	5	0.8397191228
-1	6	0.919866211
0	-6	0.0
0	-5	-0.3755338081
0	-4	-0.5063696835
0	-3	-0.5883484054
0	-2	-0.6405126152
0	-1	-0.6698641271
0	0	-0.6793662205
0	1	-0.6698641271
0	2	-0.6405126152
0	3	-0.5883484054
0	4	-0.5063696835
0	5	-0.3755338081
0	6	0.0
1	-6	0.919866211
1	-5	0.8397191228
1	-4	0.7595545253
1	-3	0.6793662205
1	-2	0.5991446895
1	-1	0.5188745217
1	0	0.4385290097
1	1	0.358057437
1	2	0.2773500981
1	3	0.1961161351
1	4	0.1132277034
1	5	0.0
1	6	0.0
