#m_1	m_2	CGcoefficient
-7	-6	0.0
-7	-5	0.0
-7	-4	0.0
-7	-3	0.0
-7	-2	0.0
-7	-1	0.0
-7	0	0.0
-7	1	0.0
-7	2	0.1993280767
-7	3	0.3781984343
-7	4	0.4882520792
-7	5	0.4674657761
-7	6	0.3060281862
-6	-6	0.0
-6	-5	0.0
-6	-4	0.0
-6	-3	0.0
-6	-2	0.0
-6	-1	0.0
-6	0	0.0
-6	1	-0.3369259442
-6	2	-0.4380037274
-6	3	-0.2858911438
-6	4	0.0532726693
-6	5	0.3777693946
-6	6	0.4479793939
-5	-6	0.0
-5	-5	0.0
-5	-4	0.0
-5	-3	0.0
-5	-2	0.0
-5	-1	0.0
-5	0	0.4282254015
-5	1	0.3343241605
-5	2	-0.0280339331
-5	3	-0.3318993526
-5	4	-0.29221364
-5	5	0.1014473559
-5	6	0.4812070609
-4	-6	0.0
-4	-5	0.0
-4	-4	0.0
-4	-3	0.0
-4	-2	0.0
-4	-1	-0.462536298
-4	0	-0.1354167621
-4	1	0.2659532411
-4	2	0.3090097421
-4	3	-0.0259543787
-4	4	-0.3460583832
-4	5	-0.1852166841
-4	6	0.4243847374
-3	-6	0.0
-3	-5	0.0
-3	-4	0.0
-3	-3	0.0
-3	-2	0.4410110563
-3	-1	-0.0882022113
-3	0	-0.3464514082
-3	1	-0.0982097429
-3	2	0.2699811173
-3	3	0.2643171825
-3	4	-0.1547803321
-3	5	-0.3693795015
-3	6	0.3134289004
-2	-6	0.0
-2	-5	0.0
-2	-4	0.0
-2	-3	-0.3742102902
-2	-2	0.2761165962
-2	-1	0.2646066338
-2	0	-0.1500178603
-2	1	-0.3149718944
-2	2	-0.0151540923
-2	3	0.3246315389
-2	4	0.1291916478
-2	5	-0.4094618009
-2	6	0.1880573403
-1	-6	0.0
-1	-5	0.0
-1	-4	0.2789198822
-1	-3	-0.3864827258
-1	-2	-0.0683211391
-1	-1	0.3087077394
-1	0	0.169753895
-1	1	-0.2217236229
-1	2	-0.2763557351
-1	3	0.1374676562
-1	4	0.3474809837
-1	5	-0.3250539614
-1	6	0.0809269941
0	-6	0.0
0	-5	-0.1748222881
0	-4	0.4007415528
0	-3	-0.1643363323
0	-2	-0.3056323439
0	-1	0.0712781505
0	0	0.3162654189
0	1	0.0712781505
0	2	-0.3056323439
0	3	-0.1643363323
0	4	0.4007415528
0	5	-0.1748222881
0	6	0.0
1	-6	0.0809269941
1	-5	-0.3250539614
1	-4	0.3474809837
1	-3	0.1374676562
1	-2	-0.2763557351
1	-1	-0.2217236229
1	0	0.169753895
1	1	0.3087077394
1	2	-0.0683211391
1	3	-0.3864827258
1	4	0.2789198822
1	5	0.0
1	6	0.0
2	-6	0.1880573403
2	-5	-0.4094618009
2	-4	0.1291916478
2	-3	0.3246315389
2	-2	-0.0151540923
2	-1	-0.3149718944
2	0	-0.1500178603
2	1	0.2646066338
2	2	0.2761165962
2	3	-0.3742102902
2	4	0.0
2	5	0.0
2	6	0.0
3	-6	0.3134289004
3	-5	-0.3693795015
3	-4	-0.1547803321
3	-3	0.2643171825
3	-2	0.2699811173
3	-1	-0.0982097429
3	0	-0.3464514082
3	1	-0.0882022113
3	2	0.4410110563
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
4	-6	0.4243847374
4	-5	-0.1852166841
4	-4	-0.3460583832
4	-3	-0.0259543787
4	-2	0.3090097421
4	-1	0.2659532411
4	0	-0.1354167621
4	1	-0.462536298
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
5	-6	0.4812070609
5	-5	0.1014473559
5	-4	-0.29221364
5	-3	-0.3318993526
5	-2	-0.0280339331
5	-1	0.3343241605
5	0	0.4282254015
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
6	-6	0.4479793939
6	-5	0.3777693946
6	-4	0.0532726693
6	-3	-0.2858911438
6	-2	-0.4380037274
6	-1	-0.3369259442
6	0	0.0
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0
7	-6	0.3060281862
7	-5	0.4674657761
7	-4	0.4882520792
7	-3	0.3781984343
7	-2	0.1993280767
7	-1	0.0
7	0	0.0
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
