#m_1	m_2	CGcoefficient
-8	-7	1.0
-8	-6	0.6831300511
-8	-5	0.4573788389
-8	-4	0.2994247358
-8	-3	0.1911182392
-8	-2	0.1185265004
-8	-1	0.0711159002
-8	0	0.0410587841
-8	1	0.0226511985
-8	2	0.0118292026
-8	3	0.0057720599
-8	4	0.0025813436
-8	5	0.001025722
-8	6	0.0003419073
-8	7	8.29247e-05
-7	-7	0.7302967433
-7	-6	0.7175949615
-7	-5	0.5988494716
-7	-4	0.4609945382
-7	-3	0.3352435686
-7	-2	0.2322635575
-7	-1	0.153627903
-7	0	0.0968605992
-7	1	0.057951021
-7	2	0.0326517013
-7	3	0.0171226966
-7	4	0.0082057756
-7	5	0.0034867842
-7	6	0.0012411033
-7	7	0.000321166
-6	-7	0.5252257314
-6	-6	0.6432675209
-6	-5	0.6312427686
-6	-4	0.5536365324
-6	-3	0.4497764451
-6	-2	0.3435224343
-6	-1	0.2481314478
-6	0	0.169663217
-6	1	0.1095171356
-6	2	0.0663159189
-6	3	0.0372663292
-6	4	0.0190979034
-6	5	0.0086655325
-6	6	0.0032909722
-6	7	0.0009083946
-5	-7	0.3713906764
-5	-6	0.5348637047
-5	-5	0.5979958012
-5	-4	0.5859138325
-5	-3	0.524739186
-5	-2	0.4376627356
-5	-1	0.342842864
-5	0	0.252918991
-5	1	0.1754554294
-5	2	0.1138505164
-5	3	0.0684156458
-5	4	0.0374393794
-5	5	0.0181252616
-5	6	0.0073424664
-5	7	0.0021624117
-4	-7	0.2577037812
-4	-6	0.4228468862
-4	-5	0.5281355916
-4	-4	0.5704516371
-4	-3	0.5579127073
-4	-2	0.5046510316
-4	-1	0.4265079665
-4	0	0.3381461645
-4	1	0.2513751338
-4	2	0.1744263564
-4	3	0.1119274651
-4	4	0.0653515601
-4	5	0.0337474005
-4	6	0.0145862647
-4	7	0.004587168
-3	-7	0.1750752438
-3	-6	0.3209182228
-3	-5	0.441869938
-3	-4	0.5212013442
-3	-3	0.5528175073
-3	-2	0.5394946457
