#m_1	m_2	CGcoefficient
-7	-2	0.0
-7	-1	0.0
-7	0	0.0
-7	1	-0.8062257748
-7	2	-0.4654746681
-6	-2	0.0
-6	-1	0.0
-6	0	0.5277986629
-6	1	-0.4976133515
-6	2	-0.5835033766
-5	-2	0.0
-5	-1	-0.2535462764
-5	0	0.5976143047
-5	1	-0.2288688541
-5	2	-0.6267831705
-4	-2	0.0845154255
-4	-1	-0.3903600292
-4	0	0.5606119106
-4	1	0.0
-4	2	-0.6267831705
-3	-2	0.1618347187
-3	-1	-0.4830458915
-3	0	0.4629100499
-3	1	0.1889822365
-3	2	-0.5976143047
-2	-2	0.2439750182
-2	-1	-0.5345224838
-2	0	0.3273268354
-2	1	0.3380617019
-2	2	-0.5477225575
-1	-2	0.3273268354
-1	-1	-0.5455447256
-1	0	0.1690308509
-1	1	0.4472135955
-1	2	-0.4830458915
0	-2	0.4082482905
0	-1	-0.5163977795
0	0	0.0
0	1	0.5163977795
0	2	-0.4082482905
1	-2	0.4830458915
1	-1	-0.4472135955
1	0	-0.1690308509
1	1	0.5455447256
1	2	-0.3273268354
2	-2	0.5477225575
2	-1	-0.3380617019
2	0	-0.3273268354
2	1	0.5345224838
2	2	-0.2439750182
3	-2	0.5976143047
3	-1	-0.1889822365
3	0	-0.4629100499
3	1	0.4830458915
3	2	-0.1618347187
4	-2	0.6267831705
4	-1	0.0
4	0	-0.5606119106
4	1	0.3903600292
4	2	-0.0845154255
5	-2	0.6267831705
5	-1	0.2288688541
5	0	-0.5976143047
5	1	0.2535462764
5	2	0.0
6	-2	0.5835033766
6	-1	0.4976133515
6	0	-0.5277986629
6	1	0.0
6	2	0.0
7	-2	0.4654746681
7	-1	0.8062257748
7	0	0.0
7	1	0.0
7	2	0.0
