#m_1	m_2	CGcoefficient
-5	-8	0.0
-5	-7	0.0
-5	-6	0.3872983346
-5	-5	0.535129551
-5	-4	0.5954371961
-5	-3	0.5954371961
-5	-2	0.5548826334
-5	-1	0.4893604849
-5	0	0.4111450446
-5	1	0.3296494057
-5	2	0.2517738924
-5	3	0.1822205652
-5	4	0.1237944966
-5	5	0.0776991101
-5	6	0.043828209
-5	7	0.0210543906
-5	8	0.0075026968
-4	-8	0.0
-4	-7	-0.6708203932
-4	-6	-0.5222329679
-4	-5	-0.2611164839
-4	-4	0.0
-4	-3	0.2159877721
-4	-2	0.3699217556
-4	-1	0.4596741341
-4	0	0.4914123199
-4	1	0.4758079327
-4	2	0.4255755527
-4	3	0.3537722414
-4	4	0.2725865103
-4	5	0.1924737857
-4	6	0.1215575807
-4	7	0.0652454285
-4	8	0.025990104
-3	-8	0.632455532
-3	-7	-0.0674199862
-3	-6	-0.3988620176
-3	-5	-0.4767312946
-3	-4	-0.3943379164
-3	-3	-0.2253828924
-3	-2	-0.0258997034
-3	-1	0.1638041066
-3	0	0.3172052885
-3	1	0.419623154
-3	2	0.4662776648
-3	3	0.4603471567
-3	4	0.4110252296
-3	5	0.331575485
-3	6	0.2373796425
-3	7	0.143959267
-3	8	0.0648307097
-2	-8	0.6605782591
-2	-7	0.356753034
-2	-6	0.0
-2	-5	-0.2678998599
-2	-4	-0.4072704488
-2	-3	-0.4216889366
-2	-2	-0.3356985232
-2	-1	-0.1831385587
-2	0	0.0
-2	1	0.1802990292
-2	2	0.3301186577
-2	3	0.4297218286
-2	4	0.4685432629
-2	5	0.4457111292
-2	6	0.3698456635
-2	7	0.2580535075
-2	8	0.133651932
-1	-8	0.53935989
-1	-7	0.5222329679
-1	-6	0.3281089794
-1	-5	0.0747137013
-1	-4	-0.1600379915
-1	-3	-0.327980284
-1	-2	-0.405394481
-1	-1	-0.3884955503
-1	0	-0.2891216548
-1	1	-0.1304908571
-1	2	0.0570155592
-1	3	0.2400569873
-1	4	0.3865284715
-1	5	0.4697431196
-1	6	0.47258057
-1	7	0.3914965357
-1	8	0.2396169191
0	-8	0.3813850357
0	-7	0.5031004351
0	-6	0.4798989793
0	-5	0.3484650647
0	-4	0.1546113886
0	-3	-0.0546633807
0	-2	-0.2373747022
0	-1	-0.3608126363
0	0	-0.404311133
0	1	-0.3608126363
0	2	-0.2373747022
0	3	-0.0546633807
0	4	0.1546113886
0	5	0.3484650647
0	6	0.4798989793
0	7	0.5031004351
0	8	0.3813850357
1	-8	0.2396169191
1	-7	0.3914965357
1	-6	0.47258057
1	-5	0.4697431196
1	-4	0.3865284715
1	-3	0.2400569873
1	-2	0.0570155592
1	-1	-0.1304908571
1	0	-0.2891216548
1	1	-0.3884955503
1	2	-0.405394481
1	3	-0.327980284
1	4	-0.1600379915
1	5	0.0747137013
1	6	0.3281089794
1	7	0.5222329679
1	8	0.53935989
2	-8	0.133651932
2	-7	0.2580535075
2	-6	0.3698456635
2	-5	0.4457111292
2	-4	0.4685432629
2	-3	0.4297218286
2	-2	0.3301186577
2	-1	0.1802990292
2	0	0.0
2	1	-0.1831385587
2	2	-0.3356985232
2	3	-0.4216889366
2	4	-0.4072704488
2	5	-0.2678998599
2	6	0.0
2	7	0.356753034
2	8	0.6605782591
3	-8	0.0648307097
3	-7	0.143959267
3	-6	0.2373796425
3	-5	0.331575485
3	-4	0.4110252296
3	-3	0.4603471567
3	-2	0.4662776648
3	-1	0.419623154
3	0	0.3172052885
3	1	0.1638041066
3	2	-0.0258997034
3	3	-0.2253828924
3	4	-0.3943379164
3	5	-0.4767312946
3	6	-0.3988620176
3	7	-0.0674199862
3	8	0.632455532
4	-8	0.025990104
4	-7	0.0652454285
4	-6	0.1215575807
4	-5	0.1924737857
4	-4	0.2725865103
4	-3	0.3537722414
4	-2	0.4255755527
4	-1	0.4758079327
4	0	0.4914123199
4	1	0.4596741341
4	2	0.3699217556
4	3	0.2159877721
4	4	0.0
4	5	-0.2611164839
4	6	-0.5222329679
4	7	-0.6708203932
4	8	0.0
5	-8	0.0075026968
5	-7	0.0210543906
5	-6	0.043828209
5	-5	0.0776991101
5	-4	0.1237944966
5	-3	0.1822205652
5	-2	0.2517738924
5	-1	0.3296494057
5	0	0.4111450446
5	1	0.4893604849
5	2	0.5548826334
5	3	0.5954371961
5	4	0.5954371961
5	5	0.535129551
5	6	0.3872983346
5	7	0.0
5	8	0.0
