#m_1	m_2	CGcoefficient
-8	-4	0.0
-8	-3	0.0
-8	-2	0.6887004432
-8	-1	0.6533586078
-8	0	0.4739961527
-8	1	0.2884648723
-8	2	0.1484139524
-8	3	0.0620860107
-8	4	0.018510472
-7	-4	0.0
-7	-3	-0.6442202751
-7	-2	0.0769990504
-7	-1	0.4769494284
-7	0	0.548273004
-7	1	0.4372688006
-7	2	0.2737875412
-7	3	0.1341610231
-7	4	0.0458110811
-6	-4	0.3326739196
-6	-3	-0.5786040172
-6	-2	-0.2827838666
-6	-1	0.1922317731
-6	0	0.4684213666
-6	1	0.5019820438
-6	2	0.3825645053
-6	3	0.2188248499
-6	4	0.085295591
-5	-4	0.4820903102
-5	-3	-0.3870968581
-5	-2	-0.4464920012
-5	-1	-0.0786422802
-5	0	0.3000823849
-5	1	0.484379212
-5	2	0.4580383485
-5	3	0.3071148946
-5	4	0.1367772335
-4	-4	0.5639469809
-4	-3	-0.1627974706
-4	-2	-0.4643140772
-4	-1	-0.2836469383
-4	0	0.0943852581
-4	1	0.395475921
-4	2	0.4884099505
-4	3	0.3889512249
-4	4	0.1989337576
-3	-4	0.594452313
-3	-3	0.0509738653
-3	-2	-0.3807838884
-3	-1	-0.4018884872
-3	0	-0.1077019479
-3	1	0.2531550969
-3	2	0.467389419
-3	3	0.4540021104
-3	4	0.2693575812
-2	-4	0.5856451252
-2	-3	0.231496562
-2	-2	-0.2347803652
-2	-1	-0.4304306696
-2	0	-0.2745546695
-2	1	0.0797509247
-2	2	0.3942991247
-2	3	0.4923359316
-2	4	0.3445633756
-1	-4	0.5478208522
-1	-3	0.3674893995
-1	-2	-0.0595276874
-1	-1	-0.377895783
-1	0	-0.3836579611
-1	1	-0.0999730749
-1	2	0.2741007888
-1	3	0.4950556449
-1	4	0.4199878851
0	-4	0.489985866
0	-3	0.4549868756
0	-2	0.1174045151
0	-1	-0.2606204222
0	0	-0.421523495
0	1	-0.2606204222
0	2	0.1174045151
0	3	0.4549868756
0	4	0.489985866
1	-4	0.4199878851
1	-3	0.4950556449
1	-2	0.2741007888
1	-1	-0.0999730749
1	0	-0.3836579611
1	1	-0.377895783
1	2	-0.0595276874
1	3	0.3674893995
1	4	0.5478208522
2	-4	0.3445633756
2	-3	0.4923359316
2	-2	0.3942991247
2	-1	0.0797509247
2	0	-0.2745546695
2	1	-0.4304306696
2	2	-0.2347803652
2	3	0.231496562
2	4	0.5856451252
3	-4	0.2693575812
3	-3	0.4540021104
3	-2	0.467389419
3	-1	0.2531550969
3	0	-0.1077019479
3	1	-0.4018884872
3	2	-0.3807838884
3	3	0.0509738653
3	4	0.594452313
4	-4	0.1989337576
4	-3	0.3889512249
4	-2	0.4884099505
4	-1	0.395475921
4	0	0.0943852581
4	1	-0.2836469383
4	2	-0.4643140772
4	3	-0.1627974706
4	4	0.5639469809
5	-4	0.1367772335
5	-3	0.3071148946
5	-2	0.4580383485
5	-1	0.484379212
5	0	0.3000823849
5	1	-0.0786422802
5	2	-0.4464920012
5	3	-0.3870968581
5	4	0.4820903102
6	-4	0.085295591
6	-3	0.2188248499
6	-2	0.3825645053
6	-1	0.5019820438
6	0	0.4684213666
6	1	0.1922317731
6	2	-0.2827838666
6	3	-0.5786040172
6	4	0.3326739196
7	-4	0.0458110811
7	-3	0.1341610231
7	-2	0.2737875412
7	-1	0.4372688006
7	0	0.548273004
7	1	0.4769494284
7	2	0.0769990504
7	3	-0.6442202751
7	4	0.0
8	-4	0.018510472
8	-3	0.0620860107
8	-2	0.1484139524
8	-1	0.2884648723
8	0	0.4739961527
8	1	0.6533586078
8	2	0.6887004432
8	3	0.0
8	4	0.0
