# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_0 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC 		 GD
1.58 	0.0590801 	0.0164349 	0.0105294 	0.00558298
1.6 	0.0599514 	0.0170717 	0.0112978 	0.00745938
1.62 	0.0607488 	0.0176996 	0.0120523 	0.00931083
1.64 	0.0614757 	0.0183183 	0.0127925 	0.0111364
1.66 	0.0621351 	0.0189274 	0.0135183 	0.0129354
1.68 	0.06273 	0.0195266 	0.0142292 	0.0147068
1.7 	0.0632634 	0.0201156 	0.0149252 	0.0164499
1.72 	0.063738 	0.0206941 	0.0156059 	0.018164
1.74 	0.0641563 	0.0212619 	0.0162711 	0.0198483
1.76 	0.0645211 	0.0218186 	0.0169207 	0.0215021
1.78 	0.0648346 	0.022364 	0.0175544 	0.0231249
1.8 	0.0650992 	0.0228979 	0.0181721 	0.0247158
1.82 	0.0653171 	0.02342 	0.0187736 	0.0262745
1.84 	0.0654904 	0.0239302 	0.0193589 	0.0278002
1.86 	0.0656213 	0.0244281 	0.0199277 	0.0292926
1.88 	0.0657116 	0.0249136 	0.0204801 	0.030751
1.9 	0.0657632 	0.0253865 	0.0210159 	0.0321751
1.92 	0.065778 	0.0258466 	0.0215351 	0.0335645
1.94 	0.0657575 	0.0262937 	0.0220376 	0.0349186
1.96 	0.0657036 	0.0267278 	0.0225234 	0.0362373
1.98 	0.0656177 	0.0271486 	0.0229925 	0.0375201
2 	0.0655014 	0.027556 	0.0234449 	0.0387669
2.02 	0.0653561 	0.0279499 	0.0238805 	0.0399772
2.04 	0.0651833 	0.0283302 	0.0242995 	0.041151
2.06 	0.0649842 	0.0286969 	0.0247019 	0.042288
2.08 	0.0647602 	0.0290497 	0.0250876 	0.0433881
2.1 	0.0645124 	0.0293887 	0.0254569 	0.0444512
2.12 	0.0642421 	0.0297137 	0.0258097 	0.0454771
2.14 	0.0639504 	0.0300248 	0.0261462 	0.0464658
2.16 	0.0636383 	0.0303219 	0.0264665 	0.0474173
2.18 	0.063307 	0.030605 	0.0267707 	0.0483316
2.2 	0.0629574 	0.030874 	0.0270589 	0.0492087
2.22 	0.0625905 	0.031129 	0.0273312 	0.0500488
2.24 	0.0622072 	0.03137 	0.0275878 	0.0508517
2.26 	0.0618084 	0.0315969 	0.0278289 	0.0516178
2.28 	0.0613949 	0.0318098 	0.0280546 	0.0523471
2.3 	0.0609676 	0.0320088 	0.0282651 	0.0530399
2.32 	0.0605273 	0.0321939 	0.0284606 	0.0536962
2.34 	0.0600746 	0.0323651 	0.0286413 	0.0543164
2.36 	0.0596105 	0.0325226 	0.0288074 	0.0549007
2.38 	0.0591354 	0.0326664 	0.028959 	0.0554494
2.4 	0.0586502 	0.0327966 	0.0290965 	0.0559627
2.42 	0.0581555 	0.0329132 	0.02922 	0.0564411
2.44 	0.0576518 	0.0330165 	0.0293297 	0.0568848
2.46 	0.0571399 	0.0331065 	0.0294259 	0.0572943
2.48 	0.0566202 	0.0331834 	0.0295088 	0.0576698
2.5 	0.0560934 	0.0332473 	0.0295786 	0.0580119
2.52 	0.0555599 	0.0332983 	0.0296357 	0.0583209
2.54 	0.0550202 	0.0333365 	0.0296802 	0.0585973
2.56 	0.054475 	0.0333622 	0.0297124 	0.0588416
2.58 	0.0539246 	0.0333756 	0.0297326 	0.0590542
2.6 	0.0533695 	0.0333767 	0.0297409 	0.0592357
2.62 	0.0528101 	0.0333657 	0.0297378 	0.0593866
2.64 	0.0522469 	0.0333429 	0.0297234 	0.0595073
2.66 	0.0516803 	0.0333085 	0.029698 	0.0595985
2.68 	0.0511107 	0.0332626 	0.0296619 	0.0596607
2.7 	0.0505384 	0.0332055 	0.0296153 	0.0596945
2.72 	0.0499638 	0.0331373 	0.0295585 	0.0597004
2.74 	0.0493873 	0.0330583 	0.0294918 	0.059679
2.76 	0.0488092 	0.0329687 	0.0294155 	0.059631
2.78 	0.0482299 	0.0328687 	0.0293297 	0.059557
2.8 	0.0476496 	0.0327586 	0.0292349 	0.0594575
2.82 	0.0470686 	0.0326386 	0.0291312 	0.0593332
2.84 	0.0464873 	0.0325089 	0.0290189 	0.0591848
2.86 	0.0459058 	0.0323698 	0.0288983 	0.0590128
2.88 	0.0453246 	0.0322216 	0.0287696 	0.058818
2.9 	0.0447438 	0.0320644 	0.0286332 	0.0586009
2.92 	0.0441637 	0.0318985 	0.0284892 	0.0583623
2.94 	0.0435845 	0.0317242 	0.028338 	0.0581027
2.96 	0.0430064 	0.0315418 	0.0281798 	0.0578229
2.98 	0.0424298 	0.0313514 	0.0280148 	0.0575235
3 	0.0418547 	0.0311534 	0.0278433 	0.0572051
3.02 	0.0412814 	0.0309481 	0.0276655 	0.0568685
3.04 	0.04071 	0.0307356 	0.0274818 	0.0565143
3.06 	0.0401409 	0.0305163 	0.0272923 	0.0561431
3.08 	0.0395741 	0.0302903 	0.0270973 	0.0557556
3.1 	0.0390097 	0.0300581 	0.026897 	0.0553525
3.12 	0.0384481 	0.0298198 	0.0266917 	0.0549344
3.14 	0.0378893 	0.0295757 	0.0264815 	0.054502
3.16 	0.0373335 	0.029326 	0.0262668 	0.0540558
3.18 	0.0367808 	0.0290711 	0.0260477 	0.0535967
3.2 	0.0362313 	0.0288112 	0.0258245 	0.0531251
3.22 	0.0356853 	0.0285466 	0.0255973 	0.0526418
3.24 	0.0351428 	0.0282774 	0.0253664 	0.0521473
3.26 	0.0346039 	0.028004 	0.0251321 	0.0516422
3.28 	0.0340687 	0.0277266 	0.0248944 	0.0511273
3.3 	0.0335374 	0.0274456 	0.0246537 	0.050603
3.32 	0.03301 	0.027161 	0.02441 	0.05007
3.34 	0.0324867 	0.0268732 	0.0241637 	0.0495289
3.36 	0.0319676 	0.0265825 	0.0239148 	0.0489802
3.38 	0.0314526 	0.026289 	0.0236636 	0.0484246
3.4 	0.030942 	0.025993 	0.0234102 	0.0478625
3.42 	0.0304358 	0.0256947 	0.0231549 	0.0472945
3.44 	0.029934 	0.0253944 	0.0228978 	0.0467212
3.46 	0.0294368 	0.0250923 	0.022639 	0.046143
3.48 	0.0289441 	0.0247886 	0.0223788 	0.0455606
3.5 	0.0284561 	0.0244836 	0.0221173 	0.0449744
3.52 	0.0279728 	0.0241775 	0.0218546 	0.0443849
3.54 	0.0274943 	0.0238704 	0.0215909 	0.0437926
3.56 	0.0270205 	0.0235626 	0.0213264 	0.043198
3.58 	0.0265516 	0.0232543 	0.0210611 	0.0426016
3.6 	0.0260876 	0.0229457 	0.0207953 	0.0420037
3.62 	0.0256286 	0.0226369 	0.0205291 	0.0414048
3.64 	0.0251745 	0.0223282 	0.0202625 	0.0408054
3.66 	0.0247253 	0.0220198 	0.0199958 	0.0402059
3.68 	0.0242812 	0.0217119 	0.019729 	0.0396066
3.7 	0.0238422 	0.0214045 	0.0194623 	0.039008
3.72 	0.0234082 	0.0210979 	0.0191958 	0.0384104
3.74 	0.0229793 	0.0207923 	0.0189296 	0.0378142
3.76 	0.0225555 	0.0204877 	0.0186637 	0.0372198
3.78 	0.0221368 	0.0201845 	0.0183984 	0.0366275
3.8 	0.0217232 	0.0198826 	0.0181338 	0.0360375
3.82 	0.0213147 	0.0195823 	0.0178698 	0.0354504
3.84 	0.0209114 	0.0192837 	0.0176066 	0.0348662
3.86 	0.0205132 	0.0189869 	0.0173444 	0.0342854
3.88 	0.0201202 	0.018692 	0.0170831 	0.0337081
3.9 	0.0197323 	0.0183993 	0.0168229 	0.0331348
3.92 	0.0193495 	0.0181087 	0.0165638 	0.0325655
3.94 	0.0189718 	0.0178204 	0.016306 	0.0320006
3.96 	0.0185992 	0.0175345 	0.0160495 	0.0314403
