# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
2.02 	-0.0491626 	-0.00999999 		-0.0115174 	-0.0263049
2.04 	-0.0482328 	-0.00999999 		-0.0108721 	-0.0243067
2.06 	-0.0473154 	-0.00899994 		-0.0102571 	-0.0224153
2.08 	-0.0464107 	-0.00800002 		-0.00967143 	-0.0206298
2.1 	-0.0455193 	-0.00699997 		-0.009114 	-0.0189486
2.12 	-0.0446416 	-0.00699997 		-0.00858382 	-0.0173696
2.14 	-0.0437777 	-0.00600004 		-0.00807989 	-0.0158904
2.16 	-0.042928 	-0.005 		-0.00760123 	-0.0145081
2.18 	-0.0420926 	-0.005 		-0.00714686 	-0.0132196
2.2 	-0.0412714 	-0.00399995 		-0.00671584 	-0.0120215
2.22 	-0.0404647 	-0.00399995 		-0.00630723 	-0.0109101
2.24 	-0.0396723 	-0.00300002 		-0.00592011 	-0.00988164
2.26 	-0.0388942 	-0.00300002 		-0.0055536 	-0.00893227
2.28 	-0.0381304 	-0.00199997 		-0.00520682 	-0.00805797
2.3 	-0.0373806 	-0.00199997 		-0.00487892 	-0.00725473
2.32 	-0.0366449 	-0.00100005 		-0.00456908 	-0.00651851
2.34 	-0.035923 	-0.00100005 		-0.00427648 	-0.00584529
2.36 	-0.0352148 	-0.00100005 		-0.00400035 	-0.00523113
2.38 	-0.0345202 	-0.00100005 		-0.00373992 	-0.00467215
2.4 	-0.0338388 	0 		-0.00349446 	-0.00416455
2.42 	-0.0331706 	0 		-0.00326325 	-0.00370469
2.44 	-0.0325153 	0 		-0.00304562 	-0.00328902
2.46 	-0.0318727 	0 		-0.00284088 	-0.00291416
2.48 	-0.0312426 	0 		-0.0026484 	-0.00257686
2.5 	-0.0306248 	0 		-0.00246756 	-0.00227405
2.52 	-0.0300191 	0 		-0.00229776 	-0.00200281
2.54 	-0.0294253 	0 		-0.00213843 	-0.0017604
2.56 	-0.0288431 	0 		-0.00198902 	-0.00154424
2.58 	-0.0282724 	0 		-0.001849 	-0.00135191
2.6 	-0.0277129 	0 		-0.00171786 	-0.00118117
