# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
8.14 	-0.000108822 	0 		-7.68759e-22 	-2.42447e-53
8.16 	-0.000106667 	0 		-6.09894e-22 	-1.21477e-53
8.18 	-0.000104555 	0 		-4.83584e-22 	-6.07441e-54
8.2 	-0.000102484 	0 		-3.83215e-22 	-3.03142e-54
8.22 	-0.000100455 	0 		-3.03506e-22 	-1.5098e-54
8.24 	-9.84658e-05 	0 		-2.40239e-22 	-7.5045e-55
8.26 	-9.6516e-05 	0 		-1.90053e-22 	-3.72269e-55
8.28 	-9.46049e-05 	0 		-1.50265e-22 	-1.84299e-55
8.3 	-9.27316e-05 	0 		-1.1874e-22 	-9.10587e-56
8.32 	-9.08954e-05 	0 		-9.37749e-23 	-4.49005e-56
8.34 	-8.90955e-05 	0 		-7.40168e-23 	-2.20959e-56
8.36 	-8.73313e-05 	0 		-5.83885e-23 	-1.08518e-56
8.38 	-8.5602e-05 	0 		-4.60339e-23 	-5.31896e-57
8.4 	-8.3907e-05 	0 		-3.62728e-23 	-2.60184e-57
8.42 	-8.22455e-05 	0 		-2.85653e-23 	-1.27019e-57
8.44 	-8.0617e-05 	0 		-2.24827e-23 	-6.18849e-58
8.46 	-7.90206e-05 	0 		-1.76853e-23 	-3.00908e-58
8.48 	-7.74559e-05 	0 		-1.39037e-23 	-1.4602e-58
8.5 	-7.59222e-05 	0 		-1.09244e-23 	-7.07171e-59
8.52 	-7.44188e-05 	0 		-8.57872e-24 	-3.41796e-59
8.54 	-7.29452e-05 	0 		-6.73286e-24 	-1.6487e-59
8.56 	-7.15008e-05 	0 		-5.28116e-24 	-7.93682e-60
8.58 	-7.0085e-05 	0 		-4.14012e-24 	-3.81314e-60
8.6 	-6.86972e-05 	0 		-3.24376e-24 	-1.82832e-60
8.62 	-6.73369e-05 	0 		-2.54003e-24 	-8.74884e-61
8.64 	-6.60036e-05 	0 		-1.98784e-24 	-4.17812e-61
8.66 	-6.46966e-05 	0 		-1.55481e-24 	-1.99133e-61
8.68 	-6.34155e-05 	0 		-1.21542e-24 	-9.47189e-62
8.7 	-6.21598e-05 	0 		-9.49579e-25 	-4.49636e-62
8.72 	-6.0929e-05 	0 		-7.41459e-25 	-2.13019e-62
8.74 	-5.97225e-05 	0 		-5.78624e-25 	-1.00717e-62
8.76 	-5.85399e-05 	0 		-4.51294e-25 	-4.75252e-63
8.78 	-5.73808e-05 	0 		-3.51784e-25 	-2.23807e-63
8.8 	-5.62445e-05 	0 		-2.7406e-25 	-1.05185e-63
8.82 	-5.51308e-05 	0 		-2.13387e-25 	-4.93364e-64
8.84 	-5.40392e-05 	0 		-1.66052e-25 	-2.30947e-64
8.86 	-5.29691e-05 	0 		-1.29144e-25 	-1.07892e-64
8.88 	-5.19203e-05 	0 		-1.00382e-25 	-5.0303e-65
8.9 	-5.08922e-05 	0 		-7.79814e-26 	-2.34063e-65
8.92 	-4.98844e-05 	0 		-6.05453e-26 	-1.08693e-65
8.94 	-4.88967e-05 	0 		-4.69811e-26 	-5.03736e-66
8.96 	-4.79284e-05 	0 		-3.6435e-26 	-2.32989e-66
8.98 	-4.69794e-05 	0 		-2.82402e-26 	-1.07547e-66
9 	-4.60491e-05 	0 		-2.18761e-26 	-4.95442e-67
9.02 	-4.51373e-05 	0 		-1.69366e-26 	-2.27782e-67
9.04 	-4.42435e-05 	0 		-1.31049e-26 	-1.04515e-67
9.06 	-4.33674e-05 	0 		-1.01344e-26 	-4.78592e-68
9.08 	-4.25087e-05 	0 		-7.8327e-27 	-2.18719e-68
9.1 	-4.1667e-05 	0 		-6.05035e-27 	-9.97557e-69
9.12 	-4.08419e-05 	0 		-4.67092e-27 	-4.54068e-69
9.14 	-4.00332e-05 	0 		-3.60394e-27 	-2.06269e-69
9.16 	-3.92405e-05 	0 		-2.77911e-27 	-9.35148e-70
9.18 	-3.84635e-05 	0 		-2.14184e-27 	-4.23114e-70
9.2 	-3.77018e-05 	0 		-1.64977e-27 	-1.91058e-70
9.22 	-3.69553e-05 	0 		-1.27002e-27 	-8.61004e-71
9.24 	-3.62235e-05 	0 		-9.77132e-28 	-3.87236e-71
9.26 	-3.55063e-05 	0 		-7.5136e-28 	-1.73811e-71
9.28 	-3.48032e-05 	0 		-5.77426e-28 	-7.78596e-72
9.3 	-3.4114e-05 	0 		-4.43504e-28 	-3.48078e-72
9.32 	-3.34385e-05 	0 		-3.4045e-28 	-1.55301e-72
9.34 	-3.27764e-05 	0 		-2.61193e-28 	-6.91514e-73
9.36 	-3.21274e-05 	0 		-2.00273e-28 	-3.07298e-73
9.38 	-3.14912e-05 	0 		-1.53475e-28 	-1.36286e-73
9.4 	-3.08677e-05 	0 		-1.17545e-28 	-6.03215e-74
9.42 	-3.02564e-05 	0 		-8.99759e-29 	-2.66456e-74
9.44 	-2.96573e-05 	0 		-6.88336e-29 	-1.17465e-74
9.46 	-2.90701e-05 	0 		-5.26294e-29 	-5.16803e-75
9.48 	-2.84944e-05 	0 		-4.0217e-29 	-2.2692e-75
9.5 	-2.79302e-05 	0 		-3.07146e-29 	-9.94376e-76
9.52 	-2.73772e-05 	0 		-2.3444e-29 	-4.34871e-76
9.54 	-2.68351e-05 	0 		-1.78843e-29 	-1.89802e-76
9.56 	-2.63037e-05 	0 		-1.36354e-29 	-8.26749e-77
9.58 	-2.57828e-05 	0 		-1.039e-29 	-3.59399e-77
9.6 	-2.52723e-05 	0 		-7.91253e-30 	-1.55924e-77
9.62 	-2.47719e-05 	0 		-6.0224e-30 	-6.75117e-78
9.64 	-2.42814e-05 	0 		-4.58118e-30 	-2.91727e-78
9.66 	-2.38006e-05 	0 		-3.48287e-30 	-1.25807e-78
9.68 	-2.33293e-05 	0 		-2.64638e-30 	-5.4146e-79
9.7 	-2.28673e-05 	0 		-2.00964e-30 	-2.32572e-79
9.72 	-2.24145e-05 	0 		-1.52525e-30 	-9.96968e-80
9.74 	-2.19707e-05 	0 		-1.15695e-30 	-4.26516e-80
9.76 	-2.15356e-05 	0 		-8.77083e-31 	-1.82105e-80
9.78 	-2.11092e-05 	0 		-6.6454e-31 	-7.75959e-81
9.8 	-2.06912e-05 	0 		-5.03216e-31 	-3.2998e-81
9.82 	-2.02815e-05 	0 		-3.80839e-31 	-1.40045e-81
9.84 	-1.98799e-05 	0 		-2.88059e-31 	-5.93169e-82
9.86 	-1.94862e-05 	0 		-2.17759e-31 	-2.50738e-82
9.88 	-1.91004e-05 	0 		-1.64521e-31 	-1.05778e-82
9.9 	-1.87222e-05 	0 		-1.24229e-31 	-4.45348e-83
9.92 	-1.83515e-05 	0 		-9.3751e-32 	-1.87127e-83
9.94 	-1.79881e-05 	0 		-7.07103e-32 	-7.84701e-84
9.96 	-1.76319e-05 	0 		-5.33019e-32 	-3.284e-84
9.98 	-1.72828e-05 	0 		-4.01565e-32 	-1.37162e-84
10 	-1.69405e-05 	0 		-3.02359e-32 	-5.71737e-85
