2 1.128 1.128   0     0
4 1.327 1.128   0.197   0.025 
9 1.384 1.128   0.247   0.023
12  1.435 1.128 0.292   0.023
16  1.527 1.128 
27  1.545 1.128 0.325   0.034
40  1.637 1.128 0.350   0.047
48  1.629 1.128
56  1.638 1.128 0.388   0.032
108 1.704 1.128 0.496   0.051
197 1.745 1.128 0.409   0.040
208 1.741 1.128
