14.1046157556	0.0
13.6340734602	0.1
12.3145555397	0.2
10.3929921698	0.3
8.19579735354	0.4
6.03907726965	0.5
4.15794496991	0.6
2.6749500673	0.7
1.60798292241	0.8
0.903183543382	0.9
0.474023044412	1.0
0.232461896762	1.1
0.106520454618	1.2
0.0456082270974	1.3
0.0182466167456	1.4
0.00682103893717	1.5
0.00238258151011	1.6
0.000777631974684	1.7
0.000237153535162	1.8
6.75793945691e-05	1.9
1.79940218489e-05	2.0
4.47683923086e-06	2.1
1.04074448973e-06	2.2
2.26071683929e-07	2.3
4.58857367879e-08	2.4
8.70239531816e-09	2.5
1.54216035186e-09	2.6
2.553582884e-10	2.7
3.95093749187e-11	2.8
5.71189494782e-12	2.9
7.71596408298e-13	3.0
9.73935509178e-14	3.1
1.14868329789e-14	3.2
1.26590351227e-15	3.3
1.30356048614e-16	3.4
1.25427321861e-17	3.5
1.12767405236e-18	3.6
9.47339405363e-20	3.7
7.43632389286e-21	3.8
5.45433461944e-22	3.9
3.73814508369e-23	4.0
2.39387535563e-24	4.1
1.43244525917e-25	4.2
8.00913790841e-27	4.3
4.1843197625e-28	4.4
2.04265695993e-29	4.5
9.31746166418e-31	4.6
3.97128927291e-32	4.7
1.58160231878e-33	4.8
5.88565848809e-35	4.9
