# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	relative two_body (fm^3)
4.48	3.10093500667e-20
4.5	1.91177834804e-20
4.52	1.17593404279e-20
4.54	7.21654250732e-21
4.56	4.4185157304e-21
4.58	2.69913675407e-21
4.6	1.64503390678e-21
4.62	1.00029138116e-21
4.64	6.06848289397e-22
4.66	3.67312655278e-22
4.68	2.21816590276e-22
4.7	1.33645626041e-22
4.72	8.03374939917e-23
4.74	4.81820007427e-23
4.76	2.88306616143e-23
4.78	1.72118608047e-23
4.8	1.02519076471e-23
4.82	6.09235768253e-24
4.84	3.61218637248e-24
4.86	2.13677678149e-24
4.88	1.26110895259e-24
4.9	7.42592748339e-25
4.92	4.3626827725e-25
4.94	2.55718173281e-25
4.96	1.49545988905e-25
4.98	8.72556080409e-26
5.0	5.07945971154e-26
#normalisation = 36.0000165066
