# mass number (A) = 27
# number of protons (Z) = 13
# P (GeV)	cm two_body (GeV^-3)
4.34	2.80250924104e-23
4.36	1.60647086364e-23
4.38	9.18244799904e-24
4.4	5.23364630797e-24
4.42	2.97447941489e-24
4.44	1.68569386679e-24
4.46	9.52594383671e-25
4.48	5.36783705073e-25
4.5	3.01615078735e-25
4.52	1.68993348814e-25
4.54	9.44168321647e-26
4.56	5.26008664593e-26
4.58	2.92213608144e-26
4.6	1.61872264787e-26
4.62	8.94147804873e-27
4.64	4.92505909313e-27
4.66	2.70507447461e-27
4.68	1.48153884546e-27
4.7	8.09120637408e-28
4.72	4.4063634029e-28
4.74	2.39284472632e-28
4.76	1.29573523555e-28
4.78	6.99658207449e-29
4.8	3.7672450847e-29
4.82	2.02269525479e-29
4.84	1.08294408339e-29
4.86	5.7816388639e-30
4.88	3.07797856389e-30
4.9	1.63399329529e-30
4.92	8.64978560347e-31
4.94	4.56594999059e-31
4.96	2.40341092139e-31
4.98	1.26152632353e-31
5.0	6.60292466461e-32
#normalisation = 0.992402575227
