# mass number (A) = 9
# number of protons (Z) = 4
#relative orbital quantum number l = 1
# k (1/fm)	total two_body (fm^3)
4.3	3.88667167768e-20
4.32	2.49609689974e-20
4.34	1.5996355002e-20
4.36	1.0229554791e-20
4.38	6.52782699571e-21
4.4	4.1567780887e-21
4.42	2.64132256437e-21
4.44	1.67479839248e-21
4.46	1.05969336799e-21
4.48	6.69074653981e-22
4.5	4.2154671933e-22
4.52	2.65029193722e-22
4.54	1.66271829077e-22
4.56	1.04092797689e-22
4.58	6.50279144742e-23
4.6	4.05374286652e-23
4.62	2.5216794788e-23
4.64	1.56531221293e-23
4.66	9.69593181658e-24
4.68	5.99315772665e-24
4.7	3.69657500984e-24
4.72	2.27520788662e-24
4.74	1.39739915137e-24
4.76	8.5644164802e-25
4.78	5.23785023911e-25
4.8	3.19658643456e-25
4.82	1.94669532153e-25
4.84	1.18300820394e-25
4.86	7.17390870395e-26
4.88	4.34112540143e-26
4.9	2.62136376847e-26
4.92	1.57954064705e-26
4.94	9.49757976876e-27
4.96	5.69867381707e-27
4.98	3.41203463199e-27
5.0	2.03859952403e-27
