# mass number (A) = 16
# number of protons (Z) = 8
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
4.24	7.36780199004e-24
4.26	4.43793393832e-24
4.28	2.66678305684e-24
4.3	1.59866883141e-24
4.32	9.56077933912e-25
4.34	5.70416459254e-25
4.36	3.39511718336e-25
4.38	2.01595788614e-25
4.4	1.19418636606e-25
4.42	7.0571074232e-26
4.44	4.16049797134e-26
4.46	2.44696561918e-26
4.48	1.43573532756e-26
4.5	8.40397733719e-27
4.52	4.90748888883e-27
4.54	2.85889196391e-27
4.56	1.66149917262e-27
4.58	9.63310915331e-28
4.6	5.57181643245e-28
4.62	3.21507482566e-28
4.64	1.85075672635e-28
4.66	1.06284896643e-28
4.68	6.0891649544e-29
4.7	3.48022955095e-29
4.72	1.9843670544e-29
4.74	1.12875605296e-29
4.76	6.40533934557e-30
4.78	3.6261699973e-30
4.8	2.04794431669e-30
4.82	1.15385727976e-30
4.84	6.48559777861e-31
4.86	3.63673699652e-31
4.88	2.03440654599e-31
4.9	1.13534424015e-31
4.92	6.32093528573e-32
4.94	3.51074344403e-32
4.96	1.94527412268e-32
4.98	1.07529219162e-32
5.0	5.92974668842e-33
