# mass number (A) = 16
# number of protons (Z) = 8
# P (GeV)	cm two_body (GeV^-3)
4.34	7.7733561285e-22
4.36	4.70925800694e-22
4.38	2.84595477381e-22
4.4	1.71567629433e-22
4.42	1.03175078648e-22
4.44	6.1893724872e-23
4.46	3.70382990719e-23
4.48	2.21099773252e-23
4.5	1.31661455814e-23
4.52	7.8210010153e-24
4.54	4.63446496871e-24
4.56	2.7394960155e-24
4.58	1.61538402477e-24
4.6	9.50200306297e-25
4.62	5.57556712441e-25
4.64	3.26360550633e-25
4.66	1.9056415569e-25
4.68	1.10999224133e-25
4.7	6.44961899916e-26
4.72	3.73838290708e-26
4.74	2.16157009637e-26
4.76	1.24678306808e-26
4.78	7.17379080601e-27
4.8	4.11758874406e-27
4.82	2.35762039908e-27
4.84	1.34660942105e-27
4.86	7.67266917051e-28
4.88	4.3610247542e-28
4.9	2.47268094693e-28
4.92	1.39857338408e-28
4.94	7.89114955213e-29
4.96	4.44153734772e-29
4.98	2.49381699395e-29
5.0	1.39680006322e-29
#normalisation = 0.977778205569
