# mass number (A) = 27
# number of protons (Z) = 13
#relative orbital quantum number l = 2
# k (1/fm)	total two_body (fm^3)
4.26	9.08817029375e-25
4.28	5.18120558524e-25
4.3	2.94557883246e-25
4.32	1.66992213194e-25
4.34	9.44077878137e-26
4.36	5.32237823127e-26
4.38	2.99219737659e-26
4.4	1.67749644146e-26
4.42	9.37821349823e-27
4.44	5.22836658255e-27
4.46	2.90669603143e-27
4.48	1.61146597659e-27
4.5	8.9090389648e-28
4.52	4.91166827637e-28
4.54	2.70032416213e-28
4.56	1.48044314391e-28
4.58	8.09388011678e-29
4.6	4.4127695819e-29
4.62	2.39913908087e-29
4.64	1.30073710832e-29
4.66	7.03256577331e-30
4.68	3.7916520511e-30
4.7	2.03860827799e-30
4.72	1.09302463921e-30
4.74	5.8440942155e-31
4.76	3.115988007e-31
4.78	1.6567839524e-31
4.8	8.78471615007e-32
4.82	4.64495547725e-32
4.84	2.44921866447e-32
4.86	1.2878520075e-32
4.88	6.75300329601e-33
4.9	3.53118746886e-33
4.92	1.84135532857e-33
4.94	9.5751954835e-34
4.96	4.96536425639e-34
4.98	2.56772313803e-34
5.0	1.32415580305e-34
