39
1590 0
2390 0
3190 0
3990 0.00552428
4790 0
5590 0
6390 0
7190 0
11490 0
12290 0
13090 -0.00981689
13890 -0.0190104
14690 0
15490 0
16290 0
17090 0
21390 0
22190 0.0100479
22990 0.0196132
23790 0.0442242
24590 0
25390 0
26190 0
31290 -0.00592593
32090 -0.0156208
32890 -0.0355893
33690 -0.0799303
34490 0
35290 0
36090 0
41190 0.00781574
41990 0.0240896
42790 0.0548532
43590 0.118348
44390 0
45190 0
51090 -0.0106783
51890 -0.0329737
52690 -0.0724906
53490 -0.147126
54290 0
55090 0
60990 0.0132949
61790 0.0397711
62590 0.0828962
63390 0.155085
64190 0
70890 -0.0148537
71690 -0.0423396
72490 -0.0824395
73290 -0.138358
74090 0
81590 0.0398632
82390 0.0714475
83190 0.102609
91490 -0.0332846
92290 -0.0543063
93090 -0.0592412
101390 0
102190 0
102990 0.0276214
103790 0
104590 0
105390 0
106190 0
111290 0
112090 -0.0215237
112890 -0.0706203
113690 0
114490 0
115290 0
116090 0
121990 0.0485985
122790 0.132672
123590 0
124390 0
125190 0
131890 -0.0768815
132690 -0.201153
133490 0
134290 0
135090 0
141790 0.101952
142590 0.25483
143390 0
144190 0
151690 -0.117233
152490 -0.273731
153290 0
154090 0
162390 0.250066
163190 0
172290 -0.192768
173090 0
182190 0.122318
192090 -0.0559155
202790 0
203590 0
204390 0
205190 0
212690 0
213490 0
214290 0
215090 0
222590 0
223390 0
224190 0
232490 0
233290 0
234090 0
243190 0
253090 0
303390 0
304190 0
313290 0
314090 0
