# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.1	0.3	4.63007078108
0.1	0.35	4.93697192502
0.1	0.4	5.26103537127
0.1	0.45	5.5863660772
0.1	0.5	5.89457833167
0.1	0.55	6.16575681341
0.1	0.6	6.37983334935
0.1	0.65	6.51825339952
0.1	0.7	6.56573462403
0.1	0.75	6.51187661237
0.1	0.8	6.35237885129
0.1	0.85	6.0896677892
0.1	0.9	5.73281754598
0.1	0.95	5.296756945
0.1	1.0	4.80086657209
0.1	1.05	4.26716117803
0.1	1.1	3.71830733198
0.1	1.15	3.17573499142
0.1	1.2	2.65806615531
0.1	1.25	2.18001477862
0.1	1.3	1.75182621019
0.1	1.35	1.37923948975
0.1	1.4	1.06388699588
0.1	1.45	0.804002595048
0.1	1.5	0.595294324034
0.1	1.55	0.431847506887
0.1	1.6	0.306951805337
0.1	1.65	0.213782175814
0.1	1.7	0.145900792524
0.1	1.75	0.097578522541
0.1	1.8	0.0639570631559
0.1	1.85	0.0410855366547
0.1	1.9	0.0258693149546
0.1	1.95	0.0159663733508
0.1	2.0	0.00966013452173
0.1	2.05	0.0057298840264
0.1	2.1	0.00333214868283
0.1	2.15	0.00189997842005
0.1	2.2	0.00106230258941
0.1	2.25	0.000582441296407
0.1	2.3	0.000313176368483
0.1	2.35	0.000165153087505
0.1	2.4	8.54225776939e-05
0.1	2.45	4.33384764329e-05
0.1	2.5	2.15682875262e-05
0.1	2.55	1.05298973033e-05
0.1	2.6	5.04340398211e-06
0.1	2.65	2.36994652221e-06
0.1	2.7	1.09267708851e-06
0.1	2.75	4.94317838969e-07
0.1	2.8	2.19433975779e-07
0.1	2.85	9.55885619121e-08
0.1	2.9	4.08632713363e-08
0.1	2.95	1.71437383493e-08
0.1	3.0	7.05898977592e-09
0.1	3.05	2.8527454982e-09
0.1	3.1	1.13157983564e-09
0.1	3.15	4.40581989923e-10
0.1	3.2	1.68385531097e-10
0.1	3.25	6.31736367659e-11
0.1	3.3	2.32667718779e-11
0.1	3.35	8.41242286871e-12
0.1	3.4	2.98611033107e-12
0.1	3.45	1.04065076281e-12
0.1	3.5	3.5606781806e-13
0.1	3.55	1.19619702574e-13
0.1	3.6	3.94573839384e-14
0.1	3.65	1.27797488515e-14
0.1	3.7	4.06440807344e-15
0.1	3.75	1.26930315296e-15
0.1	3.8	3.89258607482e-16
0.1	3.85	1.17226903561e-16
0.1	3.9	3.46691835818e-17
0.1	3.95	1.00692681559e-17
0.1	4.0	2.87210670495e-18

0.15	0.0	3.99102345821
0.15	0.05	4.0181710731
0.15	0.1	4.09911595303
0.15	0.15	4.23225411654
0.15	0.2	4.41456613228
0.15	0.25	4.64116930719
0.15	0.3	4.90482754477
0.15	0.35	5.19554021406
0.15	0.4	5.50034112125
0.15	0.45	5.80342734724
0.15	0.5	6.08670201057
0.15	0.55	6.3307560538
0.15	0.6	6.51623887214
0.15	0.65	6.62548861255
0.15	0.7	6.64422647093
0.15	0.75	6.56308139292
0.15	0.8	6.37871386179
0.15	0.85	6.09435339404
0.15	0.9	5.71964753568
0.15	0.95	5.26982518632
0.15	1.0	4.76428315528
0.15	1.05	4.22479077971
0.15	1.1	3.67355682855
0.15	1.15	3.13140797794
0.15	1.2	2.61629102579
0.15	1.25	2.14224253465
0.15	1.3	1.71888590666
0.15	1.35	1.35143421005
0.15	1.4	1.04111169728
0.15	1.45	0.785866615362
0.15	1.5	0.581234889995
0.15	1.55	0.421225161798
0.15	1.6	0.299123298005
0.15	1.65	0.208150293
0.15	1.7	0.141943466622
0.15	1.75	0.0948612027399
0.15	1.8	0.0621329316083
0.15	1.85	0.0398879447709
0.15	1.9	0.0251001143766
0.15	1.95	0.0154828996465
0.15	2.0	0.00936268070744
0.15	2.05	0.00555070824638
0.15	2.1	0.00322645664554
0.15	2.15	0.00183891368937
0.15	2.2	0.0010277405902
0.15	2.25	0.000563275076756
0.15	2.3	0.000302761184989
0.15	2.35	0.00015960620137
0.15	2.4	8.2526979452e-05
0.15	2.45	4.18566911763e-05
0.15	2.5	2.08248610447e-05
0.15	2.55	1.01641833905e-05
0.15	2.6	4.86698803211e-06
0.15	2.65	2.28648873103e-06
0.15	2.7	1.0539543443e-06
0.15	2.75	4.76695195559e-07
0.15	2.8	2.11566864994e-07
0.15	2.85	9.21432334432e-08
0.15	2.9	3.93829792456e-08
0.15	2.95	1.65197242491e-08
0.15	3.0	6.80088325014e-09
0.15	3.05	2.74798747889e-09
0.15	3.1	1.08985600269e-09
0.15	3.15	4.2427350798e-10
0.15	3.2	1.62129512382e-10
0.15	3.25	6.08182650107e-11
0.15	3.3	2.23963723619e-11
0.15	3.35	8.09670763669e-12
0.15	3.4	2.87369920765e-12
0.15	3.45	1.00136110318e-12
0.15	3.5	3.42586880191e-13
0.15	3.55	1.15078699928e-13
0.15	3.6	3.79556620853e-14
0.15	3.65	1.22921653355e-14
0.15	3.7	3.90897430382e-15
0.15	3.75	1.22065200195e-15
0.15	3.8	3.74306368576e-16
0.15	3.85	1.12714601202e-16
0.15	3.9	3.33320277439e-17
0.15	3.95	9.68016005314e-18
0.15	4.0	2.76091431663e-18

0.2	0.0	4.40578739649
0.2	0.05	4.43138132629
0.2	0.1	4.50761963439
0.2	0.15	4.63276842525
0.2	0.2	4.80361417954
0.2	0.25	5.01505028655
0.2	0.3	5.25963502301
0.2	0.35	5.52723978065
0.2	0.4	5.80491294214
0.2	0.45	6.0770702324
0.2	0.5	6.32608447405
0.2	0.55	6.53328860569
0.2	0.6	6.68033309038
0.2	0.65	6.75076490833
0.2	0.7	6.73163549554
0.2	0.75	6.61491389807
0.2	0.8	6.39848905908
0.2	0.85	6.08659366635
0.2	0.9	5.68956425707
0.2	0.95	5.22295310485
0.2	1.0	4.70610694111
0.2	1.05	4.16040607741
0.2	1.1	3.60740020208
0.2	1.15	3.06707752684
0.2	1.2	2.55646492494
0.2	1.25	2.08868908719
0.2	1.3	1.67254811222
0.2	1.35	1.31256560686
0.2	1.4	1.00943856431
0.2	1.45	0.760753860044
0.2	1.5	0.561837871868
0.2	1.55	0.406615890883
0.2	1.6	0.288385606734
0.2	1.65	0.200443766615
0.2	1.7	0.136539614053
0.2	1.75	0.0911574467952
0.2	1.8	0.0596506846638
0.2	1.85	0.0382606760137
0.2	1.9	0.0240563185742
0.2	1.95	0.0148276156516
0.2	2.0	0.00895995895092
0.2	2.05	0.00530836228113
0.2	2.1	0.00308363082333
0.2	2.15	0.00175646274726
0.2	2.2	0.000981109688426
0.2	2.25	0.000537434207652
0.2	2.3	0.00028872799297
0.2	2.35	0.000152136925441
0.2	2.4	7.86300187467e-05
0.2	2.45	3.98635024917e-05
0.2	2.5	1.98253399758e-05
0.2	2.55	9.67270984239e-06
0.2	2.6	4.63000679217e-06
0.2	2.65	2.17442319605e-06
0.2	2.7	1.00197736982e-06
0.2	2.75	4.53048778168e-07
0.2	2.8	2.01014059196e-07
0.2	2.85	8.75231487366e-08
0.2	2.9	3.73985256256e-08
0.2	2.95	1.5683410585e-08
0.2	3.0	6.45505415177e-09
0.2	3.05	2.60765971266e-09
0.2	3.1	1.03397812343e-09
0.2	3.15	4.02437469979e-10
0.2	3.2	1.53754840958e-10
0.2	3.25	5.76658517081e-11
0.2	3.3	2.12316551364e-11
0.2	3.35	7.67431192087e-12
0.2	3.4	2.72332994895e-12
0.2	3.45	9.48812969561e-13
0.2	3.5	3.24559540714e-13
0.2	3.55	1.09007160345e-13
0.2	3.6	3.59480722678e-14
0.2	3.65	1.16404235004e-14
0.2	3.7	3.70123646897e-15
0.2	3.75	1.15563763048e-15
0.2	3.8	3.54327505982e-16
0.2	3.85	1.06686047423e-16
0.2	3.9	3.1545748306e-17
0.2	3.95	9.16041306481e-18
0.2	4.0	2.61240527295e-18

0.25	0.0	4.89668426064
0.25	0.05	4.92009746028
0.25	0.1	4.98975746078
0.25	0.15	5.10382916519
0.25	0.2	5.25895454427
0.25	0.25	5.44987607806
0.25	0.3	5.66904624593
0.25	0.35	5.90633883792
0.25	0.4	6.14898091593
0.25	0.45	6.38180609917
0.25	0.5	6.58788961798
0.25	0.55	6.74956659329
0.25	0.6	6.84976537849
0.25	0.65	6.87351979499
0.25	0.7	6.80947193374
0.25	0.75	6.65115383275
0.25	0.8	6.39784991358
0.25	0.85	6.05489318344
0.25	0.9	5.63332905279
0.25	0.95	5.14897624501
0.25	1.0	4.62100599733
0.25	1.05	4.07023060717
0.25	1.1	3.51732742129
0.25	1.15	2.9812195837
0.25	1.2	2.47779390726
0.25	1.25	2.01906995193
