# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	3.42	3.44044668696e-11
0.0	3.44	2.39952284555e-11
0.0	3.46	1.66960987349e-11
0.0	3.48	1.15900600456e-11
0.0	3.5	8.02670745857e-12
0.0	3.52	5.5458835395e-12
0.0	3.54	3.82283984934e-12
0.0	3.56	2.62896008696e-12
0.0	3.58	1.80370240346e-12
0.0	3.6	1.23460845225e-12
0.0	3.62	8.43096991179e-13
0.0	3.64	5.74394429501e-13
0.0	3.66	3.90416114251e-13
0.0	3.68	2.6474668309e-13
0.0	3.7	1.79109670609e-13
0.0	3.72	1.20890921482e-13
0.0	3.74	8.14057179858e-14
0.0	3.76	5.46893956065e-14
0.0	3.78	3.66554655842e-14
0.0	3.8	2.45110642415e-14
0.0	3.82	1.63521104176e-14
0.0	3.84	1.08836374461e-14
0.0	3.86	7.22708772064e-15
0.0	3.88	4.78786589961e-15
0.0	3.9	3.16453864885e-15
0.0	3.92	2.08674307856e-15
0.0	3.94	1.37283417866e-15
0.0	3.96	9.01069056041e-16
0.0	3.98	5.90050689843e-16
0.0	4.0	3.85489170055e-16

0.02	0.0	10.0543067934
0.02	0.02	10.0580111881
0.02	0.04	10.0690640551
0.02	0.06	10.0872847971
0.02	0.08	10.1123736126
0.02	0.1	10.1439133228
0.02	0.12	10.1813719975
0.02	0.14	10.2241064449
0.02	0.16	10.2713666359
0.02	0.18	10.322301141
0.02	0.2	10.3759636535
0.02	0.22	10.4313206636
0.02	0.24	10.4872603343
0.02	0.26	10.5426026039
0.02	0.28	10.5961105168
0.02	0.3	10.6465027472
0.02	0.32	10.6924672475
0.02	0.34	10.7326759118
0.02	0.36	10.7658001084
0.02	0.38	10.7905268968
0.02	0.4	10.8055757071
0.02	0.42	10.8097152317
0.02	0.44	10.8017802528
0.02	0.46	10.7806881094
0.02	0.48	10.7454544989
0.02	0.5	10.6952083051
0.02	0.52	10.6292051509
0.02	0.54	10.5468393922
0.02	0.56	10.44765429
0.02	0.58	10.3313501342
0.02	0.6	10.1977901298
0.02	0.62	10.047003902
0.02	0.64	9.87918852806
0.02	0.66	9.69470705551
0.02	0.68	9.49408452169
0.02	0.7	9.27800154391
0.02	0.72	9.04728560181
0.02	0.74	8.8029001829
0.02	0.76	8.54593200658
0.02	0.78	8.27757658033
0.02	0.8	7.9991223733
0.02	0.82	7.71193391643
0.02	0.84	7.41743415365
0.02	0.86	7.11708637641
0.02	0.88	6.81237607252
0.02	0.9	6.50479301155
0.02	0.92	6.19581387293
0.02	0.94	5.8868856995
0.02	0.96	5.57941043132
0.02	0.98	5.27473074051
0.02	1.0	4.97411735159
0.02	1.02	4.67875799212
0.02	1.04	4.38974807814
0.02	1.06	4.1080831983
0.02	1.08	3.83465342076
0.02	1.1	3.57023940947
0.02	1.12	3.31551030143
0.02	1.14	3.07102326488
0.02	1.16	2.83722463131
0.02	1.18	2.61445247081
0.02	1.2	2.4029404622
0.02	1.22	2.20282289554
0.02	1.24	2.01414063597
0.02	1.26	1.83684787327
0.02	1.28	1.67081948139
0.02	1.3	1.51585881606
0.02	1.32	1.3717057856
0.02	1.34	1.23804504011
0.02	1.36	1.11451413662
0.02	1.38	1.00071155225
0.02	1.4	0.896204432691
0.02	1.42	0.800535980044
0.02	1.44	0.713232400569
0.02	1.46	0.633809349545
0.02	1.48	0.561777826579
0.02	1.5	0.496649489946
0.02	1.52	0.437941372763
0.02	1.54	0.385179996649
0.02	1.56	0.33790489003
0.02	1.58	0.295671528093
0.02	1.6	0.258053719782
0.02	1.62	0.224645473955
0.02	1.64	0.195062382066
0.02	1.66	0.168942558534
0.02	1.68	0.145947182381
0.02	1.7	0.125760684977
0.02	1.72	0.108090628866
0.02	1.74	0.0926673218629
0.02	1.76	0.0792432090688
0.02	1.78	0.0675920832317
0.02	1.8	0.0575081512215
0.02	1.82	0.0488049913234
0.02	1.84	0.0413144327862
0.02	1.86	0.0348853856514
0.02	1.88	0.0293826454549
0.02	1.9	0.0246856940037
0.02	1.92	0.0206875141661
0.02	1.94	0.0172934335128
0.02	1.96	0.0144200087632
