# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	P (1/fm)	relative two_body (fm^3)

0.0	3.4	3.07916426073e-12
0.0	3.42	2.02435285379e-12
0.0	3.44	1.32697433213e-12
0.0	3.46	8.67286708477e-13
0.0	3.48	5.65181082688e-13
0.0	3.5	3.67230029651e-13
0.0	3.52	2.37911413881e-13
0.0	3.54	1.53680849328e-13
0.0	3.56	9.89811427119e-14
0.0	3.58	6.35644443033e-14
0.0	3.6	4.07010823271e-14
0.0	3.62	2.5985339534e-14
0.0	3.64	1.65417852838e-14
0.0	3.66	1.04995022285e-14
0.0	3.68	6.64489587306e-15
0.0	3.7	4.19316131524e-15
0.0	3.72	2.63833327084e-15
0.0	3.74	1.65521035145e-15
0.0	3.76	1.03541139997e-15
0.0	3.78	6.45817254646e-16
0.0	3.8	4.01646543775e-16
0.0	3.82	2.49067372024e-16
0.0	3.84	1.54002855703e-16
0.0	3.86	9.49468475346e-17
0.0	3.88	5.83677382884e-17
0.0	3.9	3.57772051695e-17
0.0	3.92	2.18666307956e-17
0.0	3.94	1.33260034695e-17
0.0	3.96	8.09769150517e-18
0.0	3.98	4.90643949628e-18
0.0	4.0	2.96425958781e-18

0.02	0.0	3.42174497625
0.02	0.02	3.4263734424
0.02	0.04	3.44024863686
0.02	0.06	3.46333943866
0.02	0.08	3.49559229625
0.02	0.1	3.53692874962
0.02	0.12	3.58724205519
0.02	0.14	3.64639300656
0.02	0.16	3.71420507008
0.02	0.18	3.79045897852
0.02	0.2	3.87488694945
0.02	0.22	3.96716671581
0.02	0.24	4.06691557479
0.02	0.26	4.17368467582
0.02	0.28	4.28695377936
0.02	0.3	4.4061267238
0.02	0.32	4.5305278377
0.02	0.34	4.65939952783
0.02	0.36	4.79190126008
0.02	0.38	4.92711012886
0.02	0.4	5.0640231824
0.02	0.42	5.20156163507
0.02	0.44	5.33857705521
0.02	0.46	5.47385956779
0.02	0.48	5.60614805746
0.02	0.5	5.73414229959
0.02	0.52	5.85651688798
0.02	0.54	5.97193676792
0.02	0.56	6.07907412602
0.02	0.58	6.17662633522
0.02	0.6	6.26333460579
0.02	0.62	6.33800295495
0.02	0.64	6.3995170785
0.02	0.66	6.44686269081
0.02	0.68	6.4791428946
0.02	0.7	6.49559415061
0.02	0.72	6.49560043892
0.02	0.74	6.47870523898
0.02	0.76	6.44462100223
0.02	0.78	6.39323584946
0.02	0.8	6.32461729232
0.02	0.82	6.23901285231
0.02	0.84	6.13684752951
0.02	0.86	6.01871815397
0.02	0.88	5.88538473224
0.02	0.9	5.73775897858
0.02	0.92	5.57689029011
0.02	0.94	5.40394948834
0.02	0.96	5.22021070074
0.02	0.98	5.02703179721
0.02	1.0	4.82583382329
0.02	1.02	4.61807988663
0.02	1.04	4.40525395384
0.02	1.06	4.18884000255
0.02	1.08	3.97030194899
0.02	1.1	3.75106473629
0.02	1.12	3.53249692348
0.02	1.14	3.31589506343
0.02	1.16	3.10247009978
0.02	1.18	2.8933359524
0.02	1.2	2.68950039831
0.02	1.22	2.49185829348
0.02	1.24	2.30118712258
0.02	1.26	2.11814480849
0.02	1.28	1.94326966541
0.02	1.3	1.77698233661
0.02	1.32	1.61958952395
0.02	1.34	1.47128928941
0.02	1.36	1.33217769074
0.02	1.38	1.20225650293
0.02	1.4	1.08144177422
0.02	1.42	0.969572969931
0.02	1.44	0.866422467158
0.02	1.46	0.771705179604
0.02	1.48	0.685088111011
0.02	1.5	0.606199659041
0.02	1.52	0.53463851648
0.02	1.54	0.469982042981
0.02	1.56	0.411794007202
0.02	1.58	0.359631625274
0.02	1.6	0.313051846322
0.02	1.62	0.271616858826
0.02	1.64	0.234898812347
0.02	1.66	0.202483767356
0.02	1.68	0.173974901384
0.02	1.7	0.148995012324
0.02	1.72	0.127188369594
0.02	1.74	0.108221971043
0.02	1.76	0.0917862681348
0.02	1.78	0.0775954244045
0.02	1.8	0.0653871725647
0.02	1.82	0.0549223343927
0.02	1.84	0.045984064841
0.02	1.86	0.0383768780393
0.02	1.88	0.0319255082585
0.02	1.9	0.0264736537507
0.02	1.92	0.0218826459011
0.02	1.94	0.0180300805366
0.02	1.96	0.0148084427008
0.02	1.98	0.0121237508748
0.02	2.0	0.00989424160212
0.02	2.02	0.00804911084994
0.02	2.04	0.00652732426423
0.02	2.06	0.00527650477486
0.02	2.08	0.0042519028021
0.02	2.1	0.00341545159089
0.02	2.12	0.00273490794055
0.02	2.14	0.00218307677308
0.02	2.16	0.00173711655657
0.02	2.18	0.00137792153039
0.02	2.2	0.00108957592137
0.02	2.22	0.00085887485231
0.02	2.24	0.000674906381609
0.02	2.26	0.000528689036545
0.02	2.28	0.000412859274019
0.02	2.3	0.000321403488763
0.02	2.32	0.000249429459635
0.02	2.34	0.000192972454306
0.02	2.36	0.000148831579632
0.02	2.38	0.000114432351246
0.02	2.4	8.77118471303e-05
0.02	2.42	6.702319475e-05
0.02	2.44	5.10565112851e-05
0.02	2.46	3.87737656028e-05
0.02	2.48	2.93553546953e-05
0.02	2.5	2.21564841165e-05
0.02	2.52	1.66717104083e-05
0.02	2.54	1.2506243677e-05
0.02	2.56	9.35282118323e-06
0.02	2.58	6.97314945353e-06
0.02	2.6	5.18307479748e-06
0.02	2.62	3.84078223599e-06
0.02	2.64	2.83744285745e-06
0.02	2.66	2.08983165915e-06
0.02	2.68	1.53452410326e-06
0.02	2.7	1.1233519086e-06
0.02	2.72	8.19858866653e-07
0.02	2.74	5.96547406888e-07
0.02	2.76	4.327477712e-07
0.02	2.78	3.12975348904e-07
0.02	2.8	2.2566916606e-07
0.02	2.82	1.6222675542e-07
0.02	2.84	1.16268550223e-07
0.02	2.86	8.30793102265e-08
0.02	2.88	5.918554807e-08
0.02	2.9	4.20370210097e-08
0.02	2.92	2.97675396175e-08
0.02	2.94	2.1015995493e-08
0.02	2.96	1.47929320467e-08
0.02	2.98	1.03814271993e-08
0.02	3.0	7.26372825119e-09
0.02	3.02	5.06714162276e-09
0.02	3.04	3.52426547643e-09
0.02	3.06	2.44386651467e-09
0.02	3.08	1.68962683088e-09
0.02	3.1	1.16468829154e-09
0.02	3.12	8.00452097571e-10
0.02	3.14	5.48490140153e-10
0.02	3.16	3.74723771443e-10
0.02	3.18	2.55248790216e-10
0.02	3.2	1.73351355509e-10
0.02	3.22	1.17382391271e-10
0.02	3.24	7.92486495233e-11
0.02	3.26	5.33451606418e-11
0.02	3.28	3.58025074227e-11
0.02	3.3	2.3957865647e-11
0.02	3.32	1.59845371734e-11
0.02	3.34	1.0633353378e-11
0.02	3.36	7.05276863186e-12
0.02	3.38	4.66411437706e-12
0.02	3.4	3.0753875822e-12
0.02	3.42	2.02186690024e-12
0.02	3.44	1.32534282342e-12
0.02	3.46	8.66219128729e-13
0.02	3.48	5.64484573397e-13
0.02	3.5	3.6677695448e-13
0.02	3.52	2.3761755998e-13
0.02	3.54	1.53490823966e-13
0.02	3.56	9.88586213978e-14
0.02	3.58	6.34856794039e-14
0.02	3.6	4.06505957627e-14
0.02	3.62	2.59530737713e-14
0.02	3.64	1.65212248601e-14
0.02	3.66	1.0486439101e-14
0.02	3.68	6.63662048797e-15
0.02	3.7	4.18793427144e-15
0.02	3.72	2.6350413311e-15
0.02	3.74	1.65314318075e-15
0.02	3.76	1.03411711343e-15
0.02	3.78	6.45009247804e-16
0.02	3.8	4.01143586569e-16
0.02	3.82	2.48755210563e-16
0.02	3.84	1.53809676381e-16
0.02	3.86	9.4827647624e-17
0.02	3.88	5.82944008075e-17
0.02	3.9	3.57322156219e-17
0.02	3.92	2.18391117324e-17
0.02	3.94	1.33092195713e-17
0.02	3.96	8.08748469636e-18
0.02	3.98	4.90025041988e-18
0.02	4.0	2.96051761019e-18

0.04	0.0	3.45404474344
0.04	0.02	3.45865910069
0.04	0.04	3.47249183283
0.04	0.06	3.49551141433
0.04	0.08	3.52766362725
0.04	0.1	3.5688690953
0.04	0.12	3.6190199255
0.04	0.14	3.67797555082
0.04	0.16	3.74555789281
0.04	0.18	3.82154598751
0.04	0.2	3.90567024136
0.04	0.22	3.99760650443
0.04	0.24	4.09697016685
0.04	0.26	4.20331049879
0.04	0.28	4.3161054652
0.04	0.3	4.43475725172
0.04	0.32	4.558588738
0.04	0.34	4.68684114779
0.04	0.36	4.81867309139
0.04	0.38	4.95316119465
0.04	0.4	5.08930248025
0.04	0.42	5.2260186308
0.04	0.44	5.36216222048
0.04	0.46	5.49652495297
0.04	0.48	5.62784788971
0.04	0.5	5.75483359497
0.04	0.52	5.87616006507
0.04	0.54	5.99049624983
0.04	0.56	6.09651891739
0.04	0.58	6.19293056052
0.04	0.6	6.27847799578
0.04	0.62	6.35197126885
0.04	0.64	6.41230245062
0.04	0.66	6.45846389178
0.04	0.68	6.48956549933
0.04	0.7	6.50485060714
0.04	0.72	6.50371003462
0.04	0.74	6.48569396297
0.04	0.76	6.45052130549
0.04	0.78	6.39808630644
0.04	0.8	6.3284621703
0.04	0.82	6.24190159701
0.04	0.84	6.13883417717
0.04	0.86	6.01986068201
0.04	0.88	5.88574436173
0.04	0.9	5.73739944263
0.04	0.92	5.57587708299
0.04	0.94	5.40234910984
0.04	0.96	5.21808991037
0.04	0.98	5.02445689186
0.04	1.0	4.82286995105
