hocommom_np_-10.He
norm  0.999999825375
P2 mean 0.209796575389
P2 std_dev 0.0885374163641
P2 skewness 0.485690998883
P2 kurtosis 0.108145054382
x mean 0.000210468032636
x std_dev 0.133599619309
x skewness -0.0195874593451
x kurtosis 0.014665566433
y mean -4.08735565575e-05
y std_dev 0.133826989762
y skewness -0.00927658033996
y kurtosis -0.0221225379909
z mean 0.000191242732936
z std_dev 0.133822736092
z skewness 0.00450065018338
z kurtosis -0.0529598320299
