# A Z (norm mf+corr)
    2    1  1.128
    4    2  1.327
    9    4  1.384
   12    6  1.435
   16    8  1.527
   27   13  1.545
   40   20  1.637
   48   20  1.629
   56   26  1.638
  108   47  1.704
  197   79  1.745
  208   82  1.740
